,,,,,,,,,"Color Tallo",,,,,,,"Color Primario Flor",,,,,,,,,,,,,,,,"Color Baya",,,,,"Color Primario Tuberculo",,,,,"Color Secudario Tuberculo",,,,,,"Color Primario Pulpa",,,,"Color Secundario Pulpa",,,,,,,,,,"Color Primario Brote",,,,,"Color Secundario Brote",,,
,"Registro",,,,"CT","xCT","Escala CT",,"xCTallo","FAT","FAT","CPF","xCPF","Escala CPF",,"xCPFlor","ICPF","ICPF","CSF","CSF","DCSF","DCSF","FC",,"GF",,"FB","FB","CB","xCB","Escala","xCBaya","CPT","xCPT",,,"xCPTuber","ICPT","xCST",,,"xCSTuber","DCST","CPC","xCPC","ESCALA",,"xCPulpa","xCSC",,,"xCSPulpa","DCSC","FG","FG","FR","PO","CPB","xCPB","Escala CPB",,"xCPBrote","CSB","xCSB","Escala CSB",,"xCSBrote","DCB","DCB",
2,15060006,"27(002)","ARBOLONA NEGRA","Tib L49",4,"4 Pigmentado con abundante verde","N 77","A","N 77A",1,"1 Recto",7,"7 Morado",92,"A","92A",1,"1 Pálido / Claro",1,"1  Blanco",3,"3 Acumen (blanco)-Ambos",5,"5 Pentagonal",3,"3 Escasa",1,"1 Globosa",4,"4 Verde con abundantes puntos blancos","146B","146B",9,"9 Negruzco","N 186","B","N 186B","3 Intenso / Oscuro","0 Ausente",,,,"0 Ausente",4,"4 Amarillo","160 A",,"160 A","7 Morado","79  C",,"79C","1 Pocas manchas",2,"2 Redondo","0 Ausente","5 Medio",4,"4 Morado","N92","C","N92C",0,"0 Ausente",,,,0,"0 Ausente",
3,15060013,"38(003)","PINTADA OJONA O PIEDRA","Tib L49",7,"7 Morado",200,"A","200A",1,"1 Recto",7,"7 Morado","N82","B","N82B",1,"1 Pálido / Claro",0,"0 Ausente",0,"0 Ausente",7,"7 Rotada",3,"3 Escasa",1,"1 Globosa",5,"5 Verde con áreas pigmentadas","144A","144A",8,"8 Morado","N187","A","N187A","3 Intenso / Oscuro","2 Amarillo",162,"C","162C","4 Manchas dispersas",2,"2 Crema",157,"B","157B","0 Ausente",0,0,0,"0 Ausente",6,"6 Oblongo","0 Ausente","5 Medio",4,"4 Morado","N92","C","N92C",1,"1 Blanco","NN155","C","NN155C",5,"5 En las yemas",
4,15061904,"38.A(004)","PINTADA OJONA O PIEDRA","Tib L49",5,"5 Pigmentado con poco verde","N 77","A","N 77A",1,"1 Recto",7,"7 Morado","N81","A","N81A",3,"3 Intenso / Oscuro",1,"1 Blanco",2,"2 Acumen (blanco)-Envez",7,"7 Rotada",5,"5 Moderada",1,"1 Globosa",5,"5 Verde con áreas pigmentadas","146C","146C",6,"7 Rojo-morado","N77","D","N77D","2 Intermedio","2 Amarillo",161,"B","161B","4 Manchas dispersas",2,"2 Crema",160,"D","160D","0 Ausente",0,0,0,"0 Ausente",2,"2 Redondo","0 Ausente","5 Medio",4,"4 Morado","N92","C","N92C",1,"1 Blanco","NN155","C","NN155C",5,"5 En las yemas",
5,15060016,"39(005)","ITALIANA","Tib L49",4,"4 Pigmentado con abundante verde","N 77","A","N 77A",1,"1 Recto",7,"7 Morado","N81","B","N81B",1,"1 Pálido / Claro",1,"1  Blanco",3,"3 Acumen (blanco)-Ambos",7,"7 Rotada",7,"7 Profusa",1,"1 Globosa",4,"4 Verde con abundantes puntos blancos","143C","143C",9,"9 Negruzco","N 186","A","N 186A","3 Intenso / Oscuro","0 Ausente",,,,"0 Ausente",4,"4 Amarillo",160,"B","160B","7 Morado",79,"A","79A","5 Anillo vascular y médula",2,"2 Redondo","0 Ausente","5 Medio",4,"4 Morado","N92","C","N92C",1,"1 Blanco","NN155","C","NN155C",5,"5 En las yemas",
6,15060021,"46.A(006)","TOCANA COLORADA","Tib L49",4,"4 Pigmentado con abundante verde","N 77","A","N 77A",2,"2Ondulado",7,"7 Morado",77,"A","77A",1,"1 Pálido / Claro",1,"1  Blanco",3,"3 Acumen (blanco)-Ambos",3,"3 Semi-estrellada",3,"3 Escasa",1,"1 Globosa",4,"4 Verde con abundantes puntos blancos","146A","146A",9,"9 Negruzco","N 186","A","N 186A","3 Intenso / Oscuro","0 Ausente",,,,"0 Ausente",4,"4 Amarillo",160,"B","160B","7 Morado","N79","A","N79A","1 Pocas manchas",2,"2 Redondo","0 Ausente","5 Medio",4,"4 Morado","N92","C","N92C",1,"1 Blanco","NN155","C","NN155C",5,"5 En las yemas",
7,15060025,"60(007)","TOCANA BLANCA","Tib L49",2,"2 Verde con pocas manchas",144,"A","144A",1,"1 Recto",7,"7 Morado",92,"A","92A",1,"1 Pálido / Claro",0,"0 Ausente",0," 0 Ausente",7,"7 Rotada",5,"5 Moderada",1,"1 Globosa",4,"4 Verde con abundantes puntos blancos","144B","144B",2,"2 Amarillo",162,"A","162A","2 Intermedio","8 Morado",187,"A","187A","6 Manchas salpicadas",2,"2 Crema",155,"B","155B","0 Ausente",0,0,0,"0 Ausente",1,"1 Comprimido","1 Aplanado","5 Medio",4,"4 Morado","N92","C","N92C",1,"1 Blanco","NN155","C","NN155C",5,"5 En las yemas",
8,15060027,"61(008)","TUQUERREÑA NEGRA ","Tib L49",4,"4 Pigmentado con abundante verde","N 77","A","N 77A",1,"1 Recto",8,"8 Violeta",83,"B","83B",3,"3 Intenso / Oscuro",0,"0 Ausente",0,"0 Ausente",9,"9 Muy Rotada",3,"3 Escasa",1,"1 Globosa",4,"4 Verde con abundantes puntos blancos","144A","144A",7,"7 Rojo-morado",183,"B","183B","1 Pálido / Claro","2 Amarillo",161,"A","161A","4 Manchas dispersas",2,"2 Crema",155,"A","155A","0 Ausente",0,0,0,"0 Ausente",2,"2 Redondo","0 Ausente","7 Profundo",4,"4 Morado","N92","C","N92C",1,"1 Blanco","NN155","C","NN155C",2,"2 En el ápice",
9,15062333,"85(009)","CAJICA","Tib L49",4,"4 Pigmentado con abundante verde","N 77","A","N 77A",2,"2 Ondulado",7,"7 Morado",82,"A","82A",3,"3 Intenso / Oscuro",0,"0 Ausente",0,"0 Ausente",7,"7 Rotada",3,"3 Escasa",1,"1 Globosa",4,"4 Verde con abundantes puntos blancos","144A","144A",7,"7 Rojo-morado","N 186","C","N 186C","3 Intenso / Oscuro","8 Morado","N 186","A","N 186A","6 Manchas salpicadas",2,"2 Crema",155,"A","155A","0 Ausente",,,,"0 Ausente",2,"2 Redondo","0 Ausente","5 Medio",4,"4 Morado","N92","C","N92C",0,"0 Ausente",,,,0,"0 Ausente",
10,15060039,"105(010)","CURIPAMBA","Tib L49",2,"2 Verde con pocas manchas",144,"A","144A",1,"1 Recto",7,"7 Morado","N81","A","N81A",2,"2 Intermedio",1,"1  Blanco",3,"3 Acumen (blanco)-Ambos",1,"1 Estrellada",3,"3 Escasa",1,"1 Globosa",4," 4 Verde con abundantes puntos blancos","146B","146B",6,"6 Rojo",183,"A","183A","3 Intenso / Oscuro","2 Amarillo",160,"A","160A","3 Alrededor de los ojos",2,"2 Crema",155,"A","155A","0 Ausente",,,,"0 Ausente",6,"6 Oblongo","1 Aplanado","5 Medio",3,"3 Rojo","N81","B","N81B",1,"1 Blanco","NN155","C","NN155C",5,"5 En las yemas",
