Samples,Tallo.L
15061942,54
15061763,28
15061801,54
15061494,28
15061613,54
15062137,28
15061319,54
15062142,54
15060320,54
15061768,54
15061522,28
15060081,54
15061656,53
15061759,54
15061928,28
15061454,54
15061605,54
15060087,28
15061619,28
15060090,54
15061731,28
15061655,54
15061661,54
15061499,54
15061647,54
15061612,28
15061742,54
15061710,28
15062372,54
15061583,54
15061767,54
15062130,54
15061637,53
15061337,54
15062104,54
15061579,28
15061932,54
15061603,54
15060025,54
15061704,54
15061334,54
15061631,28
15060964,54
15061778,28
15061718,49
15061486,54
15060214,54
15061333,54
15061962,54
15061624,54
15061282,54
15061529,54
15061935,54
15061568,54
15061491,28
15061318,54
15061361,54
15061515,45
15062123,54
15061358,54
15061428,54
15061496,28
15061648,53
15061808,54
15061600,54
15061730,28
15061623,54
15061405,54
15061299,54
15061578,28
15061476,28
15061765,54
15062111,28
15061397,54
15061713,54
15061584,54
15061912,54
15061260,54
15062099,54
15061350,54
15060933,54
15061548,54
15061348,54
15061560,54
15061544,28
15061449,54
15062348,54
15061916,54
15062138,28
15061946,28
15061676,54
15060536,54
15061391,28
15061662,28
15061228,28
15061356,54
15061963,54
15061338,28
15062331,54
15062098,54
15062114,28
15062046,54
15062370,54
15061685,49
15061540,54
15061721,54
15062074,54
15062362,54
15061689,54
15061357,28
15061376,54
15061308,54
