Samples,CBaya.H
15060021,116
15060025,118
15060027,117
15060039,115
15060042,118
15060056,118
15060063,115
15060070,117
15060081,112
15060085,128
15060087,115
15060097,128
15060102,117
15060112,116
15060114,117
15060120,115
15060121,128
15060122,116
15060138,116
15060160,128
15060187,117
15060188,128
15060190,115
15060191,106
15060214,117
15060313,115
15060320,118
15060345,115
15060383,132
15060420,128
15060543,117
15060570,117
15060797,117
15060846,115
15060907,117
15060910,116
15060933,118
15060964,132
15061007,117
15061011,117
15061122,118
15061204,115
15061213,111
15061215,117
15061216,118
15061225,118
15061226,112
15061228,128
15061237,107
15061256,117
15061257,118
15061259,116
15061260,128
15061262,128
15061263,128
15061264,117
15061265,118
15061270,117
15061273,117
15061274,116
15061277,128
15061282,112
15061283,118
15061286,117
15061288,132
15061289,118
15061290,115
15061291,117
15061293,118
15061295,115
15061296,118
15061298,118
15061299,117
15061303,118
15061307,117
15061312,106
15061313,106
15061314,107
15061317,118
15061318,117
15061319,115
15061320,115
15061323,117
15061324,117
15061329,117
15061334,118
15061335,118
15061337,117
15061338,118
15061340,117
15061344,115
15061345,106
15061346,117
15061347,117
15061348,128
15061349,128
15061350,128
15061352,118
15061353,117
15061355,117
15061356,117
15061357,117
15061358,132
15061360,117
15061364,107
15061365,117
15061367,132
15061369,118
15061376,117
15061378,117
15061380,117
15061382,115
15061383,115
15061384,117
15061388,128
15061390,117
15061391,117
15061392,117
15061394,118
15061396,118
15061404,118
15061406,117
15061410,117
15061411,115
15061414,118
15061415,132
15061417,128
15061418,118
15061419,117
15061420,117
15061421,118
15061422,117
15061424,117
15061425,117
15061428,118
15061430,117
15061435,117
15061436,115
15061437,115
15061439,117
15061441,118
15061442,118
15061444,124
15061445,117
15061447,132
15061449,117
15061454,117
15061458,118
15061459,115
15061461,106
15061463,117
15061469,112
15061470,118
15061471,117
15061475,115
15061476,115
15061478,117
15061479,118
15061480,117
15061481,117
15061484,115
15061485,118
15061486,117
15061489,118
15061490,118
15061491,106
15061492,117
15061493,117
15061494,117
15061495,115
15061496,117
15061499,106
15061500,115
15061501,115
15061503,118
15061504,117
15061505,118
15061507,106
15061508,118
15061509,118
15061511,115
15061515,112
15061516,118
15061517,117
15061518,118
15061521,118
15061522,118
15061524,124
15061525,115
15061526,117
15061528,118
15061529,118
15061530,118
15061533,132
15061534,115
15061535,117
15061536,106
15061540,115
15061542,115
15061543,118
15061544,115
15061546,117
15061548,117
15061549,132
15061550,117
15061553,117
15061555,117
15061556,117
15061560,118
15061561,117
15061564,132
15061565,116
15061566,115
15061568,117
15061571,106
15061575,118
15061576,117
15061577,117
15061578,117
15061579,115
15061580,118
15061583,117
15061584,118
15061585,115
15061586,118
15061588,117
15061600,117
15061602,132
15061603,118
15061604,128
15061605,118
15061608,132
15061609,117
15061610,118
15061612,117
15061613,128
15061619,132
15061621,106
15061622,117
15061623,118
15061624,117
15061628,106
15061631,118
15061632,117
15061637,106
15061638,117
15061639,117
15061640,117
15061642,117
15061645,106
15061646,117
15061647,117
15061648,118
15061649,128
15061650,118
15061651,106
15061653,117
15061654,117
15061655,118
15061658,117
15061659,117
15061661,132
15061662,117
15061665,117
15061668,106
15061670,132
15061671,117
15061673,115
15061677,117
15061678,106
15061679,107
15061680,118
15061682,115
15061683,115
15061684,115
15061686,106
15061687,117
15061688,117
15061689,106
15061704,107
15061706,117
15061709,106
15061712,117
15061713,115
15061714,117
15061717,117
15061718,118
15061720,128
15061723,118
15061724,106
15061725,117
15061726,117
15061729,117
15061730,115
15061733,115
15061734,117
15061735,115
15061736,124
15061737,117
15061738,117
15061740,128
15061742,111
15061744,106
15061747,117
15061751,120
15061752,118
15061753,118
15061754,106
15061755,115
15061756,117
15061757,128
15061758,106
15061759,106
15061760,118
15061762,115
15061765,118
15061766,118
15061767,106
15061769,117
15061771,106
15061772,118
15061773,117
15061777,106
15061778,117
15061784,117
15061785,132
15061788,117
15061790,118
15061795,115
15061797,117
15061798,132
15061800,117
15061801,118
15061808,118
15061811,132
15061813,115
15061815,118
15061826,117
15061905,117
15061906,117
15061908,115
15061909,115
15061910,117
15061911,117
15061912,117
15061915,117
15061917,106
15061918,124
15061926,106
15061927,106
15061928,117
15061929,117
15061930,115
15061933,116
15061934,132
15061935,106
15061937,115
15061939,118
15061941,115
15061942,118
15061944,106
15061945,118
15061946,117
15061948,117
15061949,117
15061951,106
15061952,118
15061953,106
15061958,117
15061960,117
15061961,106
15061962,117
15061963,128
15061965,118
15061966,117
15061967,117
15061968,116
15062036,132
15062038,128
15062039,132
15062046,117
15062050,132
15062051,117
15062067,106
15062069,117
15062071,132
15062080,117
15062092,132
15062094,106
15062097,117
15062099,117
15062100,117
15062101,118
15062102,128
15062103,132
15062105,117
15062106,117
15062107,132
15062108,117
15062109,115
15062111,132
15062112,106
15062114,115
15062117,118
15062118,118
15062122,118
15062124,106
15062126,106
15062130,106
15062136,128
15062137,117
15062138,106
15062139,117
15062142,106
15062145,117
15062146,115
15062149,132
15062150,117
15062151,117
15062152,117
15062153,118
15062331,70
15062332,118
15062333,117
15062334,128
15062335,132
15062337,118
15062338,117
15062346,117
15062347,106
15062348,117
15062349,132
15062350,117
15062351,106
15062353,128
15062354,107
15062356,124
15062357,118
15062358,128
15062360,116
15062361,128
15062363,117
15062366,118
15062367,115
15062368,106
15062369,117
15062370,117
