Samples,CBaya.L
15062362,54
15061954,53
15062339,69
15061482,54
15062104,58
15061707,54
15061567,66
15061964,54
15061488,54
15061438,54
15061814,54
15061721,69
15061601,44
15061719,72
15061629,76
15061477,72
15061761,54
15061336,54
15061386,66
15061305,66
15061676,58
15061523,72
15061763,53
15061385,54
15062133,54
15061333,54
15061627,76
15061731,66
15061641,54
15061330,62
15061626,54
15062147,69
15061487,53
15060536,54
15061261,69
15061389,66
15060101,53
15061397,53
15061551,66
15061539,54
15062115,66
15061361,54
15061669,58
15062359,54
15061690,54
15061308,54
15062372,54
15061342,69
15061281,50
15061932,58
15061370,54
15061630,62
15061789,44
15061666,66
15062143,54
15061297,54
15061907,44
15061538,54
15062371,66
15061685,71
15062081,71
15061969,44
15061498,54
15061271,62
15062344,72
15061279,54
15062144,58
15061722,69
15061768,66
15061557,50
15061434,44
15060072,71
15061405,50
15062052,69
15062098,66
15061916,58
15061377,54
15061633,54
15061702,50
15061614,54
15061368,69
15061520,50
15060082,44
15061656,58
15061331,54
15061327,54
15062074,54
15061300,58
15061776,54
15061462,72
15061302,66
15061957,50
15061514,66
15060909,54
15062063,66
15060090,66
15061301,54
15061423,54
15061453,50
15060215,54
15062119,66
15061537,71
15061667,62
15062123,54
15061710,69
15061258,54
15061443,71
15060050,50
15060110,54
15062053,53
15061764,66
15061799,50
