Samples,CPTuber.C
15062362,47
15061954,35
15062339,47
15061482,42
15062104,36
15061707,43
15061567,47
15061964,29
15061488,11
15061438,8
15061814,29
15061721,28
15061601,8
15061719,33
15061629,41
15061477,8
15061761,32
15061336,23
15061386,16
15061305,41
15061676,32
15061523,16
15061763,22
15061385,11
15062133,29
15061333,8
15061627,32
15061731,43
15061641,28
15061330,35
15061626,8
15062147,37
15061487,16
15060536,32
15061261,41
15061389,11
15060101,26
15061397,26
15061551,41
15061539,35
15062115,42
15061361,28
15061669,47
15062359,47
15061690,8
15061308,8
15062372,16
15061342,29
15061281,37
15061932,42
15061370,37
15061630,11
15061789,41
15061666,36
15062143,32
15061297,8
15061907,42
15061538,11
15062371,35
15061685,32
15062081,19
15061969,41
15061498,8
15061271,11
15062344,29
15061279,29
15062144,16
15061722,19
15061768,33
15061557,35
15061434,29
15060072,40
15061405,36
15062052,39
15062098,28
15061916,19
15061377,47
15061633,36
15061702,42
15061614,28
15061368,24
15061520,28
15060082,42
15061656,36
15061331,35
15061327,37
15062074,41
15061300,42
15061776,47
15061462,47
15061302,11
15061957,32
15061514,37
15060909,35
15062063,19
15060090,36
15061301,32
15061423,29
15061453,8
15060215,36
15062119,8
15061537,29
15061667,28
15062123,35
15061710,8
15061258,11
15061443,47
15060050,28
15060110,16
15062053,35
15061764,35
15061799,34
