Samples,CPulpa.L
15062362,84
15061954,84
15062339,84
15061482,92
15062104,84
15061707,84
15061567,84
15061964,84
15061488,92
15061438,92
15061814,92
15061721,84
15061601,84
15061719,84
15061629,92
15061477,92
15061761,84
15061336,84
15061386,84
15061305,92
15061676,84
15061523,92
15061763,84
15061385,92
15062133,92
15061333,84
15061627,92
15061731,84
15061641,94
15061330,84
15061626,92
15062147,92
15061487,92
15060536,84
15061261,80
15061389,84
15060101,92
15061397,84
15061551,92
15061539,84
15062115,84
15061361,84
15061669,92
15062359,84
15061690,84
15061308,82
15062372,84
15061342,84
15061281,92
15061932,92
15061370,84
15061630,80
15061789,92
15061666,92
15062143,84
15061297,89
15061907,84
15061538,92
15062371,92
15061685,84
15062081,84
15061969,92
15061498,84
15061271,92
15062344,84
15061279,84
15062144,84
15061722,92
15061768,92
15061557,84
15061434,84
15060072,84
15061405,92
15062052,84
15062098,84
15061916,84
15061377,84
15061633,92
15061702,84
15061614,92
15061368,84
15061520,82
15060082,92
15061656,92
15061331,92
15061327,92
15062074,92
15061300,88
15061776,92
15061462,88
15061302,84
15061957,92
15061514,84
15060909,92
15062063,84
15060090,94
15061301,84
15061423,92
15061453,84
15060215,92
15062119,92
15061537,84
15061667,84
15062123,92
15061710,80
15061258,92
15061443,84
15060050,92
15060110,92
15062053,92
15061764,84
15061799,84
