Samples,CSBrote.C
15062362,4
15061954,4
15062339,7
15061482,4
15062104,4
15061707,7
15061567,4
15061964,4
15061488,4
15061438,58
15061814,4
15061721,7
15061601,7
15061719,7
15061629,7
15061477,4
15061761,7
15061336,4
15061386,7
15061305,4
15061676,7
15061523,4
15061763,7
15061385,4
15062133,7
15061333,7
15061627,7
15061731,7
15061641,7
15061330,4
15061626,7
15062147,7
15061487,7
15060536,7
15061261,7
15061389,4
15060101,7
15061397,7
15061551,4
15061539,7
15062115,4
15061361,7
15061669,7
15062359,4
15061690,4
15061308,7
15062372,7
15061342,7
15061281,7
15061932,4
15061370,7
15061630,7
15061789,4
15061666,4
15062143,4
15061297,7
15061907,58
15061538,4
15062371,7
15061685,7
15062081,7
15061969,4
15061498,7
15061271,7
15062344,7
15061279,53
15062144,7
15061722,4
15061768,7
15061557,7
15061434,7
15060072,5
15061405,4
15062052,7
15062098,4
15061916,4
15061377,4
15061633,4
15061702,7
15061614,7
15061368,7
15061520,4
15060082,4
15061656,5
15061331,7
15061327,7
15062074,4
15061300,4
15061776,7
15061462,7
15061302,4
15061957,7
15061514,7
15060909,4
15062063,4
15060090,7
15061301,47
15061423,4
15061453,4
15060215,7
15062119,4
15061537,4
15061667,7
15062123,7
15061710,7
15061258,5
15061443,4
15060050,7
15060110,5
15062053,7
15061764,7
15061799,5
