Samples,CSBrote.L
15062362,94
15061954,94
15062339,95
15061482,94
15062104,94
15061707,96
15061567,94
15061964,94
15061488,94
15061438,48
15061814,94
15061721,96
15061601,96
15061719,96
15061629,96
15061477,94
15061761,95
15061336,94
15061386,96
15061305,94
15061676,96
15061523,94
15061763,96
15061385,94
15062133,95
15061333,96
15061627,96
15061731,96
15061641,96
15061330,94
15061626,96
15062147,96
15061487,96
15060536,95
15061261,95
15061389,94
15060101,95
15061397,96
15061551,94
15061539,96
15062115,94
15061361,96
15061669,96
15062359,94
15061690,94
15061308,95
15062372,96
15061342,96
15061281,96
15061932,94
15061370,96
15061630,96
15061789,94
15061666,94
15062143,94
15061297,96
15061907,48
15061538,94
15062371,96
15061685,96
15062081,96
15061969,94
15061498,96
15061271,96
15062344,96
15061279,39
15062144,96
15061722,94
15061768,96
15061557,95
15061434,96
15060072,95
15061405,94
15062052,95
15062098,94
15061916,96
15061377,94
15061633,94
15061702,96
15061614,96
15061368,96
15061520,94
15060082,94
15061656,95
15061331,96
15061327,96
15062074,94
15061300,94
15061776,96
15061462,96
15061302,94
15061957,96
15061514,96
15060909,94
15062063,94
15060090,95
15061301,36
15061423,94
15061453,94
15060215,95
15062119,94
15061537,94
15061667,96
15062123,96
15061710,96
15061258,95
15061443,94
15060050,95
15060110,95
15062053,95
15061764,96
15061799,95
