Samples,CSTuber.H
15062362,80
15061954,86
15062339,18
15061482,17
15062104,346
15061707,83
15061567,28
15061964,86
15061488,83
15061438,84
15061814,96
15061721,33
15061601,355
15061719,67
15061629,22
15061477,85
15061761,35
15061336,96
15061386,5
15061305,346
15061676,83
15061523,96
15061763,0
15061385,86
15062133,86
15061333,0
15061627,345
15061731,83
15061641,93
15061330,96
15061626,96
15062147,53
15061487,96
15060536,86
15061261,17
15061389,85
15060101,96
15061397,74
15061551,17
15061539,344
15062115,313
15061361,83
15061669,18
15062359,33
15061690,83
15061308,83
15062372,83
15061342,96
15061281,96
15061932,96
15061370,86
15061630,96
15061789,41
15061666,318
15062143,96
15061297,85
15061907,96
15061538,85
15062371,10
15061685,80
15062081,345
15061969,17
15061498,86
15061271,96
15062344,96
15061279,96
15062144,96
15061722,84
15061768,83
15061557,96
15061434,85
15060072,83
15061405,86
15062052,86
15062098,85
15061916,83
15061377,18
15061633,83
15061702,83
15061614,83
15061368,359
15061520,86
15060082,344
15061656,80
15061331,21
15061327,96
15062074,342
15061300,328
15061776,17
15061462,344
15061302,96
15061957,86
15061514,86
15060909,18
15062063,313
15060090,84
15061301,96
15061423,86
15061453,96
15060215,86
15062119,83
15061537,83
15061667,17
15062123,18
15061710,85
15061258,86
15061443,17
15060050,8
15060110,85
15062053,86
15061764,3
15061799,313
