Samples,CSTuber.L
15062362,48
15061954,80
15062339,42
15061482,50
15062104,28
15061707,42
15061567,45
15061964,80
15061488,75
15061438,81
15061814,80
15061721,80
15061601,51
15061719,80
15061629,39
15061477,84
15061761,78
15061336,80
15061386,80
15061305,42
15061676,79
15061523,80
15061763,45
15061385,80
15062133,82
15061333,80
15061627,30
15061731,79
15061641,82
15061330,75
15061626,80
15062147,50
15061487,80
15060536,50
15061261,50
15061389,76
15060101,80
15061397,74
15061551,50
15061539,27
15062115,29
15061361,75
15061669,42
15062359,46
15061690,79
15061308,80
15062372,75
15061342,80
15061281,80
15061932,42
15061370,80
15061630,80
15061789,54
15061666,28
15062143,80
15061297,76
15061907,27
15061538,76
15062371,43
15061685,75
15062081,82
15061969,50
15061498,80
15061271,80
15062344,80
15061279,73
15062144,80
15061722,81
15061768,79
15061557,80
15061434,80
15060072,75
15061405,75
15062052,80
15062098,76
15061916,75
15061377,42
15061633,79
15061702,79
15061614,82
15061368,28
15061520,80
15060082,27
15061656,82
15061331,48
15061327,80
15062074,50
15061300,30
15061776,50
15061462,27
15061302,80
15061957,76
15061514,80
15060909,42
15062063,29
15060090,81
15061301,80
15061423,80
15061453,80
15060215,80
15062119,75
15061537,82
15061667,75
15062123,42
15061710,74
15061258,80
15061443,43
15060050,34
15060110,76
15062053,80
15061764,30
15061799,29
