,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,117.377,116.913,117.271,117.391,117.168,117.275,117.32579,117.397,117.076,117.429,115.799,116.235
15060025,116.979,117.135,116.864,116.957,116.995,117.275,117.23808,117.068,117.208,117.051,117.336,119.033
15060027,116.559,117.276,116.494,116.676,116.277,117.275,116.7138,116.805,117.465,117.023,116.645,116.939
15060039,118.737,117.71,118.915,118.315,119.245,117.275,119.69878,119.126,117.277,117.905,115.666,117.518
15060042,118.434,117.517,118.626,118.052,119.195,117.275,119.1683,118.581,117.208,117.605,118.662,120.465
15060056,117.717,117.52,117.735,117.618,117.629,117.275,117.72963,117.871,117.214,117.523,118.298,118.079
15060063,118.372,118.607,118.613,118.035,118.766,117.275,119.04432,118.215,118.299,117.581,115.663,118.446
15060070,115.698,116.745,115.426,115.985,115.256,117.275,115.21834,115.609,117.139,116.674,116.336,116.526
15060081,117.216,117.213,117.136,117.19,117.208,117.275,116.95991,116.841,117.225,117.195,112.663,113.857
15060085,117.677,117.839,117.824,117.525,118.006,117.275,118.52124,117.788,117.691,117.369,118.533,122.743
15060087,115.714,116.754,115.461,115.997,115.295,117.275,115.25611,115.602,117.139,116.675,115.662,115.389
15060097,118.527,118.175,118.735,118.22,118.922,117.275,121.03785,118.8,117.816,117.956,127.337,123.566
15060102,116.239,116.932,115.798,116.586,115.47,117.275,115.35236,116.018,117.102,117.013,116.336,116.194
15060112,117.447,117.269,117.459,117.325,117.537,117.275,117.37372,117.256,117.277,117.26,116.627,113.252
15060114,117.352,117.393,117.401,117.38,117.396,117.275,117.48147,117.563,117.465,117.436,116.338,117.115
15060120,117.609,117.131,117.51,117.483,117.616,117.275,117.52556,117.601,117.033,117.426,115.664,115.806
15060121,116.549,116.811,116.364,116.649,116.151,117.275,116.28849,116.492,116.775,117.009,118.092,120.366
15060122,117.271,117.099,117.129,117.306,117.148,117.275,117.15767,117.112,116.963,117.392,116.662,117.001
15060138,117.074,117.155,117.114,117.089,117.036,117.275,117.17448,117.155,117.102,117.129,116.664,116.527
15060160,117.847,117.24,117.939,117.747,118.13,117.275,120.40339,118.563,116.894,117.611,127.337,118.009
15060187,117.828,116.847,117.609,117.669,117.729,117.275,117.59953,117.556,116.963,117.478,117.379,116.634
15060188,116.272,116.944,116.261,116.431,116.243,117.275,116.49242,116.574,117.225,116.872,127.339,123.32
15060190,116.483,117.02,116.33,116.627,116.245,117.275,116.20819,116.604,117.383,116.95,115.665,115.981
15060191,115.442,116.638,115.016,115.964,114.675,117.275,113.95725,115.363,117.139,116.643,109.297,109.368
