,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,58.682,58.787,58.297,58.701,57.992,59.184,58.05003,58.481,59.43,59.123,54.683,50.073
15060025,60.36,60.445,60.617,60.435,60.582,60.105,60.5307,60.598,59.43,60.103,60.802,65.253
15060027,59.652,59.754,59.732,59.708,59.518,59.564,59.2057,59.318,59.43,59.567,54.763,54.876
15060039,59.467,59.519,59.495,59.46,59.477,59.316,59.14364,59.024,59.43,59.368,52.016,54.42
15060042,59.737,59.666,60.065,59.767,60.217,59.469,60.11308,59.72,59.43,59.557,65.239,62.825
15060056,60.073,60.058,60.742,60.081,61.002,59.508,61.1719,59.961,59.43,59.558,65.237,63.824
15060063,59.713,59.584,59.806,59.669,59.933,59.523,60.19889,59.754,59.43,59.517,64.333,64.473
15060070,59.17,59.368,58.915,59.15,58.843,59.486,58.90182,59.158,59.43,59.5,54.76,53.909
15060081,59.892,59.951,60.006,59.923,60.098,59.671,59.88099,59.78,59.43,59.717,58.332,59.605
15060085,59.722,59.763,60.227,59.766,60.392,59.843,60.68815,60.282,59.43,59.686,58.763,61.189
15060087,59.159,59.367,58.899,59.142,58.819,59.486,58.88765,59.16,59.43,59.498,54.476,52.852
15060097,57.915,57.973,57.564,57.877,57.614,57.877,58.34855,58.337,59.43,58.076,58.765,59.527
15060102,60.247,60.32,61.069,60.3,61.269,59.886,61.38721,60.75,59.43,59.8,64.616,59.674
15060112,58.924,59.047,58.469,58.937,58.334,59.215,58.30247,58.615,59.43,59.333,54.603,55.663
15060114,57.585,57.733,57.044,57.502,56.871,57.882,56.67232,57.088,59.43,57.902,54.76,55.113
15060120,59.652,59.66,59.872,59.624,60.071,59.492,60.48961,60.155,59.43,59.516,70.239,66.326
15060121,61.702,61.404,63.125,61.792,63.819,60.615,63.67584,62.57,59.43,60.506,66.994,63.563
15060122,58.682,58.789,58.49,58.68,58.461,58.657,58.16554,58.334,59.43,58.748,49.329,49.986
15060138,59.227,59.353,58.344,59.244,57.912,59.508,57.86081,58.565,59.43,59.539,44.765,49.769
15060160,58.466,58.401,58.27,58.53,58.454,58.361,58.17453,58.325,59.43,58.466,58.597,59.41
15060187,57.907,57.957,56.821,57.904,56.43,58.624,56.06521,57.613,59.43,58.735,54.765,55.171
15060188,59.15,59.401,58.999,59.116,58.805,59.386,58.72197,59.234,59.43,59.442,57.892,58.642
15060190,60.585,60.501,61.232,60.643,61.388,60.169,61.36384,60.766,59.43,60.121,62.543,64.554
15060191,61.654,61.683,62.94,61.712,63.268,60.856,63.20707,62.17,59.43,60.756,68.238,67.341
15060214,59.537,59.498,59.356,59.529,59.525,59.561,58.69466,58.841,59.43,59.489,54.764,56.71
15060313,56.478,56.398,54.508,56.316,53.928,57.429,52.44736,55.199,59.43,57.335,49.342,50.311
15060320,60.723,60.582,61.839,60.821,62.243,60.007,62.2915,61.346,59.43,59.982,66.762,65.456
