SAMPLES,GEBVs(SVM),ACTUAL
15062362,54.496,54
15061954,65.284,53
15062339,54.842,69
15061482,51.609,54
15062104,53.865,58
15061707,54.541,54
15061567,75.242,66
15061964,56.752,54
15061488,58.323,54
15061438,57.888,54
15061814,56.245,54
15061721,65.848,69
15061601,55.181,44
15061719,57.338,72
15061629,70.138,76
15061477,61.144,72
15061761,58.086,54
15061336,60.531,54
15061386,67.845,66
15061305,60.652,66
15061676,54.733,58
15061523,54.673,72
15061763,60.246,53
15061385,55.428,54
15062133,55.511,54
15061333,60.631,54
15061627,54.789,76
15061731,57.405,66
15061641,55.972,54
15061330,58.501,62
15061626,57.907,54
15062147,54.804,69
15061487,54.882,53
15060536,55.246,54
15061261,61.462,69
15061389,55.554,66
15060101,57.273,53
15061397,55.359,53
15061551,54.371,66
15061539,55.253,54
15062115,66.975,66
15061361,54.466,54
15061669,67.134,58
15062359,60.437,54
15061690,58.279,54
15061308,56.911,54
15062372,58.478,54
15061342,54.759,69
15061281,54.456,50
15061932,55.261,58
15061370,64.975,54
15061630,57.988,62
15061789,52.808,44
15061666,61.355,66
15062143,65.268,54
15061297,54.717,54
15061907,58.77,44
15061538,55.527,54
15062371,55.816,66
15061685,65.086,71
15062081,58.728,71
15061969,64.581,44
15061498,58.37,54
15061271,55.551,62
15062344,55.185,72
15061279,53.934,54
15062144,55.821,58
15061722,63.059,69
15061768,66.943,66
15061557,57.357,50
15061434,54.939,44
15060072,58.758,71
15061405,56.412,50
15062052,64.989,69
15062098,63.856,66
15061916,54.97,58
15061377,58.328,54
15061633,58.717,54
15061702,56.589,50
15061614,55.59,54
15061368,68.376,69
15061520,64.559,50
15060082,54.982,44
15061656,58.782,58
15061331,60.053,54
15061327,60.681,54
15062074,65.909,54
15061300,68.243,58
15061776,53.138,54
15061462,67.515,72
15061302,54.459,66
15061957,45.013,50
15061514,60.862,66
15060909,55.323,54
15062063,54.659,66
15060090,57.622,66
15061301,64.596,54
15061423,59.782,54
15061453,67.07,50
15060215,56.214,54
15062119,53.812,66
15061537,56.789,71
15061667,65.16,62
15062123,68.528,54
15061710,57.684,69
15061258,54.691,54
15061443,52.26,71
15060050,61.148,50
15060110,54.983,54
15062053,57.906,53
15061764,65.295,66
15061799,61.148,50
