,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,25.363,25.2,25.553,25.609,25.213,24.495,25.93819,26.228,24.649,25.49,21.979,24.652
15060025,23.195,23.934,23.461,23.366,23.236,24.232,23.1376,23.254,25.27,23.811,21.467,22.304
15060027,25.678,26.439,26.212,25.846,26.116,26.159,26.58763,26.332,27.604,26.583,21.469,22.258
15060039,42.696,42.181,42.634,42.573,42.51,42.56,42.73983,42.408,41.817,42.367,51.701,50.751
15060042,33.971,32.907,34.176,34.167,33.86,33.43,33.27938,32.379,33.153,34.063,26.429,26.789
15060056,24.746,27.52,25.118,24.622,25.272,24.909,25.82341,27.032,29.024,25.992,21.474,26.264
15060063,43.068,42.836,43.022,42.906,42.754,42.729,42.36973,42.095,43.196,42.465,47.546,45.662
15060070,25.308,25.689,25.438,25.234,25.177,25.764,24.91847,25.096,26.506,25.773,21.469,21.012
15060081,25.91,26.365,26.202,25.669,26.342,26.496,25.95794,25.174,27.813,25.425,21.469,23.873
15060085,23.446,23.654,23.964,23.773,23.983,24.983,24.17244,25.11,23.976,25.945,21.471,22.728
15060087,24.807,25.591,25.044,24.648,24.84,25.764,24.75643,24.9,26.506,25.485,22.526,22.53
15060097,39.929,41.411,40.485,39.956,40.728,39.62,34.24209,34.492,41.808,40.367,27.471,31.493
15060102,25.719,25.136,25.898,25.709,25.811,25.824,25.93677,25.767,24.704,25.881,21.495,23.307
15060112,25.324,24.957,25.352,25.237,25.27,25.133,25.53801,25.265,25.834,25.43,21.815,21.39
15060114,36.583,36.368,36.564,36.406,36.587,36.599,36.89378,37.154,36.458,36.681,39.524,39.733
15060120,43.981,44.775,43.105,44.169,42.867,44.282,43.41229,42.562,40.789,42.155,53.531,45.427
15060121,24.115,25.61,24.363,23.965,24.301,25.228,23.59725,23.569,28.075,25.373,20.99,20.042
15060122,35.837,35.493,35.777,35.705,35.602,36.453,35.31541,35.54,35.169,35.612,31.528,33.255
15060138,28.466,27.39,28.68,28.73,29.26,27.759,28.56255,28.394,27.98,29.249,21.472,25.434
15060160,33.961,31.356,34.678,33.874,36.075,30.685,28.21418,28.958,30.804,32.013,21.468,27.457
15060187,35.582,35.715,35.795,35.744,35.559,35.679,34.6368,34.536,35.349,35.568,40.531,36.586
15060188,25.984,26.115,26.342,26.137,26.573,24.555,26.4476,25.286,26.752,25.43,21.472,22.959
15060190,29.191,27.993,29.588,29.658,29.53,28.016,28.69552,28.64,25.6,29.093,21.47,24.653
15060191,25.519,26.346,25.903,25.653,25.693,25.19,25.54161,25.585,26.488,25.596,21.474,20.998
15060214,29.659,28.669,29.955,29.797,30.157,31.826,29.87871,31.215,28.132,30.411,27.468,29.912
15060313,41.483,43.13,41.675,41.45,41.753,41.712,39.57664,39.373,41.835,41.055,42.322,27.471
15060320,48.021,47.157,47.355,47.969,47.423,47.275,47.43636,47.115,45.59,46.483,51.528,52.117
15060345,50.698,50.761,50.531,50.743,50.549,50.37,50.61617,50.782,50.002,50.104,54.477,51.027
15060383,41.7,43.408,41.841,41.603,41.948,42.209,40.16977,40.12,41.835,41.403,48.533,42.516
15060420,50.773,50.766,50.642,50.69,50.598,50.452,50.55301,50.66,50.002,50.13,53.811,38.145
15060543,50.605,48.609,50.005,50.518,50.226,50.749,51.62947,51.407,48.224,49.62,57.524,56.782
15060570,47.412,46.884,46.89,47.42,46.969,47.172,48.94005,48.083,43.829,46.47,56.53,50.329
15060797,21.407,15.177,22.607,21.8,23.288,21.501,22.27479,23.934,16.984,23.747,17.471,24.114
15060846,34.971,35.081,35.062,34.854,34.897,35.243,35.14545,35.217,34.913,34.832,23.851,28.144
15060907,40.789,40.4,41.474,40.759,41.06,41.542,38.37566,38.368,40.664,39.84,36.472,38.396
15060910,51.488,51.177,51.305,51.636,51.512,49.827,52.5502,51.509,50.435,51.322,56.531,54.549
15060933,50.912,48.676,50.406,50.861,50.569,50.971,51.98552,51.601,48.224,49.892,57.524,56.38
15060964,40.139,39.085,40.063,40.403,39.732,40.28,39.49581,38.887,38.345,39.291,38.535,39.78
15061007,39.892,38.93,39.699,40.037,39.374,39.253,39.42984,38.721,38.345,38.889,38.536,39.468
15061011,23.202,23.831,23.539,23.488,23.205,24.594,23.14289,23.347,25.451,23.839,24.527,24.628
15061122,35.571,35.229,35.465,35.301,35.253,35.464,35.59551,35.95,34.913,35.457,39.724,46.354
15061204,24.815,23.874,25.373,24.707,25.663,26.214,24.67982,27.671,25.884,25.364,21.471,27.442
15061213,42.545,41.88,42.426,42.29,42.398,42.085,42.65671,42.294,41.817,42.218,45.524,45.692
15061215,42.367,41.938,42.443,42.185,42.259,41.679,42.67253,42.217,41.817,41.968,45.566,45.807
15061216,38.011,38.891,37.812,37.921,37.625,38.163,37.92821,37.008,38.323,37.348,38.531,38.738
15061225,36.66,36.985,36.581,36.427,36.649,36.407,37.30433,37.566,36.62,36.819,41.47,39.529
