,PREDICTED,ACTUAL
15060021,21.979,20
15060025,21.467,20
15060027,21.469,20
15060039,51.701,57
15060042,26.429,20
15060056,21.474,20
15060063,47.546,57
15060070,21.469,20
15060081,21.469,20
15060085,21.471,20
15060087,22.526,20
15060097,27.471,26
15060102,21.495,20
15060112,21.815,20
15060114,39.524,41
15060120,53.531,55
15060121,20.99,20
15060122,31.528,33
15060138,21.472,20
15060160,21.468,20
15060187,40.531,42
15060188,21.472,20
15060190,21.47,20
15060191,21.474,20
15060214,27.468,26
15060313,42.322,7
15060320,51.528,53
15060345,54.477,53
15060383,48.533,50
15060420,53.811,20
15060543,57.524,59
15060570,56.53,58
15060797,17.471,16
15060846,23.851,20
15060907,36.472,35
15060910,56.531,58
15060933,57.524,59
15060964,38.535,40
15061007,38.536,40
15061011,24.527,26
15061122,39.724,57
15061204,21.471,20
15061213,45.524,47
15061215,45.566,45
15061216,38.531,40
15061225,41.47,40
15061226,40.901,40
15061228,22.176,20
15061237,56.802,58
15061256,21.471,20
15061257,21.469,20
15061259,21.292,20
15061260,21.468,20
15061262,21.471,20
15061263,40.531,42
15061264,21.475,20
15061265,21.286,20
15061270,21.471,20
15061273,21.473,20
15061274,51.531,53
15061277,56.53,58
15061282,29.466,28
15061283,24.17,28
15061286,50.661,16
15061288,31.066,20
15061289,44.524,46
15061290,21.472,20
15061291,55.529,57
15061293,27.919,28
15061295,21.477,20
15061296,27.43,26
15061298,27.472,26
15061299,38.524,40
15061303,53.53,55
15061307,26.53,28
15061312,54.531,40
15061313,21.476,20
15061314,51.529,53
15061317,24.531,26
15061318,21.467,20
15061319,21.468,20
15061320,43.475,57
15061323,27.464,26
15061324,21.474,20
15061329,26.532,28
15061334,47.533,49
15061335,29.473,28
15061337,24.407,26
15061338,21.469,20
15061340,23.018,28
15061344,33.162,28
15061345,56.157,57
15061346,53.942,58
15061347,20.606,20
15061348,21.471,20
15061349,27.468,26
15061350,56.529,58
15061352,28.552,4
15061353,22.955,28
15061355,21.471,20
15061356,38.827,49
15061357,22.257,20
15061358,22.639,28
15061360,21.473,20
15061364,24.476,26
15061365,40.467,39
15061367,40.463,39
15061369,21.469,20
15061376,55.637,58
15061378,32.37,40
15061380,21.468,20
15061382,40.143,45
15061383,21.988,20
15061384,21.514,28
15061388,51.531,53
15061390,29.144,20
15061391,33.186,4
15061392,38.526,40
15061394,21.471,20
15061396,21.472,20
15061404,30.177,20
15061406,21.78,20
15061410,48.468,47
15061411,34.09,20
15061414,34.63,39
15061415,55.531,57
15061417,34.23,33
15061418,34.469,33
15061419,21.468,20
15061420,43.475,42
15061421,20.838,20
15061422,51.527,53
15061424,33.532,35
15061425,56.51,58
15061428,56.534,58
15061430,55.534,57
15061435,24.526,26
15061436,41.971,40
15061437,27.471,26
15061439,29.471,28
15061441,36.472,35
15061442,38.53,40
15061444,21.47,20
15061445,37.032,40
15061447,29.473,28
15061449,22.291,20
15061454,38.523,40
15061458,55.99,58
15061459,34.575,26
15061461,56.65,58
15061463,27.477,26
15061469,38.534,40
15061470,33.517,33
15061471,27.466,26
15061475,21.468,20
15061476,24.531,26
15061478,21.471,20
15061479,40.023,41
15061480,37.848,40
15061481,21.474,20
15061484,21.163,20
15061485,45.523,47
15061486,24.524,26
15061489,28.834,26
15061490,34.862,58
15061491,36.093,58
15061492,38.611,42
15061493,23.624,26
15061494,24.529,26
15061495,21.471,20
15061496,24.449,26
15061499,22.354,26
15061500,46.615,55
15061501,51.249,60
15061503,22.009,16
15061504,40.461,39
15061505,55.53,57
15061507,38.531,40
15061508,38.529,40
15061509,24.523,26
15061511,21.982,20
15061515,24.277,26
15061516,48.47,47
15061517,25.441,31
15061518,39.974,40
15061521,27.471,26
15061522,21.474,20
15061524,24.529,26
15061525,38.527,42
15061526,27.474,26
15061528,21.468,20
15061529,24.526,26
15061530,39.538,45
15061533,27.473,26
15061534,23.887,40
15061535,21.473,20
15061536,21.472,20
15061540,21.474,20
15061542,28.872,57
15061543,27.469,26
15061544,24.536,26
15061546,24.532,26
15061548,55.529,57
15061549,21.467,20
15061550,27.47,26
15061553,27.471,26
15061555,21.469,20
15061556,46.53,48
15061560,27.475,26
15061561,38.762,40
15061564,53.531,55
15061565,54.718,58
15061566,24.517,26
15061568,47.531,49
15061571,55.532,57
15061575,21.132,20
15061576,27.469,26
15061577,21.466,20
15061578,27.232,55
15061579,27.471,26
15061580,21.476,20
15061583,37.531,39
15061584,55.533,57
15061585,27.464,26
15061586,37.588,66
15061588,40.87,20
15061600,41.529,43
15061602,32.53,34
15061603,25.251,28
15061604,52.532,54
15061605,47.533,49
15061608,31.523,33
15061609,20.774,20
15061610,22.583,20
15061612,27.47,26
15061613,28.812,26
15061619,36.112,53
15061621,45.422,43
15061622,21.468,20
15061623,21.466,20
15061624,30.766,55
15061628,24.384,40
15061631,26.524,28
15061632,41.477,54
15061637,21.466,20
15061638,23.613,26
15061639,56.533,58
15061640,21.473,20
15061642,21.017,20
15061645,26.53,28
15061646,21.471,20
15061647,24.895,28
15061648,50.04,20
15061649,27.471,26
15061650,27.477,26
15061651,36.403,26
15061653,56.188,58
15061654,29.266,26
15061655,53.525,55
15061658,27.466,26
15061659,37.523,39
15061661,36.155,40
15061662,27.47,26
15061665,47.467,46
15061668,55.53,57
15061670,55.62,55
15061671,51.904,57
15061673,55.53,57
15061677,33.359,26
15061678,32.21,26
15061679,21.592,20
15061680,55.616,55
15061682,21.468,20
15061683,26.883,26
15061684,29.472,28
15061686,21.815,20
15061687,38.525,40
15061688,23.453,35
15061689,35.929,47
15061704,23.844,28
15061706,55.535,57
15061709,49.176,47
15061712,27.076,26
15061713,21.991,20
15061714,54.47,53
15061717,26.531,28
15061718,26.742,26
15061720,53.165,53
15061723,51.53,53
15061724,40.527,42
15061725,55.566,57
15061726,55.471,54
15061729,37.219,57
15061730,32.771,39
15061733,37.808,45
15061734,35.792,57
15061735,55.956,57
15061736,32.071,28
15061737,37.277,48
15061738,38.835,53
15061740,21.463,20
15061742,21.477,20
15061744,40.536,42
15061747,24.531,26
15061751,40.531,42
15061752,21.471,20
15061753,39.525,41
15061754,46.53,48
15061755,31.382,26
15061756,36.66,40
15061757,23.551,20
15061758,38.529,40
15061759,32.363,40
15061760,37.532,39
15061762,21.475,20
15061765,21.469,20
15061766,21.476,20
15061767,21.309,20
15061769,55.529,57
15061771,39.007,40
15061772,21.037,20
15061773,21.475,20
15061777,21.47,20
15061778,39.759,58
15061784,36.6,20
15061785,56.53,58
15061788,21.47,20
15061790,26.072,55
15061795,24.524,26
15061797,37.33,4
15061798,36.476,35
15061800,27.466,26
15061801,48.475,47
15061808,48.473,47
15061811,24.528,26
15061813,46.531,48
15061815,42.186,58
15061826,45.532,47
15061905,48.583,58
15061906,21.47,20
15061908,55.524,57
15061909,21.465,20
15061910,30.952,20
15061911,47.658,40
15061912,51.523,53
15061915,52.627,52
15061917,53.338,26
15061918,32.501,33
15061926,35.464,34
15061927,42.531,44
15061928,35.758,35
15061929,36.77,20
15061930,34.466,33
15061933,21.471,20
15061934,32.769,20
15061935,55.527,57
15061937,21.412,20
15061939,31.928,4
15061941,52.371,55
15061942,27.467,26
15061944,55.529,57
15061945,56.535,58
15061946,21.472,20
15061948,22.96,46
15061949,35.314,20
15061951,56.534,58
15061952,30.902,26
15061953,21.468,20
15061958,56.531,58
15061960,21.47,20
15061961,21.594,20
15061962,53.526,55
15061963,36.529,38
15061965,21.475,20
15061966,21.475,20
15061967,21.471,20
15061968,25.591,28
15062036,41.16,45
15062038,54.265,53
15062039,39.171,33
15062046,51.523,53
15062050,21.471,20
15062051,53.392,50
15062067,51.534,53
15062069,21.47,20
15062071,22.143,20
15062080,44.535,46
15062092,23.607,28
15062094,24.098,26
15062097,21.727,20
15062099,38.537,40
15062100,53.532,55
15062101,21.383,20
15062102,47.531,49
15062103,40.534,42
15062105,21.468,20
15062106,33.628,20
15062107,35.842,26
15062108,37.976,26
15062109,52.52,48
15062111,23.341,20
15062112,21.468,20
15062114,37.531,39
15062117,55.532,57
15062118,55.686,57
15062122,21.465,20
15062124,24.523,26
15062126,21.473,20
15062130,48.467,47
15062136,29.751,26
15062137,39.562,55
15062138,26.526,28
15062139,56.527,58
15062142,55.527,57
15062145,29.465,28
15062146,21.469,20
15062149,54.468,53
15062150,21.47,20
15062151,21.472,20
15062152,32.941,26
15062153,40.003,58
15062331,54.252,58
15062332,33.451,20
15062333,21.469,20
15062334,25.975,20
15062335,56.221,60
15062337,52.273,50
15062338,54.476,53
15062346,47.535,49
15062347,21.47,20
15062348,53.276,43
15062349,25.642,28
15062350,38.531,40
15062351,21.476,20
15062353,51.658,53
15062354,55.535,57
15062356,21.874,20
15062357,21.601,20
15062358,32.268,55
15062360,54.28,57
15062361,24.523,26
15062363,47.507,57
15062366,27.478,26
15062367,32.603,26
15062368,56.533,58
15062369,56.532,58
15062370,21.563,20
