,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,48.424,48.254,48.26,48.152,48.529,48.056,48.55431,48.841,48.615,48.065,46.894,47.458
15060025,44.426,44.741,44.589,44.415,44.432,44.766,44.24755,44.374,45.307,44.924,43.796,43.922
15060027,48.194,47.332,48.231,48.498,48.461,48.243,48.18434,48.142,49.548,49.237,43.905,44.478
15060039,50.219,50.329,50.251,50.243,50.337,50.235,50.38058,50.171,50.836,50.075,53.804,53.063
15060042,50.797,51.52,50.797,50.886,50.911,51.079,51.52039,51.728,51.059,50.553,55.798,54.159
15060056,19.514,18.265,19.877,19.089,19.249,20.672,19.91406,21.2,26.868,26.419,9.202,22.305
15060063,53.399,55.138,53.454,53.6,53.855,54.769,53.45067,53.687,54.513,53.478,53.857,53.926
15060070,50.313,50.367,50.228,50.305,50.468,49.682,50.41402,50.593,49.089,49.697,55.175,54.421
15060081,42.913,42.504,42.169,42.08,41.99,42.838,43.07522,44.036,44.209,43.38,45.144,44.659
15060085,52.877,53.893,52.745,53.212,53.088,52.982,53.22446,53.297,53.418,51.086,56.8,54.743
15060087,50.477,50.547,50.374,50.513,50.632,49.682,50.43531,50.647,49.089,49.796,56.302,56.798
15060097,44.645,42.622,44.771,44.821,45.098,45.044,45.10218,45.062,41.779,45.945,44.176,44.093
15060102,12.082,11.922,12.616,12.137,12.129,12.995,11.99929,11.807,18.012,16.801,7.477,7.288
15060112,51.064,50.717,50.94,50.861,51.005,50.911,50.94173,51.034,50.674,50.34,55.598,55.688
15060114,48.705,48.81,48.566,48.473,48.349,48.307,48.8007,49.068,49.192,49.056,42.349,44.603
15060120,45.953,47.949,45.802,46.436,45.746,46.206,46.37467,46.904,45.82,46.392,47.147,45.617
15060121,43.589,43.302,43.474,43.605,43.442,42.737,43.31375,43.229,43.06,44.506,43.798,44.125
15060122,47.417,47.614,47.469,47.366,47.625,47.179,47.02234,47.284,47.434,47.357,39.03,41.002
15060138,48.488,50.018,48.793,48.398,47.452,47.826,46.89544,46.318,52.401,50.322,40.202,42.747
15060160,44.21,43.883,43.576,44.503,43.316,42.637,42.16198,42.531,44.922,44.318,40.204,40.458
15060187,47.964,47.054,47.91,47.994,47.893,46.987,48.04666,47.866,47.378,47.93,46.735,50.63
15060188,50.805,50.854,50.604,50.825,50.929,49.647,50.30508,50.696,51.512,49.34,55.798,52.939
15060190,42.02,41.874,41.957,42.026,41.694,43.162,42.46676,43.098,42.403,43.863,40.197,41.934
15060191,50.275,50.563,50.045,50.347,50.404,49.717,51.06113,50.934,49.012,47.605,56.175,54.421
15060214,39.886,39.842,39.995,39.675,39.555,40.314,39.91317,41.411,38.807,40.475,40.203,41.005
15060313,46.486,46.589,46.387,46.661,46.78,46.449,47.93533,48.157,45.68,46.49,53.794,50.762
15060320,53.587,53.556,53.802,53.736,53.587,52.663,53.55267,53.715,53.166,53.261,55.799,55.509
15060345,51.371,51.893,51.341,51.325,51.335,51.485,51.29286,51.454,51.478,51.154,51.229,45.778
15060383,46.422,46.446,46.293,46.549,46.639,45.748,47.69518,47.638,45.68,46.118,44.196,46.168
15060420,51.655,51.986,51.532,51.622,51.59,51.382,51.33457,51.484,51.831,51.275,50.152,48.499
15060543,45.117,45.405,44.753,45.004,44.958,45.041,45.67647,46.11,47.14,44.348,45.362,45.868
15060570,41.668,42.132,42.495,41.544,41.864,42.78,41.91467,42.222,42.154,43.29,40.201,41.6
15060797,41.819,39.684,41.766,41.685,42.345,43.06,40.87095,41.183,36.82,41.758,40.198,40.3
15060846,48.551,48.382,48.567,48.492,48.722,48.936,48.918,48.418,47.434,48.223,49.2,49.377
15060907,54.003,53.171,53.801,54.523,54.348,52.463,54.52642,52.844,50.816,51.211,56.8,52.949
15060910,52.28,52.238,51.521,52.302,52.143,52.135,53.43807,53.559,49.117,51.212,56.201,53.796
15060933,45.151,45.708,44.819,45.081,44.951,45.503,45.97505,46.296,47.14,44.138,49.232,50.31
15060964,49.676,49.635,49.872,49.411,49.98,49.301,48.58241,48.068,50.142,48.898,42.779,44.923
15061007,49.226,49.395,49.455,48.875,49.449,49.239,48.55454,48.214,50.064,48.619,49.499,50.961
15061011,45.212,45.154,45.255,45.072,45.231,44.856,44.85482,44.99,45.394,45.138,50.455,52.972
15061122,48.587,48.297,48.469,48.481,48.851,48.768,48.83168,48.643,47.434,48.253,53.327,54.715
15061204,38.81,41.419,38.442,39.075,38.581,39.666,40.42006,40.859,42.602,37.114,42.612,39.8
15061213,50.29,50.503,50.227,50.283,50.147,50.527,50.44538,50.247,50.836,50.105,53.802,52.933
15061215,50.197,50.559,50.22,50.364,50.166,49.903,50.48537,50.373,50.836,50.06,56.801,55.064
15061216,17.934,17.517,18.305,17.565,17.384,20.444,17.41661,19.877,28.386,24.816,9.202,21.547
15061225,50.684,50.971,50.208,50.585,50.365,50.189,50.62263,50.256,49.673,50.261,53.796,51.63
15061226,43.609,43.425,44.138,43.358,43.946,43.081,42.83283,43.202,42.634,45.012,43.203,41.621
15061228,50.662,50.145,50.516,50.597,51,49.982,50.07086,49.921,48.161,50.885,48.005,52.96
15061237,44.46,45.15,43.94,44.222,44.05,44.822,45.07355,45.683,47.14,43.783,40.201,42.364
