,PREDICTED,ACTUAL
15060021,48.64963,43
15060025,44.2366,45
15060027,48.21748,39
15060039,50.26655,55
15060042,51.52463,57
15060056,19.2974,8
15060063,53.63315,55
15060070,50.45051,55
15060081,43.14698,45
15060085,53.10548,58
15060087,50.55614,60
15060097,45.02248,45
15060102,11.69808,8
15060112,51.00902,58
15060114,48.83402,40
15060120,46.62292,46
15060121,43.18438,45
15060122,47.13859,36
15060138,47.06295,39
15060160,42.17054,39
15060187,48.17976,57
15060188,50.61213,57
15060190,42.34897,39
15060191,51.32175,55
15060214,40.36628,39
15060313,47.76881,55
15060320,53.39902,57
15060345,51.29288,41
15060383,47.45779,43
15060420,51.35554,46
15060543,45.74308,46
15060570,41.82898,39
15060797,40.88738,39
15060846,48.68585,48
15060907,54.44258,58
15060910,53.29249,55
15060933,46.205,58
15060964,48.36941,39
15061007,48.43478,58
15061011,44.80465,58
15061122,48.75859,60
15061204,41.35183,43
15061213,50.54241,55
15061215,50.5486,58
15061216,17.2373,8
15061225,50.6708,55
15061226,42.41276,42
15061228,50.19802,58
15061237,45.291,39
15061256,47.6743,55
15061257,42.81327,42
15061259,50.53156,40
15061260,44.51355,46
15061262,13.54389,10
15061263,12.13695,6
15061264,18.25094,6
15061265,46.88371,45
15061270,44.9091,49
15061273,47.01645,58
15061274,54.14625,58
15061277,49.58106,49
15061282,49.61405,58
15061283,50.64039,33
15061286,49.2373,39
15061288,49.41925,40
15061289,50.68515,57
15061290,48.23178,49
15061291,47.48937,57
15061293,44.68353,43
15061295,44.49594,49
15061296,47.04901,49
15061298,43.02248,43
15061299,49.86516,43
15061303,49.25925,46
15061307,49.91973,43
15061312,47.40406,43
15061313,51.27026,58
15061314,52.8454,46
15061317,13.62448,6
15061318,50.6977,55
15061319,44.37115,42
15061320,48.38515,58
15061323,50.37556,58
15061324,52.76589,55
15061329,48.59234,39
15061334,53.30696,57
15061335,46.92236,39
15061337,51.26275,57
15061338,50.42576,49
15061340,50.10937,49
15061344,52.57587,49
15061345,51.56875,55
15061346,51.46152,43
15061347,49.20184,39
15061348,50.99546,58
15061349,47.08338,43
15061350,47.2608,40
15061352,53.86459,55
15061353,50.96646,55
15061355,50.98787,55
15061356,48.17214,43
15061357,48.34598,58
15061358,44.39357,40
15061360,50.88567,55
15061364,51.00115,58
15061365,50.12328,43
15061367,50.29934,49
15061369,43.35154,45
15061376,51.53869,55
15061378,47.0836,57
15061380,49.886,58
15061382,50.23044,58
15061383,50.92732,57
15061384,50.48316,58
15061388,44.51274,43
15061390,53.91431,57
15061391,53.78842,55
15061392,42.75939,45
15061394,13.66898,6
15061396,14.68325,58
15061404,53.68347,55
15061406,50.8715,58
15061410,56.20811,55
15061411,46.41988,39
15061414,53.73863,43
15061415,49.62567,58
15061417,53.47296,46
15061418,53.72156,46
15061419,50.53715,58
15061420,48.48634,39
15061421,43.51303,35
15061422,48.06596,55
15061424,47.42649,46
15061425,51.58581,49
15061428,50.92356,49
15061430,51.27944,60
15061435,51.45347,58
15061436,49.14254,46
15061437,44.11066,39
15061439,43.97591,39
15061441,51.10614,39
15061442,46.02022,33
15061444,51.13048,55
15061445,51.16638,39
15061447,46.16115,46
15061449,48.94607,45
15061454,49.26998,58
15061458,51.3284,41
15061459,53.75199,57
15061461,51.23948,45
15061463,45.62433,43
