probIn scale
0.03234713 10.95489
0.03530786 10.56349
0.03734886 9.474287
0.03092269 8.656091
0.03179146 8.182316
0.03514596 8.140649
0.04423617 6.998891
0.05285528 5.967263
0.06711045 6.384177
0.07980307 6.060696
0.1012238 6.153273
0.09666855 5.993139
0.1159681 6.166726
0.1014943 6.178081
0.1025392 6.086678
0.1197887 5.798938
0.1143942 5.849712
0.09697088 5.171088
0.106012 5.690477
0.1104783 6.229351
0.09728218 5.717693
0.0969531 5.891774
0.1166848 5.7143
0.09125438 5.668719
0.1058875 4.917292
0.09593807 4.809279
0.08246982 5.008237
0.1154595 5.005785
0.11716 4.891223
0.1195431 4.929517
0.1272346 4.743991
0.1151889 5.188531
0.09257963 5.644683
0.1093196 6.069587
0.1063703 6.390363
0.09760975 5.95113
0.09803132 5.963954
0.1160425 5.851049
0.1245861 5.660755
0.1181064 5.84949
0.08421136 5.971373
0.07759541 5.939166
0.07554242 5.409424
0.09539448 5.575938
0.09891676 5.030957
0.09631576 5.271129
0.0783345 5.236868
0.06630432 4.951078
0.1142954 4.987235
0.1143932 4.986501
0.1182333 5.197698
0.1155615 4.929713
0.09635314 5.025892
0.1037546 4.634237
0.1280797 5.128121
0.1383038 4.644689
0.1212674 4.29528
0.08821151 4.638323
0.1014562 4.49346
0.1106702 4.477062
0.1183631 4.142481
0.1233297 3.929872
0.1143647 3.627225
0.1315481 3.562452
0.1281215 3.773455
0.1498893 3.793412
0.1324305 3.30597
0.1583319 3.584287
0.1629875 3.284745
0.165091 3.201568
0.1846137 3.238137
0.1454431 3.349627
0.122382 2.934498
0.1372591 3.002178
0.1338003 2.887308
0.1118748 2.865752
0.1013867 2.993603
0.07982465 3.020694
0.1034707 2.955511
0.08179195 3.168394
0.08869309 3.368415
0.1036803 3.448819
0.1163334 3.538283
0.1154501 3.282285
0.1081322 3.346807
0.1242676 3.137325
0.1280493 3.148778
0.09696056 2.939396
0.1039821 2.760534
0.1018142 2.935875
0.1028162 2.616031
0.116437 2.458135
0.1414799 2.294629
0.1312934 2.362497
0.1518439 2.490573
0.1705437 2.665655
0.1317691 2.77258
0.183804 2.653668
0.1954353 2.458305
0.1652837 2.953331
0.2208141 3.06928
0.1316862 3.132787
0.1452505 3.303601
0.160326 3.643273
0.1272094 3.589399
0.1425219 4.064708
0.1016118 4.270287
0.1108102 4.353535
0.1222395 4.101926
0.1361389 4.076088
0.1446433 4.221783
0.1442555 4.952571
0.1169545 4.982752
0.1341703 5.001925
0.1299396 4.963365
0.139445 5.086605
0.1453983 5.038418
0.1042892 4.597992
0.08428116 4.497389
0.07915558 4.802555
0.1236371 5.243925
0.1516856 5.170614
0.1375235 5.569636
0.1514494 4.79867
0.1560258 4.519031
0.1317469 4.475644
0.1561873 4.092509
0.1321022 4.251373
0.1047831 4.252027
0.1054131 4.842746
0.1353914 4.080735
0.1255989 3.61083
0.1183972 4.076435
0.1461135 4.135776
0.112224 4.196154
0.08306825 4.197189
0.09216127 4.032921
0.1155828 3.974062
0.107828 3.743848
0.09861234 3.906502
0.06943275 4.414537
0.05879511 4.206946
0.06790936 4.324649
0.07763186 4.827374
0.0644593 5.471799
0.07854085 6.24849
0.07263131 6.277198
0.08724547 5.500378
0.1120973 4.962875
0.08157756 5.33367
0.06186208 5.803828
0.07100964 6.099926
0.06060655 5.803125
0.05892618 6.076282
0.0498018 5.869242
0.03697924 6.023208
0.04697698 6.095569
