,PREDICTED,ACTUAL
15060021,306.644,313
15060025,71.037,85
15060027,22.535,17
15060039,34.979,21
15060042,328.096,342
15060056,98.937,85
15060063,28.358,17
15060070,299.089,313
15060081,99.885,86
15060085,314.069,328
15060087,312.016,328
15060097,96.932,83
15060102,283.143,7
15060112,24.387,7
15060114,50.549,10
15060120,110.018,96
15060121,345.055,359
15060122,23.917,10
15060138,30.957,17
15060160,24.014,10
15060187,34.065,3
15060188,82.949,69
15060190,66.747,41
15060191,72.051,86
15060214,98.909,85
15060313,69.069,83
15060320,98.353,96
15060345,35.535,96
15060383,69.037,83
15060420,31.962,18
15060543,27.921,14
15060570,98.924,85
15060797,18.946,5
15060846,117.425,14
15060907,341.058,355
15060910,26.313,17
15060933,28.452,17
15060964,178.931,359
15061007,96.588,10
15061011,106.941,96
15061122,80.882,10
15061204,314.029,328
15061213,30.671,17
15061215,31.745,21
15061216,313.995,328
15061225,23.948,10
15061226,99.914,86
15061228,144.325,328
15061237,30.228,17
15061256,314.099,328
15061257,30.935,17
15061259,282.616,313
15061260,89.599,328
15061262,109.372,345
15061263,345.118,359
15061264,97.005,83
15061265,20.974,7
15061270,27.285,17
15061273,30.975,17
15061274,26,12
15061277,99.933,86
15061282,328.082,342
15061283,27.032,21
15061286,31.001,17
15061288,29.965,16
15061289,27.98,14
15061290,106.635,96
15061291,31.398,18
15061293,110.961,97
15061295,27.903,17
15061296,162.635,313
15061298,34.957,21
15061299,130.129,10
15061303,82.046,96
15061307,101.237,3
15061312,30.935,17
15061313,71.719,83
15061314,23.956,10
15061317,23.928,10
15061318,314.043,328
15061319,59.972,21
15061320,98.993,86
15061323,145.469,74
15061324,27.906,14
15061329,303.992,318
15061334,27.89,14
15061335,96.907,83
15061337,44.952,345
15061338,299.04,313
15061340,247.624,17
15061344,332.021,346
15061345,31.961,18
15061346,27.941,14
15061347,77.945,346
15061348,20.915,7
15061349,97.936,84
15061350,31.205,18
15061352,288.872,85
15061353,30.728,17
15061355,24.691,5
15061356,126.276,53
15061357,299.012,313
15061358,72.876,86
15061360,37.958,333
15061364,20.952,7
15061365,28.006,14
15061367,29.785,17
15061369,349.014,338
15061376,35.036,14
15061378,98.93,85
15061380,31.939,18
15061382,289.26,342
15061383,20.095,17
15061384,297.062,328
15061388,30.909,17
15061390,309.374,328
15061391,309.974,359
15061392,41.933,28
15061394,120.021,342
15061396,89.834,313
15061404,311.38,328
15061406,32.403,21
15061410,31.907,18
15061411,327.992,342
15061414,306.46,85
15061415,31.835,18
15061417,299.057,313
15061418,291.678,85
15061419,299.037,313
15061420,98.993,85
15061421,34.889,21
15061422,16.948,3
15061424,16.931,3
15061425,27.946,14
15061428,27.972,14
15061430,28.955,18
15061435,25.939,12
15061436,77.662,85
15061437,82.061,96
15061439,79.393,85
15061441,76.424,96
15061442,324.015,338
15061444,19.007,5
15061445,82.06,96
15061447,34.951,21
15061449,341.028,355
15061454,212.875,5
15061458,31.45,21
15061459,303.402,313
15061461,35.64,96
15061463,345.052,359
15061469,332.018,346
15061470,168.543,342
15061471,146.68,346
15061475,30.922,17
15061476,241.222,344
15061478,281.975,313
15061479,34.931,21
15061480,61.538,0
15061481,74.116,85
15061484,26.195,16
15061485,82.102,96
15061486,299.03,313
15061489,268.646,3
15061490,293.162,3
15061491,311.082,328
15061492,302.91,328
15061493,20.938,7
15061494,326.948,313
15061495,31.26,7
15061496,32.436,22
15061499,72.06,86
15061500,82.124,96
15061501,51.053,65
15061503,268.465,342
15061504,303.994,342
15061505,30.994,17
15061507,290.059,14
15061508,301.231,96
15061509,309.62,328
15061511,299.006,313
15061515,30.956,17
15061516,27.963,14
15061517,20.921,7
15061518,20.938,7
15061521,30.944,17
15061522,98.973,85
15061524,331.053,328
15061525,331.993,346
15061526,18.937,5
15061528,24.382,14
15061529,314.061,328
15061530,288.697,3
15061533,345.021,359
15061534,304.03,318
15061535,34.142,21
15061536,299.087,313
15061540,72.057,86
15061542,18.985,5
15061543,27.946,14
15061544,18.89,5
15061546,299.012,313
15061548,20.93,7
15061549,314.042,328
15061550,18.969,5
15061553,25.933,12
15061555,22.138,21
15061556,82.106,96
15061560,29.962,16
15061561,110.014,96
15061564,31.04,45
15061565,29.963,16
15061566,309.066,313
15061568,86.515,96
15061571,25.957,12
15061575,22.977,9
15061576,109.914,93
15061577,314.046,328
15061578,269.247,3
15061579,23.185,3
15061580,18.944,5
15061583,328.059,342
15061584,34.952,21
15061585,212.676,359
15061586,113.398,96
15061588,34.207,17
15061600,30.956,17
15061602,29.899,16
15061603,301.935,313
15061604,21.948,8
15061605,109.922,96
15061608,107.986,94
15061609,268.191,5
15061610,31.872,359
15061612,99.962,86
15061613,303.007,10
15061619,304.072,318
15061621,27.947,14
15061622,98.999,85
15061623,64.624,25
15061624,180.831,17
15061628,296.077,83
15061631,304.033,318
15061632,219.232,17
15061637,69.043,83
15061638,76.501,83
15061639,176.964,345
15061640,299.122,313
15061642,41.893,28
15061645,299.112,313
15061646,75.397,17
15061647,71.004,85
15061648,49.743,318
15061649,331.031,345
15061650,108.178,96
15061651,326.51,345
15061653,49.782,83
15061654,247.664,342
15061655,98.88,85
15061658,332.055,346
15061659,168.548,346
15061661,329.753,346
15061662,345.03,359
15061665,66.432,74
15061668,69.025,83
15061670,27.943,14
15061671,34.946,21
15061673,16.988,3
15061677,314.054,328
15061678,314.063,328
15061679,30.044,17
15061680,34.949,21
15061682,69,83
15061683,10.867,16
15061684,35.947,22
15061686,24.387,3
15061687,299.05,313
15061688,24.059,5
15061689,304.925,318
15061704,56.753,5
15061706,107.955,94
15061709,97.336,85
15061712,317.502,318
15061713,65.065,85
15061714,41.56,88
15061717,118.331,359
15061718,330.818,318
15061720,27.928,14
15061723,29.947,16
15061724,83.982,70
15061725,21.929,8
15061726,21.944,8
15061729,20.945,7
15061730,26.759,5
15061733,256.805,74
15061734,296.988,8
15061735,43.9,83
15061736,38.298,96
15061737,62.516,84
15061738,314.048,328
15061740,322.874,318
15061742,69.055,83
15061744,82.987,69
15061747,27.517,10
15061751,80.761,10
15061752,330.052,344
15061753,328.831,355
15061754,98.983,85
15061755,16.95,3
15061756,16.947,3
15061757,20.942,7
15061758,18.955,5
15061759,81.412,83
