Models,Predictive_ability
BA,0.533
BA,0.388
BA,0.404
BA,0.597
BA,0.567
BA,0.41
BA,0.445
BA,0.508
BA,0.531
BA,0.616
BA,0.585
BA,0.542
BA,0.423
BA,0.381
BA,0.477
BA,0.49
BA,0.352
BA,0.531
BA,0.54
BA,0.557
BA,0.573
BA,0.552
BA,0.53
BA,0.263
BA,0.499
BB,0.447
BB,0.445
BB,0.546
BB,0.463
BB,0.534
BB,0.511
BB,0.493
BB,0.476
BB,0.464
BB,0.565
BB,0.561
BB,0.683
BB,0.517
BB,0.355
BB,0.383
BB,0.491
BB,0.486
BB,0.533
BB,0.479
BB,0.473
BB,0.564
BB,0.507
BB,0.462
BB,0.43
BB,0.435
BC,0.238
BC,0.588
BC,0.398
BC,0.547
BC,0.633
BC,0.414
BC,0.399
BC,0.62
BC,0.481
BC,0.557
BC,0.559
BC,0.44
BC,0.397
BC,0.574
BC,0.492
BC,0.508
BC,0.621
BC,0.34
BC,0.521
BC,0.443
BC,0.516
BC,0.555
BC,0.437
BC,0.537
BC,0.489
BL,0.389
BL,0.508
BL,0.442
BL,0.532
BL,0.449
BL,0.486
BL,0.563
BL,0.481
BL,0.445
BL,0.468
BL,0.422
BL,0.61
BL,0.384
BL,0.483
BL,0.592
BL,0.438
BL,0.448
BL,0.436
BL,0.48
BL,0.679
BL,0.5
BL,0.576
BL,0.482
BL,0.533
BL,0.374
BRR,0.536
BRR,0.53
BRR,0.588
BRR,0.513
BRR,0.416
BRR,0.589
BRR,0.575
BRR,0.189
BRR,0.592
BRR,0.491
BRR,0.499
BRR,0.464
BRR,0.424
BRR,0.523
BRR,0.53
BRR,0.575
BRR,0.505
BRR,0.485
BRR,0.54
BRR,0.49
BRR,0.557
BRR,0.494
BRR,0.638
BRR,0.497
BRR,0.279
GBLUP,0.495
GBLUP,0.573
GBLUP,0.442
GBLUP,0.349
GBLUP,0.646
GBLUP,0.71
GBLUP,0.476
GBLUP,0.554
GBLUP,0.326
GBLUP,0.5
GBLUP,0.51
GBLUP,0.319
GBLUP,0.462
GBLUP,0.578
GBLUP,0.517
GBLUP,0.446
GBLUP,0.429
GBLUP,0.564
GBLUP,0.493
GBLUP,0.539
GBLUP,0.603
GBLUP,0.467
GBLUP,0.375
GBLUP,0.493
GBLUP,0.523
EGBLUP,0.422
EGBLUP,0.53
EGBLUP,0.41
EGBLUP,0.422
EGBLUP,0.552
EGBLUP,0.458
EGBLUP,0.509
EGBLUP,0.51
EGBLUP,0.522
EGBLUP,0.505
EGBLUP,0.415
EGBLUP,0.621
EGBLUP,0.45
EGBLUP,0.515
EGBLUP,0.507
EGBLUP,0.603
EGBLUP,0.475
EGBLUP,0.43
EGBLUP,0.407
EGBLUP,0.558
EGBLUP,0.369
EGBLUP,0.436
EGBLUP,0.536
EGBLUP,0.637
EGBLUP,0.54
RKHS,0.384
RKHS,0.387
RKHS,0.582
RKHS,0.607
RKHS,0.544
RKHS,0.529
RKHS,0.474
RKHS,0.422
RKHS,0.522
RKHS,0.519
RKHS,0.466
RKHS,0.468
RKHS,0.513
RKHS,0.52
RKHS,0.447
RKHS,0.534
RKHS,0.504
RKHS,0.599
RKHS,0.467
RKHS,0.361
RKHS,0.505
RKHS,0.559
RKHS,0.447
RKHS,0.498
RKHS,0.54
Lasso,0.459
Lasso,0.376
Lasso,0.509
Lasso,0.233
Lasso,0.504
Lasso,0.33
Lasso,0.299
Lasso,0.553
Lasso,0.549
Lasso,0.365
Lasso,0.459
Lasso,0.431
Lasso,0.518
Lasso,0.275
Lasso,0.344
Lasso,0.376
Lasso,0.423
Lasso,0.472
Lasso,0.428
Lasso,0.482
Lasso,0.585
Lasso,0.509
Lasso,0.357
Lasso,0.378
Lasso,0.302
RR,0.593
RR,0.42
RR,0.535
RR,0.576
RR,0.498
RR,0.446
RR,0.405
RR,0.631
RR,0.451
RR,0.527
RR,0.311
RR,0.536
RR,0.43
RR,0.538
RR,0.558
RR,0.466
RR,0.561
RR,0.424
RR,0.47
RR,0.516
RR,0.567
RR,0.587
RR,0.534
RR,0.456
RR,0.482
SVM,0.604
SVM,0.284
SVM,0.544
SVM,0.564
SVM,0.494
SVM,0.469
SVM,0.555
SVM,0.432
SVM,0.532
SVM,0.661
SVM,0.506
SVM,0.486
SVM,0.449
SVM,0.379
SVM,0.584
SVM,0.529
SVM,0.48
SVM,0.605
SVM,0.492
SVM,0.52
SVM,0.621
SVM,0.557
SVM,0.442
SVM,0.485
SVM,0.368
RF,0.308
RF,0.598
RF,0.524
RF,0.482
RF,0.511
RF,0.535
RF,0.449
RF,0.506
RF,0.498
RF,0.418
RF,0.374
RF,0.392
RF,0.638
RF,0.593
RF,0.323
RF,0.602
RF,0.433
RF,0.45
RF,0.548
RF,0.346
RF,0.541
RF,0.455
RF,0.426
RF,0.435
RF,0.615
