probIn scale
0.02499393 7.276774
0.03429055 7.506117
0.02810155 7.246688
0.02306039 6.670036
0.02094936 6.761592
0.03854178 7.111755
0.01399791 7.457277
0.02334525 7.527655
0.01953892 7.457447
0.02242392 7.738211
0.02321673 8.040821
0.01439116 6.911098
0.01561306 6.303533
0.02042133 6.907419
0.01827431 8.029029
0.01889295 9.171139
0.01360451 9.836807
0.01457938 10.10678
0.01820045 10.88929
0.02543007 10.48927
0.01921777 10.17629
0.02426569 10.28536
0.01757018 11.29203
0.01751623 10.18999
0.01904158 10.80169
0.01218646 10.83697
0.009129852 10.71601
0.02351799 10.52795
0.01711827 10.6885
0.01621052 10.09359
0.01375079 10.4265
0.02584017 10.37925
0.01148957 10.16712
0.01275303 9.597855
0.009538361 9.558278
0.02414491 10.35214
0.01696114 9.813478
0.01710757 9.820803
0.01967401 10.14634
0.01614129 11.27845
0.01132446 12.45973
0.01816356 12.59487
0.01764025 12.63537
0.01348395 11.59775
0.008453463 11.15574
0.01272287 10.41337
0.01390112 11.81818
0.01261061 11.88314
0.009715262 11.05673
0.0186675 12.06392
0.02036628 12.65464
0.0105315 15.10935
0.02042656 13.85839
0.0203989 13.7797
0.01086665 13.68033
0.01376459 13.83527
0.00926501 13.34917
0.01224356 13.74471
0.01397339 13.48553
0.02002081 15.40371
0.03089178 16.34944
0.008720591 15.49435
0.01880088 13.88535
0.0123536 14.13844
0.01287874 15.19139
0.009897378 14.88262
0.01378417 14.73338
0.01210225 15.8476
0.0131953 15.96524
0.01104564 17.68397
0.01086909 19.12152
0.01262302 18.65017
0.008889525 17.41533
0.005933676 17.52446
0.00897196 17.84841
0.01617787 15.99283
0.00721084 15.27944
0.009122605 14.64374
0.01641647 14.94638
0.01071982 15.61764
0.01452595 15.59434
0.01628423 15.31854
0.01122811 13.93006
0.01072601 14.11526
0.01272682 13.83993
0.0121505 14.42884
0.009540463 14.9896
0.01331885 14.33761
0.0186578 12.89621
0.008319485 11.91684
0.01376837 11.31519
0.009408332 10.568
0.01035832 10.60891
0.01230085 9.821139
0.006415701 10.99215
0.02098995 10.44113
0.02701327 11.68751
0.01206425 11.79729
0.01139431 12.64139
0.0235203 12.25591
0.01194015 10.92079
0.02077313 10.52
0.01112084 11.94998
0.02101842 12.77203
0.01589379 12.67422
0.02141829 14.18907
0.01659013 15.55049
0.02065536 14.1763
0.02191543 15.15836
0.01480139 16.07659
0.01551428 14.91485
0.02489895 15.38599
0.01661683 14.09912
0.0179772 16.61363
0.02071657 17.13654
0.01537962 16.13152
0.02071487 16.00418
0.0167072 16.04944
0.01686124 13.97685
0.01229048 15.83385
0.02095915 15.94229
0.01835058 14.89421
0.02600331 16.90032
0.01803152 15.35984
0.01919419 15.91868
0.01769021 16.53513
0.02242798 17.09071
0.01655208 17.37092
0.026284 18.42507
0.0237904 19.83524
0.0166467 20.00344
0.01762693 19.21074
0.01519616 22.48888
0.01340544 24.43689
0.01697217 25.36398
0.01213256 24.56356
0.01456941 24.55619
0.02314728 22.71803
0.01341212 21.23353
0.01773596 20.68175
0.02036538 18.67402
0.0171402 19.33238
0.01560235 20.54524
0.01979602 19.70418
0.01963643 18.36607
0.02699924 18.6496
0.02265683 18.75725
0.01629966 19.07649
0.02613653 19.06842
0.01580652 19.27758
0.01884335 19.62846
0.01736757 18.60561
0.01179578 16.36688
0.0253455 16.92831
0.02640888 18.23626
0.0316567 17.48731
0.01986274 17.14939
0.02248768 16.46268
0.02766937 16.16539
0.01954346 13.33043
0.02199682 13.16228
0.01698309 12.51158
0.01972306 12.55992
0.01993219 12.48842
0.02716575 12.16368
