,PREDICTED,ACTUAL
15060021,34.843,35
15060025,6.568,5
15060027,7.248,6
15060039,11.471,6
15060042,9.712,6
15060056,8.165,3
15060063,20.993,18
15060070,5.539,6
15060081,8.387,5
15060085,10.216,5
15060087,4.672,4
15060097,8.049,5
15060102,11.794,6
15060112,17.135,18
15060114,6.357,6
15060120,8.669,6
15060121,11.421,6
15060122,14.069,18
15060138,9.956,6
15060160,16.88,18
15060187,25.149,35
15060188,7.89,5
15060190,17.542,18
15060191,20.644,26
15060214,9.368,6
15060313,23.492,18
15060320,16.455,18
15060345,23.672,26
15060383,31.907,42
15060420,20.775,18
15060543,16.929,26
15060570,21.128,26
15060797,27.369,35
15060846,5.71,3
15060907,10.1,6
15060910,19.586,18
15060933,10.503,5
15060964,29.624,32
15061007,29.536,32
15061011,21.664,26
15061122,6.241,6
15061204,17.468,18
15061213,19.213,24
15061215,18.237,18
15061216,16.276,18
15061225,6.053,6
15061226,9.776,6
15061228,17.767,18
15061237,10.34,5
15061256,8.695,6
15061257,16.657,18
15061259,5.307,6
15061260,9.055,6
15061262,19.422,18
15061263,22.837,26
15061264,21.696,26
15061265,10.221,6
15061270,18.919,18
15061273,17.229,26
15061274,16.729,18
15061277,9.519,6
15061282,5.464,6
15061283,17.095,18
15061286,23.455,26
15061288,11.091,6
15061289,17.859,18
15061290,8.739,6
15061291,16.215,18
15061293,16.598,18
15061295,11.646,6
15061296,21.775,26
15061298,16.817,18
15061299,6.254,6
15061303,9.779,6
15061307,17.51,18
15061312,13.98,6
15061313,17.554,18
15061314,20.071,18
15061317,23.129,26
15061318,8.726,6
15061319,11.675,6
15061320,12.588,18
15061323,6.517,6
15061324,21.725,26
15061329,27.509,35
15061334,22.449,26
15061335,17.02,18
15061337,15.579,18
15061338,5.72,6
15061340,11.686,18
15061344,17.481,18
15061345,21.126,18
15061346,23.536,26
15061347,18.326,18
15061348,17.327,18
15061349,16.554,18
15061350,26.806,35
15061352,22.524,26
15061353,14.43,6
15061355,17.472,18
15061356,6.018,6
15061357,19.337,18
15061358,15.944,18
15061360,17.341,18
15061364,17.249,18
15061365,15.425,18
15061367,12.463,6
15061369,11.032,6
15061376,23.909,26
15061378,17.313,18
15061380,17.542,18
15061382,5.915,6
15061383,17.006,18
15061384,5.067,6
15061388,9.999,6
15061390,16.399,18
15061391,16.684,18
15061392,21.659,26
15061394,22.107,26
15061396,15.173,6
15061404,18.56,18
15061406,15.983,18
15061410,10.426,6
15061411,4.982,4
15061414,17.236,18
15061415,13.361,18
15061417,19.838,24
15061418,8.943,6
15061419,4.871,3
15061420,12.588,6
15061421,17.202,18
15061422,7.018,6
15061424,24.333,26
15061425,19.57,18
15061428,19.772,18
15061430,19.27,18
15061435,18.198,18
15061436,8.52,6
15061437,13.426,6
15061439,17.391,18
15061441,19.136,18
15061442,5.855,6
15061444,8.816,6
15061445,18.476,18
15061447,8.544,6
15061449,14.756,18
15061454,15.494,18
15061458,23.741,26
15061459,11.625,6
15061461,24.317,26
15061463,9.857,10
15061469,15.086,10
15061470,6.18,6
15061471,6.834,6
15061475,15.948,18
15061476,7.285,6
15061478,6.652,10
15061479,9.379,10
15061480,21.332,26
15061481,12.593,6
15061484,21.353,26
15061485,14.581,18
15061486,7.543,6
15061489,17.144,18
15061490,23.989,26
15061491,17.128,18
15061492,21.886,35
15061493,20.649,26
15061494,8.271,6
15061495,15.274,18
15061496,12.169,6
15061499,17.532,18
15061500,7.698,3
15061501,11.158,6
15061503,17.461,26
15061504,6.011,6
15061505,23.034,26
15061507,5.895,6
15061508,5.918,6
15061509,16.167,18
15061511,11.096,6
15061515,19.476,18
15061516,9.53,5
15061517,15.765,18
15061518,6.966,6
15061521,24.524,35
15061522,10.137,6
15061524,8.427,6
15061525,5.846,6
15061526,23.724,26
15061528,15.318,18
15061529,16.502,18
15061530,5.871,6
15061533,5.875,6
15061534,35.632,42
15061535,17.029,18
15061536,6.311,6
15061540,17.559,18
15061542,17.733,18
15061543,16.738,18
15061544,5.296,3
15061546,6.331,6
15061548,20.428,26
15061549,20.386,18
15061550,23.749,26
15061553,17.977,18
15061555,18.234,18
15061556,8.903,6
15061560,18.901,18
15061561,17.144,18
15061564,8.126,6
15061565,26.399,26
15061566,4.968,6
15061568,16.939,18
15061571,7.551,6
15061575,19.469,18
15061576,12.374,18
15061577,25.674,26
15061578,14.615,6
15061579,12.408,6
15061580,15.595,18
15061583,6.798,6
15061584,9.968,6
15061585,6.977,3
15061586,4.616,3
15061588,15.447,18
15061600,15.088,18
15061602,22.494,26
15061603,4.18,3
15061604,16.335,18
15061605,10.194,8
15061608,15.262,26
15061609,5.724,6
15061610,10.431,6
15061612,9.584,6
15061613,4.661,4
15061619,15.895,18
15061621,19.038,26
15061622,17.333,18
15061623,13.423,6
15061624,5.324,6
15061628,15.676,18
15061631,17.787,6
