,PREDICTED,ACTUAL
15060021,86.636,93
15060025,81.796,52
15060027,80.865,71
15060039,83.924,71
15060042,79.881,71
15060056,75.863,32
15060063,85.722,90
15060070,64.033,71
15060081,77.282,52
15060085,79.016,52
15060087,64.026,41
15060097,71.967,52
15060102,83.328,71
15060112,83.788,90
15060114,68.771,71
15060120,80.733,71
15060121,83.843,71
15060122,69.906,90
15060138,80.235,71
15060160,76.363,90
15060187,82.963,93
15060188,66.749,52
15060190,83.497,90
15060191,84.916,94
15060214,79.087,71
15060313,86.94,90
15060320,83.825,90
15060345,89.979,94
15060383,87.081,96
15060420,89.992,90
15060543,118.032,94
15060570,86.933,94
15060797,86.821,93
15060846,69.058,32
15060907,81.853,71
15060910,84.168,90
15060933,118.122,52
15060964,84.983,84
15061007,85.433,84
15061011,82.048,94
15061122,69.766,71
15061204,85.099,90
15061213,84.016,85
15061215,84.003,90
15061216,84.85,90
15061225,68.891,71
15061226,85.878,71
15061228,82.911,90
15061237,119.637,344
15061256,84.96,88
15061257,95.873,90
15061259,64.024,71
15061260,81.898,71
15061262,87.762,90
15061263,86.765,94
15061264,85.943,94
15061265,77.779,71
15061270,87.508,90
15061273,77.87,94
15061274,84.416,90
15061277,80.737,71
15061282,68.256,71
15061283,83.829,90
15061286,86.275,94
15061288,84.026,71
15061289,84.014,90
15061290,79.865,71
15061291,83.371,90
15061293,83.791,90
15061295,81.695,71
15061296,83.638,94
15061298,85.325,90
15061299,68.66,71
15061303,79.256,71
15061307,82.997,90
15061312,83.448,71
15061313,85.002,90
15061314,87.877,90
15061317,87.782,94
15061318,78.283,71
15061319,82.121,71
15061320,81.253,90
15061323,68.701,71
15061324,85.828,94
15061329,88.018,93
15061334,85.877,94
15061335,82.106,90
15061337,83.767,90
15061338,64.015,71
15061340,64.065,90
15061344,84.681,90
15061345,90.08,90
15061346,89.938,94
15061347,84.877,90
15061348,83.731,90
15061349,82.217,90
15061350,83.551,93
15061352,85.22,94
15061353,83.728,71
15061355,83.698,90
15061356,69.456,88
15061357,88.011,90
15061358,82.171,90
15061360,83.707,90
15061364,83.68,90
15061365,84.04,90
15061367,84.031,71
15061369,83.688,71
15061376,90.03,94
15061378,82.206,90
15061380,84.883,90
15061382,68.688,71
15061383,83.783,90
15061384,64.094,71
15061388,79.723,71
15061390,85.087,90
15061391,85.213,90
15061392,88.534,94
15061394,87.854,94
15061396,87.747,71
15061404,85.22,90
15061406,83.743,90
15061410,81.255,71
15061411,71.173,41
15061414,85.094,90
15061415,79.214,90
15061417,85.113,85
15061418,85.137,71
15061419,64.106,32
15061420,81.253,71
15061421,82.333,90
15061422,75.244,71
15061424,88.224,94
15061425,90.103,90
15061428,89.987,90
15061430,90.042,90
15061435,84.537,90
15061436,74.381,71
15061437,81.991,71
15061439,82.041,90
15061441,83.154,90
15061442,71.448,71
15061444,81.698,71
15061445,83.091,90
15061447,76.305,71
15061449,77.316,90
15061454,77.3,90
15061458,89.979,94
15061459,85.203,71
15061461,90.076,94
15061463,77.742,96
15061469,84.734,96
15061470,69.458,71
15061471,69.409,71
15061475,82.178,90
15061476,79.676,71
15061478,64.106,96
15061479,75.739,96
15061480,83.187,94
15061481,84.954,71
15061484,87.536,94
15061485,74.574,90
15061486,81.834,88
15061489,85.215,90
15061490,85.121,94
15061491,85.25,90
15061492,85.093,93
15061493,84.883,94
15061494,80.736,71
15061495,84.774,90
15061496,84.801,71
15061499,84.98,90
15061500,74.261,32
15061501,80.1,71
15061503,75.829,94
15061504,68.475,71
15061505,86.269,94
15061507,71.447,71
15061508,71.347,71
15061509,83.301,90
15061511,83.215,71
15061515,87.639,90
15061516,79.986,52
15061517,83.521,90
15061518,75.288,71
15061521,79.927,93
15061522,81.795,71
15061524,80.797,71
15061525,71.431,71
15061526,86.575,94
15061528,84.903,90
15061529,83.277,90
15061530,71.493,71
15061533,71.318,71
15061534,86.633,96
15061535,84.856,90
15061536,71.761,71
15061540,85.117,90
15061542,85.018,90
15061543,84.203,90
15061544,63.894,32
15061546,64.236,71
15061548,84.684,94
15061549,86.905,90
15061550,88.275,94
15061553,87.348,90
15061555,82.05,90
15061556,74.103,71
15061560,87.68,90
15061561,85.588,90
15061564,75.728,71
15061565,87.012,94
15061566,64.078,71
15061568,85.954,90
15061571,79.835,71
15061575,87.437,90
15061576,69.443,90
15061577,88.014,94
15061578,87.96,71
15061579,82.794,71
15061580,83.62,90
15061583,68.579,71
15061584,77.765,71
15061585,69.082,32
15061586,69.25,32
15061588,74.468,90
15061600,78.138,90
15061602,85.294,94
15061603,64.116,32
15061604,83.842,90
15061605,81.791,95
15061608,69.464,94
15061609,64.037,71
15061610,83.692,71
15061612,81.489,71
15061613,68.09,41
15061619,85.135,90
15061621,80.256,94
15061622,81.198,90
15061623,82.197,71
15061624,64.476,71
15061628,83.28,90
15061631,86.242,71
15061632,68.44,71
15061637,82.137,90
15061638,82.182,94
15061639,75.973,71
15061640,85.525,90
15061642,82.198,90
15061645,85.394,90
15061646,87.782,94
15061647,82.033,71
15061648,87.899,90
15061649,82.723,90
15061650,85.352,93
15061651,71.396,71
15061653,89.954,94
15061654,68.507,71
15061655,84.466,90
15061658,68.836,71
15061659,69.554,71
15061661,68.245,32
15061662,77.064,32
15061665,81.561,90
15061668,81.414,90
15061670,75.932,71
15061671,87.812,94
15061673,76.313,71
15061677,85.056,71
15061678,85.183,90
15061679,84.766,90
15061680,75.894,71
15061682,82.129,90
15061683,83.397,71
15061684,77.812,71
15061686,83.788,90
15061687,80.204,71
15061688,83.744,90
15061689,85.134,90
15061704,81.978,71
15061706,83.738,90
15061709,83.844,71
15061712,77.347,90
15061713,82.192,85
15061714,79.239,71
15061717,83.725,90
15061718,77.306,71
15061720,80.353,90
15061723,80.099,90
15061724,85.444,90
15061725,79.09,71
15061726,84.269,94
15061729,88.105,90
15061730,88.085,90
15061733,85.287,94
15061734,85.081,71
15061735,79.188,52
15061736,88.056,94
15061737,88.208,90
15061738,85.125,90
15061740,82.634,71
15061742,84.776,71
15061744,78.732,71
15061747,87.711,94
15061751,69.672,71
15061752,82.635,94
15061753,84.917,71
15061754,82.487,90
15061755,84.645,94
15061756,84.503,94
15061757,84.501,94
15061758,82.749,94
15061759,82.006,94
15061760,88.194,94
15061762,84.915,90
15061765,83.508,90
15061766,84.932,90
15061767,83.616,94
15061769,82.645,71
15061771,84.893,90
15061772,83.766,90
15061773,81.733,90
15061777,84.48,94
15061778,85.096,96
15061784,85.148,90
15061785,81.532,71
15061788,80.72,71
15061790,84.408,71
15061795,86.68,93
15061797,85.083,90
15061798,75.586,71
15061800,87.963,71
15061801,78.638,71
15061808,78.697,96
15061811,82.009,90
15061813,74.469,90
15061815,68.617,90
15061826,75.131,32
15061905,84.055,90
15061906,83.951,71
15061908,86.391,85
15061909,79.105,90
15061910,68.384,71
15061911,79.238,90
15061912,88.985,94
15061915,79.224,90
15061917,89.946,90
15061918,69.512,71
15061926,68.002,32
15061927,80.003,71
15061928,81.233,71
15061929,82.888,71
15061930,69.43,32
15061933,83.777,94
15061934,88.226,94
15061935,79.291,71
15061937,77.759,32
15061939,85.047,94
15061941,83.891,90
15061942,83.676,90
15061944,82.772,71
15061945,89.93,90
15061946,84.56,71
15061948,83.727,90
15061949,86.195,71
15061951,90.018,90
15061952,88.362,90
15061953,64.177,71
