,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,83.986,83.979,84.181,84.325,84.218,84.522,84.42496,84.543,84.398,84.613,82.411,82.263
15060025,87.106,86.892,87.073,87.071,87.072,87.276,87.13903,87.085,87.022,87.13,86.794,92.079
15060027,89.044,88.575,88.687,88.29,88.684,88.18,88.71906,88.8,88.495,88.064,91.589,91.498
15060039,86.411,87.064,86.481,86.498,86.478,86.697,86.36854,86.533,87.139,86.585,86.805,88.917
15060042,88.67,88.013,88.545,88.45,88.537,88.86,88.48101,88.419,88.399,88.368,91.589,90.227
15060056,88.804,88.34,88.522,88.219,88.543,87.812,88.89605,88.726,88.54,88.082,91.59,90.096
15060063,84.91,84.317,85.2,85.432,85.121,85.462,84.92664,85.236,85.595,85.829,83.589,84.166
15060070,90.872,90.442,90.646,90.471,90.692,90.307,90.82821,90.766,90.121,90.256,91.881,91.837
15060081,88.865,87.24,88.61,88.23,88.549,88.473,88.36324,88.793,87.552,88.312,93.591,91.568
15060085,88.372,86.515,88.334,88.141,88.216,88.011,88.30115,87.965,86.449,87.925,88.104,90.185
15060087,90.795,90.44,90.591,90.413,90.62,90.307,90.7633,90.756,90.121,90.213,92.158,92.983
15060097,90.983,89.827,90.552,90.272,90.534,90.629,92.43979,90.565,90.037,90.541,93.59,91.885
15060102,86.887,86.29,87.066,87.078,87.054,87.042,86.84484,86.778,86.382,87.054,85.171,88.057
15060112,86.096,86.092,86.246,86.312,86.249,86.203,86.23948,86.163,86.678,86.45,84.403,84.632
15060114,91.384,91.138,91.273,91.165,91.271,91.423,91.45078,91.3,90.809,91.288,91.955,91.732
15060120,88.982,89.362,88.697,88.367,88.706,88.424,89.22183,88.763,88.754,88.29,91.591,90.72
15060121,86.798,86.181,86.837,86.718,86.773,86.845,86.82329,86.813,86.785,86.655,85.36,88.478
15060122,90.059,89.98,90.049,89.999,90.021,89.885,89.979,89.974,89.756,89.871,88.007,86.469
15060138,88.054,87.726,87.852,87.783,87.88,87.82,88.05618,88.063,88.391,87.529,91.59,90.072
15060160,88.826,89.442,89.085,89.299,89.08,88.82,87.32214,87.523,90.065,88.922,84.41,85.352
15060187,86.762,86.596,86.954,86.933,86.884,86.769,86.95731,87.096,85.991,86.807,87.014,85.866
15060188,91.006,90.09,90.704,90.523,90.731,90.339,90.48905,90.522,90.174,90.267,93.59,91.824
15060190,85.972,85.392,86.183,86.292,86.259,85.746,85.94144,85.833,85.39,86.232,84.409,84.762
15060191,85.946,86.139,85.933,85.963,85.974,86.068,86.06107,86.013,86.076,85.951,84.41,84.877
15060214,89.742,88.609,89.217,88.879,89.3,88.935,89.35458,89.082,88.625,89.103,91.59,90.605
15060313,83.987,84.319,84.454,84.832,84.417,84.526,83.83557,84.521,84.767,84.828,83.59,83.588
15060320,86.291,85.885,86.297,86.366,86.315,85.939,86.30468,86.341,86.024,86.295,84.409,85.241
15060345,84.409,84.244,84.465,84.564,84.45,84.384,84.41599,84.385,84.215,84.595,84.341,84
15060383,83.926,84.326,84.385,84.773,84.374,84.483,83.67078,84.459,84.648,84.777,81.068,82.055
15060420,84.35,84.256,84.417,84.521,84.412,84.388,84.37159,84.379,84.215,84.589,84.25,84
15060543,89.974,90.113,89.718,89.561,89.788,89.023,89.84269,89.522,89.492,89.342,91.846,87.96
15060570,86.585,86.297,86.892,86.949,86.807,87.163,86.69415,86.815,86.239,87.029,84.411,85.609
15060797,85.465,86.411,85.897,86.145,85.942,86.191,85.33602,85.593,85.657,86.066,82.409,84.36
15060846,90.262,90.062,90.142,90.099,90.139,90.138,90.3173,90.249,89.756,90.074,91.589,91.153
15060907,89.143,89.442,88.852,88.615,89.005,88.349,89.71192,89.032,89.328,88.484,91.591,90.35
15060910,85.249,85.608,85.533,85.83,85.595,85.226,85.0745,85.616,85.8,85.488,84.41,84.593
15060933,89.876,90.085,89.606,89.478,89.701,89.014,89.81954,89.571,89.492,89.279,93.59,91.36
15060964,83.184,85.278,83.679,84.137,83.583,84.084,83.65889,84.063,84.051,84.256,81.409,82.043
15061007,83.136,85.27,83.616,84.109,83.526,84.134,83.60052,84.043,84.051,84.223,81.409,82.081
15061011,86.702,86.794,86.762,86.796,86.756,86.962,86.92641,86.886,86.759,86.925,84.411,85.023
15061122,90.183,90.044,90.094,90.044,90.106,90.117,90.25022,90.209,89.756,90.032,91.589,91.868
15061204,85.438,85.04,85.652,85.93,85.737,85.753,85.33766,85.957,85.561,85.829,84.41,85.786
15061213,86.372,87.019,86.452,86.474,86.464,86.553,86.32493,86.416,87.118,86.543,84.411,85.074
15061215,86.505,87.082,86.572,86.565,86.525,86.544,86.28458,86.419,87.214,86.594,84.083,84.604
15061216,86.058,84.691,86.179,86.38,86.289,86.963,86.17904,86.5,85.58,86.635,84.41,85.639
15061225,91.529,91.299,91.464,91.336,91.436,91.245,91.61196,91.282,91.261,91.395,91.787,91.879
15061226,89.371,89.109,89.097,88.867,89.009,88.302,89.56532,88.996,89.422,88.379,91.59,90.121
15061228,86.241,86.604,86.364,86.682,86.466,86.643,85.59401,86.081,86.405,86.728,84.41,84.821
15061237,90.122,90.182,89.833,89.636,89.881,89.066,89.96733,89.601,89.788,89.371,94.59,91.801
15061256,89.291,89.814,88.989,88.669,88.848,88.235,88.662,88.673,89.599,88.501,91.59,90.46
15061257,88.255,88.992,88.526,88.52,88.51,88.228,87.55948,87.584,89.149,88.373,84.409,85.706
15061259,90.823,90.442,90.611,90.439,90.655,90.289,90.78106,90.716,90.121,90.207,91.698,91.941
15061260,87.028,86.88,87.004,87.005,87.014,87.149,87.04316,87.012,86.958,87.083,85.601,90.08
15061262,85.058,85.221,85.178,85.333,85.195,85.081,85.11889,85.146,85.32,85.24,84.409,84.912
15061263,84.889,85.117,85.033,85.284,85.137,85.66,85.09213,85.369,85.449,85.328,84.41,85.66
15061264,86.112,85.658,86.232,86.394,86.214,86.207,85.69064,85.582,85.795,85.794,84.409,84.926
15061265,88.747,89.037,88.455,88.33,88.464,88.076,88.16219,88.09,88.572,87.876,91.591,89.667
15061270,84.543,84.627,84.577,84.741,84.63,84.692,84.87052,84.866,84.465,84.831,84.321,84.104
15061273,88.735,89.038,88.45,88.303,88.45,87.965,88.12289,88.032,88.572,87.823,90.885,87.7
15061274,85.285,84.156,85.573,85.719,85.542,86.483,85.8407,85.884,85.187,86.134,84.41,85.368
15061277,87.891,88.617,87.845,87.768,87.56,87.796,88.4359,88.548,88.558,87.747,91.59,90.156
15061282,91.414,91.137,91.293,91.189,91.328,91.363,91.51975,91.279,90.809,91.268,92.409,92.169
15061283,86.047,86.106,86.185,86.287,86.214,86.179,86.22287,86.15,86.678,86.419,84.41,84.571
15061286,85.461,85.2,85.897,86.01,85.836,85.996,85.41326,85.541,85.657,86.131,84.41,84.262
15061288,86.257,87.003,86.356,86.369,86.3,86.562,86.45761,86.568,87.023,86.486,88.118,88.994
15061289,86.344,87.05,86.423,86.447,86.407,86.642,86.33417,86.441,87.139,86.534,84.412,84.693
15061290,88.901,89.794,88.43,88.084,88.41,88.016,89.92683,89.373,90.257,88.613,91.59,90.486
15061291,85.767,85.643,85.85,85.976,85.856,86.17,86.2284,86.194,85.668,86.127,84.41,85.719
15061293,85.479,85.74,85.723,85.906,85.789,85.72,86.07444,86.122,86.681,86.168,84.411,85.595
15061295,87.458,88.224,87.407,87.305,87.307,87.586,87.55675,87.529,88.484,87.364,88.887,89.184
15061296,86.073,85.836,86.314,86.473,86.333,86.667,86.0395,86.011,86.407,86.632,84.41,84.408
15061298,85.157,85.339,85.335,85.513,85.288,86.377,85.61785,85.969,84.712,85.984,84.411,85.438
15061299,91.362,91.068,91.209,91.124,91.238,91.198,91.37191,91.252,90.789,91.197,91.59,91.688
15061303,88.279,88.314,88.124,88.02,88.117,88.267,88.58268,88.515,88.135,88.268,91.096,89.406
15061307,86.104,86.586,86.263,86.586,86.369,86.596,85.55354,86.053,86.405,86.667,84.41,84.849
15061312,85.777,85.707,85.875,85.981,85.862,86.184,86.21768,86.184,85.836,86.119,84.619,88.132
15061313,85.924,86.134,85.902,85.921,85.942,86.037,86.00508,85.986,86.076,85.92,84.41,84.977
15061314,84.3,85.316,84.461,84.554,84.426,84.861,84.68916,84.758,85.45,84.887,84.367,84.158
15061317,84.967,85.209,85.083,85.247,85.116,85.055,85.01935,85.135,85.383,85.199,84.225,84.628
15061318,89.249,89.805,88.898,88.721,88.929,88.584,88.86234,88.902,89.867,88.52,91.59,90.386
15061319,86.926,86.837,86.909,86.943,86.928,87.001,86.96991,86.952,86.784,86.991,85.495,88.911
15061320,88.407,88.839,88.375,88.447,88.473,88.446,88.11384,87.9,88.94,88.453,87.585,87.717
15061323,91.256,91.077,91.101,91,91.145,91.223,91.30918,91.266,90.789,91.182,91.589,91.457
15061324,86.168,86.879,86.41,86.692,86.463,86.247,85.19793,86.076,85.451,86.177,84.41,85.536
15061329,84.74,84.577,84.804,84.852,84.849,85.287,85.07952,85.107,84.67,85.025,83.7,84.01
15061334,85.905,87.432,86.059,86.175,86.042,86.238,85.8219,85.88,87.366,86.152,84.411,85.146
15061335,85.526,87.03,85.714,85.961,85.882,86.862,85.93765,86.001,87.036,86.427,84.41,84.723
15061337,86.051,86.097,86.214,86.282,86.214,86.126,86.20951,86.169,86.678,86.433,84.41,85.533
15061338,90.836,90.44,90.628,90.453,90.663,90.366,90.77956,90.744,90.121,90.236,91.646,91.92
15061340,90.783,90.438,90.586,90.419,90.638,90.314,90.76196,90.725,90.121,90.23,91.201,87.922
15061344,87.048,87.954,87.2,87.449,87.258,86.754,86.5637,86.614,87.86,87.087,84.41,85.284
15061345,84.375,84.239,84.442,84.528,84.434,84.35,84.36666,84.376,84.215,84.57,84.36,84
15061346,84.445,84.252,84.502,84.582,84.494,84.403,84.43736,84.416,84.215,84.614,84.361,84
15061347,85.983,86.76,86.03,86.119,85.997,86.348,85.83814,86.032,86.581,86.305,84.084,84.345
15061348,86.06,86.035,86.209,86.287,86.227,86.202,86.22931,86.176,86.582,86.448,84.41,84.569
15061349,86.184,87.44,86.453,86.56,86.394,86.711,86.32579,86.371,86.757,86.899,84.41,85.432
15061350,85.817,85.672,85.896,86.016,85.903,86.117,86.21948,86.174,85.763,86.112,83.825,85.086
15061352,86.218,86.528,86.214,86.239,86.217,86.161,86.20778,86.234,86.508,86.257,83.756,84.168
15061353,86.115,86.093,86.265,86.333,86.272,86.203,86.25264,86.178,86.678,86.465,84.435,86.347
15061355,86.157,86.096,86.301,86.338,86.275,86.128,86.23645,86.197,86.734,86.469,84.41,84.462
15061356,90.255,90.02,90.139,90.094,90.184,90.215,90.27995,90.229,89.756,90.134,91.693,91.828
15061357,84.693,84.539,84.752,84.818,84.816,85.204,85.07895,85.095,84.67,84.983,84.395,84.474
15061358,86.999,86.815,86.979,86.97,86.981,87.016,86.97866,86.939,86.848,87.036,84.522,85.528
15061360,86.077,86.111,86.237,86.316,86.244,86.128,86.23533,86.155,86.605,86.448,84.399,84.478
15061364,86.173,86.132,86.324,86.388,86.328,86.179,86.27019,86.19,86.678,86.488,84.411,84.415
15061365,86.364,87.11,86.426,86.443,86.438,86.611,86.31961,86.466,87.139,86.531,84.411,85.924
15061367,86.37,87.051,86.414,86.439,86.435,86.604,86.3862,86.487,87.118,86.521,85.167,88.079
15061369,86.767,86.215,86.847,86.73,86.753,86.85,86.84789,86.816,86.785,86.672,85.35,88.884
15061376,84.343,84.236,84.409,84.506,84.406,84.313,84.36907,84.368,84.215,84.57,84.293,84
15061378,85.437,87.027,85.648,85.886,85.816,86.731,85.89802,85.923,87.036,86.383,84.135,84.635
15061380,85.96,86.744,85.986,86.063,85.967,86.161,85.90251,86.036,86.581,86.247,84.412,84.871
15061382,91.362,91.072,91.225,91.117,91.259,91.349,91.44604,91.283,90.582,91.217,91.999,91.99
15061383,86.09,86.092,86.238,86.304,86.24,86.203,86.22498,86.158,86.678,86.441,84.41,84.817
15061384,90.746,90.439,90.551,90.379,90.584,90.251,90.74062,90.713,90.121,90.184,91.633,91.786
15061388,88.686,87.824,88.3,88.093,88.376,87.643,88.34041,88.536,88.43,87.837,91.59,89.637
15061390,86.3,86.559,86.28,86.304,86.303,86.256,86.2876,86.303,86.529,86.316,84.409,86.212
15061391,86.286,86.561,86.268,86.275,86.275,86.241,86.26353,86.267,86.508,86.293,84.408,84.878
15061392,85.752,85.919,86.002,86.274,86.116,86.672,85.92881,86.329,87.132,86.592,84.41,85.334
15061394,85.097,85.191,85.221,85.361,85.24,85.001,85.12688,85.132,85.383,85.205,84.41,85.014
15061396,85.084,85.227,85.21,85.358,85.231,85.053,85.16176,85.167,85.383,85.257,84.862,87.306
15061404,86.301,86.559,86.279,86.301,86.307,86.267,86.29455,86.273,86.529,86.289,84.359,85.45
15061406,86.078,86.033,86.241,86.308,86.25,86.128,86.2412,86.17,86.605,86.451,84.407,85.344
15061410,87.75,87.887,87.601,87.5,87.52,87.465,87.92933,87.775,88.051,87.428,91.59,89.396
15061411,91.253,90.55,90.986,90.67,90.969,90.734,90.96888,90.916,90.093,90.351,93.42,92.904
15061414,86.371,86.59,86.345,86.349,86.354,86.314,86.32683,86.312,86.529,86.347,84.408,84.468
15061415,88.032,87.545,87.998,87.972,88.029,88.158,88.15253,88.133,87.55,87.925,90.568,86.989
15061417,86.336,86.558,86.317,86.332,86.338,86.286,86.30297,86.298,86.529,86.32,84.408,86.361
15061418,86.295,86.581,86.27,86.285,86.274,86.327,86.29803,86.298,86.529,86.313,85.443,89.798
15061419,90.752,90.439,90.558,90.388,90.592,90.251,90.75962,90.721,90.121,90.192,91.603,91.732
