,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,249.482,252.764,254.311,247.573,258.496,242.111,258.44827,250.352,251.903,256.97,304.336,307.419
15060025,233.315,233.008,233.541,233.389,233.081,238.3,227.5296,227.763,227.963,234.152,304.29,244.358
15060027,195.931,212.87,193.671,195.44,189.557,208.441,193.36728,202.386,226.15,199.197,270.524,225.623
15060039,165.922,167.29,163.542,166.078,160.219,165.916,169.5239,173.265,182.906,159.284,245.257,258.617
15060042,186.268,187.977,180.525,186.008,171.882,195.514,177.97616,192.507,180.699,186.387,65.612,96.864
15060056,246.636,260.012,251.957,242.866,254.14,245.506,257.61225,245.292,254.412,256.713,304.381,288.432
15060063,248.175,246.959,258.558,247.586,263.65,246.81,275.19417,249.463,228.191,256.3,328.315,307.629
15060070,185.197,185.404,183.402,186.412,182.384,189.519,188.00502,191.3,187.977,185.159,274.765,260.197
15060081,230.856,239.835,233.104,229.528,235.79,237.091,239.27603,233.817,236.722,237.318,330.351,305.256
15060085,261.938,247.842,278.164,261.61,285.342,245.581,273.60757,255.304,248.213,266.87,330.304,327.051
15060087,186.307,185.972,185.179,187.323,184.204,189.519,188.28215,191.636,187.977,186.073,282.585,278.155
15060097,146.156,156.576,130.879,140.929,121.398,160.914,77.42741,151.97,153.702,129.506,54.709,85.053
15060102,204.114,218.531,202.836,203.933,200.526,200.597,202.74743,205.33,219.575,203.707,304.322,254.076
15060112,195.838,197.964,196.116,195.843,194.228,199.443,199.21954,199.688,201.238,195.38,304.355,232.035
15060114,237.121,235.975,241.2,236.76,244.86,232.468,252.64757,243.288,249.789,241.865,168.642,159.641
15060120,227.792,245.194,236.879,228.375,236.67,219.536,236.44722,226.408,247.702,225.277,304.399,270.777
15060121,209.694,202.754,206.518,206.917,207.023,198.615,208.11657,208.402,198.517,205.735,304.307,247.762
15060122,199.644,192.684,197.983,200.212,197.293,196.885,198.57187,196.86,197.618,197.068,235.335,247.106
15060138,227.287,214.193,233.401,226.482,238.428,219.517,237.03936,225.38,210.346,227.076,304.343,272.317
15060160,208.786,208.049,211.548,209.096,219.417,211.091,245.46452,219.032,212.618,217.779,330.412,283.014
15060187,261.685,254.819,271.786,259.099,283.421,246.721,283.75434,254.936,257.679,273.471,304.354,304.587
15060188,196.181,188.142,195.378,195.755,199.572,199.492,201.6708,203.75,188.618,196.342,304.335,252.087
15060190,234.154,211.312,238.207,233.74,237.33,232.805,226.36728,224.901,205.731,232.528,304.349,226.83
15060191,269.092,260.254,280.137,269.641,285.377,259.515,292.35085,269.649,256.572,276.28,327.404,321.142
15060214,217.686,207.204,223.405,217.625,226.308,225.389,241.84146,224.78,193.229,233.615,304.38,264.247
15060313,240.796,242.252,249.995,236.759,254.758,237.882,275.0982,249.448,236.877,257.875,338.34,324.227
15060320,180.484,175.367,169.089,180.048,162.776,193.067,166.39921,180.35,178.924,176.742,54.659,79.405
15060345,211.375,224.006,213.48,210.734,211.164,213.648,212.69752,214.851,224.497,213.304,303.62,267.168
15060383,240.458,242.611,250.178,236.833,254.694,239.084,274.98778,249.31,236.877,257.778,331.697,313.077
15060420,214.006,224.584,216.706,213.689,215.415,214.806,215.28969,216.162,224.497,215.213,306.679,294.392
15060543,257.511,238.706,264.502,254.77,272.607,239.511,277.80274,252.03,213.987,261.07,304.307,311.33
15060570,241.646,224.953,243.834,238.276,248.152,245.129,250.22217,236.11,218.367,245.366,304.307,278.53
15060797,248.453,238.383,253.885,247.154,260.165,244.545,257.33625,242.122,236.567,257.316,304.342,283.102
15060846,198.071,192.426,196.013,199.408,196.221,197.933,195.49249,195.235,197.618,195.121,79.52,102.545
15060907,243.481,231.224,248.646,241.366,261.759,238.751,262.27004,236.881,258.608,255.567,304.383,284.593
15060910,231.755,229.657,232.327,231.297,233.97,228.144,217.09381,213.786,233.237,228.748,286.992,231.049
15060933,258.129,239.048,265.344,255.476,273.806,240.32,278.55789,251.965,213.987,261.316,304.295,305.511
15060964,255.903,250.733,266.275,254.651,272.636,246.153,268.80914,248.979,262.858,262.707,304.319,303.063
15061007,255.737,250.749,266.251,254.73,272.493,245.655,269.16109,248.293,262.858,261.287,304.316,302.012
15061011,233.067,232.351,233.92,233.395,233.33,236.886,227.83831,227.91,227.963,234.175,304.293,216.829
15061122,200.052,192.767,198.539,201.068,198.97,196.832,200.24524,196.972,197.618,197.142,262.14,263.278
15061204,208.232,224.417,196.16,207.744,189.154,210.756,153.37285,197.18,221.675,191.579,54.601,115.291
15061213,164.593,167.002,161.633,165.222,157.928,166.636,165.32146,172.204,182.906,158.478,63.695,99.93
15061215,165.847,165.319,163.016,166.005,159.51,166.479,167.3248,172.259,182.906,159.744,68.896,101.803
15061216,250.502,236.787,254.829,246.713,261.288,251.639,263.06771,245.234,224.125,258.267,304.385,284.546
15061225,241.039,237.872,246.667,240.546,252.173,233.755,261.1173,246.199,250.493,246.94,304.311,287.925
15061226,224.302,208.92,218.528,224.973,215.927,231.801,191.877,206.448,201.322,219.265,54.656,115.518
15061228,209.335,198.671,206.041,208.042,200.385,203.822,196.34483,202.266,197.633,200.794,238.856,212.484
15061237,256.032,238.087,261.718,253.076,270.495,238.509,276.02479,250.812,213.987,258.741,304.41,308.756
15061256,259.765,249.197,272.189,259.499,276.801,241.662,263.75287,245.126,239.786,261.606,304.375,288.482
15061257,234.11,213.674,233.941,234.824,235.887,230.488,243.90717,232.396,222.567,231.374,304.337,266.843
15061259,185.244,185.63,183.342,186.321,182.455,189.718,187.17473,190.93,187.977,185.199,200.904,79.12
15061260,232.085,232.237,232.003,232.361,231.284,236.568,225.6258,227.051,227.963,233.007,281.962,133.27
15061262,220.77,217.672,220.635,221.226,218.918,219.358,214.8678,215.389,206.575,220.766,244.291,153.416
15061263,222.421,212.66,222.174,222.236,222.905,222.526,232.55821,223.029,202.958,225.257,304.334,267.015
15061264,217.913,218.748,215.411,219.374,214.701,216.471,200.61597,207.622,221.817,216.389,54.637,105.436
15061265,212.199,225.197,212.169,210.165,209.948,209.45,215.05527,216.426,231.409,211.825,304.399,286.254
15061270,227.16,225.043,229.538,226.878,231.776,220.446,226.96854,222.574,226.898,226.647,288.843,177.214
15061273,212.669,225.555,213.006,210.79,211.047,208.978,215.03349,216.845,231.521,212.784,316.039,289.53
15061274,211.313,206.34,213.82,210.711,214.462,209.841,226.78436,216.193,195.899,211.636,304.306,264.517
15061277,219.458,219.338,226.791,218.43,232.048,216.016,242.69469,224.268,199.634,222.025,304.289,269.245
15061282,237.509,232.805,242.218,236.735,245.867,232.903,257.9075,246.611,237.97,244.655,304.371,289.929
15061283,195.934,194.183,195.636,195.818,194.585,199.354,199.46136,199.862,195.712,195.4,315.522,274.624
15061286,240.654,236.592,249.147,240.769,251.84,217.119,262.96638,247.519,227.899,240.22,332.386,322.106
15061288,165.491,165.791,162.641,165.649,159.799,164.276,165.76983,172.102,183.019,158.992,54.69,111.687
15061289,165.176,167.58,162.483,165.445,158.622,166.239,167.86071,172.326,182.906,158.811,119.673,122.679
15061290,233.54,225.372,239.711,233.412,250.4,223.83,260.17519,224.135,221.39,233.667,304.349,270.092
15061291,169.997,175.952,155.895,171.571,144.747,192.412,155.08607,171.606,163.439,164.325,54.666,55.615
15061293,208.633,211.359,208.704,210.53,206.556,215.508,199.36716,204.189,206.803,206.109,54.71,112.564
15061295,241.584,237.083,246.886,243.735,252.69,232.318,250.37324,244.392,227.634,242.345,304.282,291.499
15061296,201.252,211.293,199.94,201.205,200.228,203.452,199.17746,202.716,228.293,201.105,267.24,217.722
15061298,202.399,198.415,199.447,205.915,193.508,208.68,190.02754,199.631,188.14,201.243,54.659,107.103
15061299,237.483,232.342,241.991,236.932,245.008,232.432,255.32953,244.52,234.418,242.514,304.361,300.249
15061303,173.099,178.588,171.146,172.317,168.778,173.052,163.74214,172.258,178.683,167.328,71.057,122.645
15061307,209.595,198.612,206.331,208.336,200.773,203.582,195.65121,201.577,197.633,200.551,195.419,130.821
15061312,171.381,176.092,157.197,172.849,146.683,192.813,156.0216,172.033,163.439,165.224,54.689,54.673
15061313,270.012,260.709,281.624,270.891,287.543,260.776,293.4749,270.424,256.572,277.749,326.352,316.762
15061314,249.392,248.45,261.784,247.704,266.116,229.909,261.06198,246.846,246.145,252.409,304.625,311.714
15061317,221.639,217.82,221.717,221.873,220.331,220.12,213.16557,215.477,206.575,221.349,261.392,138.086
15061318,205.551,195.882,201.707,207.125,200.168,205.403,189.2857,200.878,189.253,201.362,54.645,111.146
15061319,232.732,232.331,232.93,233.084,232.363,238.418,226.85427,228.057,227.963,234.154,289.759,240.002
15061320,202.754,199.913,194.083,201.134,195.565,196.323,178.95169,197.526,197.282,192.162,218.446,179.745
15061323,237.602,233.006,242.1,236.828,245.463,232.526,254.45541,245.582,237.97,244.675,304.351,298.473
15061324,235.744,233.203,241.524,234.291,248.712,213.297,264.52613,225.357,214.892,228.428,304.361,275.02
15061329,167.241,169.697,152.603,168.514,147.554,177.259,150.08399,162.445,163.051,160.346,54.648,76.41
15061334,219.48,227.184,227.031,219.526,228.206,212.942,225.32168,217.796,236.043,220.895,304.347,278.519
15061335,227.158,221.004,239.007,228.104,241.034,222.956,239.36968,229.952,208.874,230.43,306.114,296.052
15061337,194.522,189.607,194.339,194.607,192.683,199.841,199.2196,199.302,190.395,194.586,304.337,282.875
15061338,186.093,185.954,184.374,186.918,184.149,190.451,188.21649,191.785,187.977,186.402,294.91,291.435
