SAMPLES,GEBVs(BRR),ACTUAL
15062362,191.528,41
15061954,211.197,41
15062339,248.078,318
15061482,97.266,41
15062104,147.002,41
15061707,251.626,318
15061567,203.928,41
15061964,219.306,41
15061488,207.481,41
15061438,205.877,336
15061814,216.844,41
15061721,260.881,318
15061601,195.349,318
15061719,218.799,318
15061629,241.465,318
15061477,185.16,344
15061761,218.063,318
15061336,201.772,41
15061386,207.142,318
15061305,177.178,41
15061676,192.731,318
15061523,182.463,41
15061763,197.852,318
15061385,182.705,41
15062133,278.118,318
15061333,219.207,318
15061627,258.75,318
15061731,206.52,318
15061641,218.515,318
15061330,221.458,41
15061626,206.979,318
15062147,263.045,318
15061487,221.488,318
15060536,256.508,318
15061261,232.876,318
15061389,208.564,41
15060101,219.835,318
15061397,181.566,318
15061551,103.236,41
15061539,182.785,318
15062115,196.37,41
15061361,193.113,318
15061669,159.4,318
15062359,199.96,41
15061690,208.433,41
15061308,208.243,318
15062372,213.197,318
15061342,193.861,318
15061281,162.127,318
15061932,167.403,41
15061370,215.234,318
15061630,255.667,318
15061789,97.008,41
15061666,275.136,41
15062143,234.179,41
15061297,278.776,318
15061907,214.034,336
15061538,182.688,41
15062371,196.102,318
15061685,233.713,318
15062081,217.271,318
15061969,132.377,41
15061498,218.317,318
15061271,250.137,318
15062344,282.895,318
15061279,242.676,346
15062144,183.752,318
15061722,214.243,41
15061768,165.524,318
15061557,231.066,344
15061434,264.558,318
15060072,241.221,344
15061405,247.094,41
15062052,212.139,318
15062098,213.74,41
15061916,193.62,344
15061377,231.842,41
15061633,176.768,41
15061702,263.941,318
15061614,244.971,318
15061368,208.399,318
15061520,164.009,41
15060082,238.976,41
15061656,235.582,344
15061331,212.493,318
15061327,233.724,318
15062074,212.905,41
15061300,195.49,41
15061776,95.951,318
15061462,241.485,318
15061302,238.133,41
15061957,216.552,318
15061514,230.94,318
15060909,168.408,41
15062063,194.181,41
15060090,196.118,318
15061301,191.723,352
15061423,148.114,41
15061453,194.961,41
15060215,246.463,318
15062119,145.994,41
15061537,219.776,41
15061667,234.826,318
15062123,290.419,344
15061710,254.777,318
15061258,225.441,344
15061443,95.018,41
15060050,195.568,318
15060110,184.007,344
15062053,162.971,318
15061764,200.404,318
15061799,198.94,41
