,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,94.427,94.482,94.534,94.381,94.793,94.423,94.76823,94.646,94.881,94.575,95.149,95.275
15060025,94.928,95.534,95.044,94.864,95.135,94.918,95.10326,94.864,95.196,94.973,94.832,94.956
15060027,93.63,94.365,93.863,93.508,94.147,93.625,94.30154,93.885,94.54,93.722,95.08,95.052
15060039,94.527,93.936,94.595,94.384,94.699,94.476,94.59544,94.533,93.815,94.547,94.859,94.812
15060042,94.333,95.629,94.437,94.337,94.496,94.462,94.51958,94.439,95.554,94.406,94.812,94.263
15060056,94.171,93.328,94.21,94.173,94.178,94.119,94.15433,94.245,94.453,94.122,94.958,95.085
15060063,90.361,91.321,88.157,90.907,85.815,90.814,84.76972,88.979,89.761,88.872,94.191,72.723
15060070,94.342,94.76,94.521,94.289,94.664,94.194,94.73944,94.514,94.313,94.388,95.031,94.848
15060081,94.924,94.566,95.07,94.822,95.08,94.971,94.93517,94.69,94.405,95.012,95.261,95.095
15060085,94.747,95.617,95.118,94.39,95.374,94.508,95.00436,94.678,95.292,94.778,95.224,95.018
15060087,94.338,94.76,94.534,94.286,94.672,94.194,94.73317,94.513,94.313,94.391,95.108,95.039
15060097,94.688,95.195,94.854,94.586,94.988,94.441,94.98178,94.714,95.484,94.883,94.806,93.616
15060102,94.597,94.068,94.983,94.386,95.119,94.513,94.9435,94.716,94.652,94.796,95.144,95.034
15060112,94.516,94.291,94.768,94.526,94.933,94.535,94.88993,94.706,94.676,94.739,94.988,94.999
15060114,95.264,95.37,95.444,95.188,95.495,95.227,95.46684,95.402,95.406,95.444,94.811,94.452
15060120,93.648,93.036,93.402,93.835,93.422,93.961,93.78619,93.941,93.245,93.674,94.76,94.836
15060121,93.244,94.043,93.187,93.204,93.277,93.478,93.5188,93.556,93.322,93.356,94.924,94.509
15060122,94.735,94.698,94.661,94.645,94.752,94.896,94.62328,94.757,94.231,94.772,94.749,94.749
15060138,93.606,93.38,93.451,93.484,93.475,93.579,93.85592,93.971,93.677,93.698,94.545,94.774
15060160,94.839,94.512,94.728,94.725,94.592,94.636,94.80336,94.806,94.125,94.627,94.902,94.15
15060187,93.983,94.075,94.076,94.541,94.219,93.694,94.46353,94.289,94.306,93.976,95.19,95.146
15060188,94.593,94.773,94.759,94.554,94.924,94.563,94.83907,94.611,94.189,94.667,95.009,94.957
15060190,94.413,93.655,94.348,94.446,94.835,94.621,94.71252,94.57,93.645,94.587,94.828,94.675
15060191,94.898,95.923,95.112,94.748,95.193,95.003,95.08371,95.01,96.128,95.126,95.178,95.371
15060214,94.75,95.836,94.858,94.48,94.977,94.592,94.92966,94.734,95.427,95.07,94.931,94.973
15060313,95.055,94.91,95.309,95.053,95.566,95.591,95.40119,95.111,94.855,95.474,95.183,95.397
15060320,93.57,92.011,93.512,93.569,93.593,93.169,93.7264,93.479,92.471,93.345,94.555,94.168
15060345,94.137,93.172,94.468,93.979,94.65,93.914,94.62125,94.441,94.069,94.319,94.873,94.957
15060383,95.09,94.9,95.358,95.063,95.609,95.638,95.48004,95.137,94.855,95.504,95.191,95.676
15060420,94.121,93.165,94.461,93.976,94.637,93.95,94.62989,94.437,94.069,94.313,95.155,95.267
15060543,94.28,93.789,94.606,94.319,94.818,94.534,94.95394,94.781,93.9,94.475,95.226,95.918
15060570,94.275,93.301,94.647,95.295,94.726,93.94,94.82717,94.207,94.212,94.28,95.19,95.265
15060797,94.059,95.287,94.099,94.154,94.049,94.054,94.46023,94.303,94.557,93.927,95.191,95.077
15060846,94.76,94.764,94.707,94.659,94.772,94.909,94.60962,94.736,94.231,94.752,94.813,94.316
15060907,94.243,93.353,94.318,94.698,94.402,94.487,94.55025,94.431,93.561,94.549,94.865,94.558
15060910,95.162,94.839,95.58,95.153,95.667,94.939,95.19926,94.977,94.779,95.246,95.189,95.299
15060933,94.285,93.791,94.599,94.348,94.834,94.538,94.99311,94.779,93.9,94.474,95.221,95.902
15060964,94.753,94.154,95.193,94.934,95.57,94.501,95.34802,94.621,93.462,94.875,95.191,95.835
