,PREDICTED,ACTUAL
15060021,94.682,95
15060025,95.05,95
15060027,93.901,95
15060039,94.629,95
15060042,94.437,94
15060056,94.087,95
15060063,88.138,95
15060070,94.467,95
15060081,95.02,95
15060085,95.086,95
15060087,94.493,95
15060097,94.881,94
15060102,94.961,95
15060112,94.872,95
15060114,95.481,94
15060120,93.516,95
15060121,93.325,95
15060122,94.682,95
15060138,93.553,95
15060160,94.641,95
15060187,94.05,96
15060188,94.773,95
15060190,94.599,95
15060191,95.07,95
15060214,94.901,95
15060313,95.314,95
15060320,93.581,94
15060345,94.438,95
15060383,95.351,96
15060420,94.421,95
15060543,94.619,96
15060570,94.531,96
15060797,94.053,96
15060846,94.705,94
15060907,94.302,95
15060910,95.471,96
15060933,94.635,96
15060964,95.263,96
15061007,95.256,96
15061011,94.999,95
15061122,94.732,96
15061204,93.43,94
15061213,94.557,94
15061215,94.57,94
15061216,94.072,96
15061225,95.492,96
15061226,93.893,94
15061228,94.72,95
15061237,94.504,96
15061256,95.453,95
15061257,95.086,96
15061259,94.471,94
15061260,95.043,94
15061262,95.157,94
15061263,95.894,96
15061264,95.258,94
15061265,91.301,95
15061270,94.316,96
15061273,91.291,44
15061274,93.735,96
15061277,94.649,96
15061282,95.529,96
15061283,94.944,95
15061286,88.944,39
15061288,94.457,94
15061289,94.577,94
15061290,94.788,95
15061291,93.796,94
15061293,94.385,94
15061295,94.529,96
15061296,93.805,95
15061298,92.358,94
15061299,95.494,96
15061303,94.706,94
15061307,94.672,94
15061312,93.791,94
15061313,95.06,96
15061314,93.357,96
15061317,95.195,94
15061318,94.314,94
15061319,95.093,95
15061320,95.57,94
15061323,95.469,96
15061324,94.744,95
15061329,93.868,94
15061334,93.374,96
15061335,93.423,96
15061337,94.824,94
15061338,94.424,96
15061340,94.501,96
15061344,94.954,96
15061345,94.387,94
15061346,94.402,94
15061347,95.794,96
15061348,94.834,96
15061349,93.515,96
15061350,93.802,94
15061352,86.909,43
15061353,94.847,96
15061355,94.858,94
15061356,94.785,96
15061357,93.995,94
15061358,95.046,96
15061360,94.866,94
15061364,94.871,95
15061365,94.577,96
15061367,94.525,94
15061369,93.288,96
15061376,94.406,96
15061378,93.412,96
15061380,95.865,95
15061382,95.489,96
15061383,94.885,96
15061384,94.524,96
15061388,94.39,94
15061390,86.957,94
15061391,86.947,33
15061392,94.09,96
15061394,95.163,96
15061396,95.131,94
15061404,87.024,35
15061406,94.831,96
15061410,94.687,96
15061411,94.665,94
15061414,86.957,94
15061415,95.014,96
15061417,87.023,95
15061418,87.031,94
15061419,94.51,94
15061420,95.57,96
15061421,95.09,96
15061422,94.253,94
15061424,94.91,96
15061425,94.371,96
15061428,94.469,94
15061430,94.43,94
15061435,93.702,94
15061436,94.122,94
15061437,95.213,96
15061439,95.258,94
15061441,94.132,96
15061442,94.753,94
15061444,94.651,94
15061445,94.11,94
15061447,94.636,94
15061449,95.283,96
15061454,95.366,94
15061458,94.422,96
15061459,86.965,95
15061461,94.427,96
15061463,94.561,94
15061469,94.942,94
15061470,94.697,94
15061471,94.769,96
15061475,95.061,96
15061476,93.529,94
15061478,94.466,94
15061479,94.237,94
15061480,94.108,96
15061481,95.065,95
15061484,94.345,95
15061485,94.091,94
15061486,94.805,96
15061489,86.966,94
15061490,86.985,94
15061491,86.991,95
15061492,87.005,94
15061493,95.852,95
15061494,94.122,94
15061495,95.784,96
15061496,95.838,96
15061499,95.08,96
15061500,94.128,94
15061501,94.04,96
15061503,94.255,96
15061504,95.495,95
15061505,88.924,96
15061507,94.688,94
15061508,94.706,94
15061509,94.955,94
15061511,95.002,94
15061515,95.111,96
15061516,94.071,95
15061517,94.813,96
15061518,94.49,94
15061521,94.487,96
15061522,93.591,94
15061524,94.15,94
15061525,94.765,96
15061526,95.015,95
15061528,96.022,96
15061529,95.007,96
15061530,94.722,94
15061533,94.878,96
15061534,94.657,95
15061535,96.073,96
15061536,94.869,96
15061540,94.966,94
15061542,95.057,95
15061543,94.808,94
15061544,94.583,94
15061546,94.67,96
15061548,93.478,96
15061549,94.392,94
15061550,94.904,96
15061553,95.535,96
15061555,95.146,96
15061556,94.194,94
15061560,95.472,96
15061561,91.055,94
15061564,94.171,94
15061565,95.286,96
15061566,94.485,94
15061568,94.096,94
15061571,93.765,96
15061575,94.311,95
15061576,94.779,94
15061577,93.876,94
15061578,93.974,94
15061579,94.092,94
15061580,94.918,94
15061583,95.589,96
15061584,94.292,94
15061585,94.766,94
15061586,94.784,95
15061588,94.149,94
15061600,94.533,96
15061602,95.044,96
15061603,94.502,96
15061604,94.804,96
15061605,95.206,96
15061608,94.759,94
15061609,94.484,96
15061610,94.821,94
15061612,93.62,95
15061613,95.518,96
15061619,86.977,96
15061621,94.06,94
15061622,94.519,96
15061623,95.057,96
15061624,94.539,94
15061628,94.97,96
15061631,94.613,94
15061632,95.392,96
15061637,95.028,96
15061638,95.048,96
15061639,91.683,96
15061640,94.057,96
15061642,95.027,94
15061645,94.206,96
15061646,95.099,96
15061647,95.053,94
15061648,93.287,96
15061649,95.37,96
15061650,94.336,94
15061651,94.746,94
15061653,94.426,96
15061654,95.45,94
15061655,95.097,94
15061658,95.423,96
15061659,94.775,96
15061661,95.529,96
15061662,95.301,94
15061665,94.673,94
15061668,94.581,96
15061670,91.74,94
15061671,93.3,96
15061673,94.167,96
15061677,87.037,96
15061678,86.916,95
15061679,93.708,96
15061680,91.761,95
15061682,95.038,94
15061683,94.917,96
15061684,93.703,96
15061686,94.872,94
15061687,94.684,96
15061688,94.892,95
15061689,86.984,96
15061704,95.035,94
15061706,94.847,96
15061709,93.589,95
15061712,95.35,94
15061713,95.054,94
15061714,95.007,96
15061717,94.604,94
15061718,95.309,96
15061720,95.424,96
15061723,94.049,96
15061724,94.626,96
15061725,95.006,96
15061726,95.527,94
15061729,94.904,96
15061730,94.955,96
15061733,87.048,96
15061734,86.993,96
15061735,95.043,94
15061736,94.956,94
15061737,94.862,96
15061738,87.031,94
15061740,94.165,94
15061742,95.128,96
15061744,94.226,96
15061747,95.122,95
15061751,94.76,94
15061752,94.236,96
15061753,87.094,96
15061754,94.569,94
15061755,93.553,96
15061756,93.651,96
15061757,93.689,95
15061758,94.972,96
15061759,95.26,96
15061760,94.936,96
15061762,95.887,96
15061765,94.944,94
15061766,95.129,96
15061767,93.285,94
15061769,93.325,96
15061771,87.121,94
15061772,93.388,96
15061773,94.583,96
15061777,93.685,96
15061778,87.026,96
15061784,86.973,96
15061785,93.406,96
15061788,94.199,94
15061790,93.717,94
15061795,94.655,96
15061797,87.006,43
15061798,94.38,96
15061800,94.431,94
15061801,94.769,94
15061808,94.88,94
15061811,95.002,94
15061813,94.17,94
15061815,95.46,96
15061826,94.338,94
15061905,94.581,95
15061906,92.413,96
15061908,94.346,95
15061909,95.033,95
15061910,95.52,95
15061911,94.695,95
15061912,93.837,95
15061915,94.672,95
15061917,94.405,96
15061918,94.741,94
15061926,95.518,94
15061927,93.871,94
15061928,92.842,96
15061929,94.038,95
15061930,94.725,95
15061933,94.864,94
15061934,94.934,94
15061935,94.618,94
15061937,91.306,94
15061939,86.878,31
15061941,93.514,94
15061942,93.767,94
15061944,93.147,96
15061945,94.403,96
15061946,95.839,96
15061948,94.847,96
15061949,93.659,94
15061951,94.435,94
15061952,94.962,94
15061953,94.513,94
15061958,92.198,94
15061960,92.254,94
15061961,94.519,96
15061962,94.689,94
15061963,87.047,96
15061965,94.706,94
15061966,95.181,96
15061967,93.509,96
15061968,93.702,96
15062036,94.405,94
15062038,94.45,95
15062039,94.69,95
15062046,93.95,95
15062050,94.718,96
15062051,94.428,96
15062067,94.914,94
15062069,94.112,96
15062071,95.131,95
15062080,91.702,96
15062092,94.867,94
15062094,94.508,96
15062097,95.012,96
15062099,94.932,94
15062100,94.044,94
15062101,94.319,95
15062102,93.948,94
15062103,87.929,94
15062105,94.498,94
15062106,86.922,35
15062107,94.74,94
15062108,87.043,94
15062109,94.381,94
15062111,94.368,96
15062112,94.472,94
15062114,94.154,96
15062117,94.39,96
15062118,94.416,94
15062122,94.73,95
15062124,94.974,96
15062126,94.557,96
15062130,93.803,96
15062136,87.874,39
15062137,86.972,94
15062138,94.499,94
15062139,95.047,96
15062142,94.607,94
15062145,93.55,96
15062146,94.592,96
15062149,95.051,96
15062150,93.627,94
15062151,95.884,94
15062152,87.057,94
15062153,87.001,94
15062331,94.705,95
15062332,94.712,95
15062333,93.959,96
15062334,94.797,94
15062335,88.921,96
15062337,94.437,96
15062338,94.407,95
15062346,94.741,96
15062347,93.304,94
15062348,94.41,94
15062349,93.939,96
15062350,93.73,96
15062351,95.804,96
15062353,93.6,94
15062354,94.435,94
15062356,94.595,96
15062357,94.471,94
15062358,86.956,94
15062360,94.853,94
15062361,94.38,96
15062363,94.475,96
15062366,94.459,94
15062367,94.083,94
15062368,94.442,96
15062369,95.001,96
15062370,93.937,94
