,PREDICTED,ACTUAL
15060021,339.504,344
15060025,340.309,344
15060027,338.388,344
15060039,339.153,342
15060042,341.967,344
15060056,311.925,344
15060063,147.347,12
15060070,331.71,324
15060081,334.918,344
15060085,219.858,316
15060087,340.153,345
15060097,306.929,344
15060102,334.877,331
15060112,336.81,331
15060114,308.224,333
15060120,313.924,344
15060121,341.954,344
15060122,162.45,12
15060138,324.031,328
15060160,58.504,10
15060187,319.247,344
15060188,339.507,344
15060190,321.62,316
15060191,333.983,344
15060214,308.355,344
15060313,255.502,344
15060320,336.216,344
15060345,314.301,344
15060383,266.067,345
15060420,328.738,345
15060543,312.558,331
15060570,326.955,346
15060797,114.057,10
15060846,340.979,346
15060907,298.134,345
15060910,134.142,12
15060933,306.783,316
15060964,317.157,329
15061007,321.156,344
15061011,342.145,344
15061122,344.667,345
15061204,256.826,331
15061213,340.935,344
15061215,311.807,328
15061216,134.867,10
15061225,316.718,344
15061226,299.983,316
15061228,338.974,346
15061237,320.45,331
15061256,318.747,324
15061257,322.044,344
15061259,332.864,324
15061260,337.641,333
15061262,329.888,324
15061263,324.794,344
15061264,336.53,345
15061265,335.787,344
15061270,344.03,345
15061273,331.814,333
15061274,305.786,342
15061277,315.581,345
15061282,196.221,12
15061283,332.846,331
15061286,262.696,344
15061288,335.777,345
15061289,339.242,344
15061290,300.746,324
15061291,324.523,316
15061293,320.403,324
15061295,318.366,324
15061296,327.58,334
15061298,329.209,345
15061299,335.15,345
15061303,340.775,344
15061307,339.289,346
15061312,333.168,344
15061313,334.926,344
15061314,111.192,10
15061317,335.537,344
15061318,334.676,345
15061319,342.574,345
15061320,314.889,345
15061323,306.713,324
15061324,253.189,316
15061329,284.938,321
15061334,324.674,344
15061335,338.166,346
15061337,341.958,345
15061338,334.377,333
15061340,339.923,344
15061344,318.652,316
15061345,340.074,346
15061346,219.171,10
15061347,343.605,346
15061348,338.991,346
15061349,326.603,344
15061350,328.683,328
15061352,338.587,345
15061353,341.284,345
15061355,305.802,346
15061356,343.936,344
15061357,308.444,334
15061358,336.659,333
15061360,295.901,345
15061364,338.566,344
15061365,341.353,346
15061367,340.259,344
15061369,332.824,324
15061376,338.885,345
15061378,336.845,344
15061380,342.725,344
15061382,327.072,346
15061383,337.301,344
15061384,328.553,324
15061388,337.902,344
15061390,338.238,344
15061391,343.368,344
15061392,324.935,346
15061394,337.093,344
15061396,337.649,344
15061404,337.185,328
15061406,181.854,10
15061410,173.201,10
15061411,339.358,344
15061414,345.433,346
15061415,274.304,342
15061417,342.198,342
15061418,345.223,346
15061419,327.763,324
15061420,314.889,316
15061421,293.137,342
15061422,333.417,346
15061424,305.02,328
15061425,168.827,12
15061428,309.469,342
15061430,290.404,344
15061435,298.392,344
15061436,339.493,345
15061437,343.259,345
15061439,343.007,344
15061441,343.802,344
15061442,339.857,346
15061444,326.488,345
15061445,344.169,345
15061447,307.18,328
15061449,319.801,345
15061454,145.395,12
15061458,282.666,344
15061459,344.408,344
15061461,335.391,344
15061463,326.243,331
15061469,320.516,316
15061470,343.051,345
15061471,343.126,344
15061475,174.271,12
15061476,335.17,344
15061478,331.319,324
15061479,316.835,316
15061480,343.794,344
15061481,327.285,324
15061484,343.938,344
15061485,330.941,324
15061486,242.816,346
15061489,342.86,344
15061490,342.16,344
15061491,345.071,345
15061492,343.368,345
15061493,338.815,333
15061494,340.482,344
15061495,342.363,344
15061496,341.474,344
15061499,334.103,344
15061500,332.573,324
15061501,336.262,344
15061503,330.755,344
15061504,314.358,324
15061505,249.916,324
15061507,340.948,344
15061508,337.538,344
15061509,340.979,344
15061511,340.315,344
15061515,334.44,331
15061516,330.091,324
15061517,342.55,345
15061518,326.552,344
15061521,337.507,344
15061522,327.448,344
15061524,340.22,344
15061525,332.611,329
15061526,322.328,345
15061528,320.206,344
15061529,332.212,324
15061530,343.1,345
15061533,323.004,316
15061534,330.293,316
15061535,324.291,324
15061536,333.701,344
15061540,220.118,333
15061542,164.849,10
15061543,317.348,344
15061544,335.747,344
15061546,336.782,344
15061548,299.709,316
15061549,323.634,329
15061550,316.801,345
15061553,324.272,344
15061555,307.365,345
15061556,338.394,344
15061560,318.328,324
15061561,331.488,344
15061564,303.194,318
15061565,148.654,12
15061566,340.15,344
15061568,334.855,345
15061571,322.324,316
15061575,343.935,344
15061576,326.262,344
15061577,315.663,328
15061578,163.663,12
15061579,343.684,344
15061580,339.402,346
15061583,309.321,344
15061584,319.681,344
15061585,314.185,316
15061586,343.551,344
15061588,339.971,345
15061600,153.307,12
15061602,317.775,318
15061603,340.955,344
15061604,257.068,346
15061605,287.181,345
15061608,343.797,345
15061609,332.624,333
15061610,342.201,345
15061612,319.936,324
15061613,299.865,344
15061619,345.47,346
15061621,336.573,344
15061622,322.048,324
15061623,330.984,324
15061624,342.149,344
15061628,341.612,344
15061631,339.085,344
15061632,299.286,334
15061637,339.041,344
15061638,334.423,328
15061639,268.265,342
15061640,334.94,344
15061642,303.053,324
15061645,331.768,334
15061646,334.713,334
15061647,341.39,344
15061648,176.476,345
15061649,287.224,334
15061650,307.017,345
15061651,331.16,324
15061653,342.027,346
15061654,338.29,344
15061655,295.672,344
15061658,312.063,344
15061659,344.205,344
15061661,342.635,346
15061662,309.635,324
15061665,284.245,344
15061668,277.83,344
15061670,248.853,331
15061671,113.797,12
15061673,311.896,316
15061677,344.255,346
15061678,343.595,345
15061679,311.052,324
15061680,167.59,12
15061682,316.464,344
15061683,340.32,344
15061684,122.245,12
15061686,336.81,344
15061687,337.653,346
15061688,340.831,342
15061689,345.555,346
15061704,342.393,346
15061706,116.637,10
15061709,329.787,324
15061712,312.621,344
15061713,343.398,346
15061714,264.144,321
15061717,317.533,342
15061718,317.458,344
15061720,285.077,331
15061723,329.632,322
15061724,339.465,345
15061725,168.064,10
15061726,221.694,344
15061729,169.404,10
15061730,191.099,12
15061733,331.318,328
15061734,345.527,346
15061735,286.467,345
15061736,228.58,344
15061737,299.009,324
15061738,337.363,331
15061740,326.492,346
15061742,317.231,316
15061744,323.047,344
15061747,326.445,316
15061751,345.023,346
15061752,326.123,344
15061753,344.016,346
15061754,312.811,324
15061755,334.797,342
15061756,335.858,345
15061757,278.266,316
15061758,331.901,331
15061759,343.094,344
15061760,304.86,324
15061762,332.692,331
15061765,339.877,345
15061766,331.545,344
15061767,342.532,344
15061769,116.643,12
15061771,343.186,344
15061772,343.298,346
15061773,318.836,345
15061777,299.081,334
15061778,343.731,345
15061784,338.7,331
15061785,311.37,346
15061788,339.996,344
15061790,300.402,324
15061795,340.87,344
15061797,343.258,344
15061798,326.086,344
15061800,318.554,344
15061801,104.88,10
15061808,236.532,344
15061811,342.796,345
15061813,340.79,344
15061815,174.442,12
15061826,338.097,345
15061905,313.41,331
15061906,337.058,344
15061908,328.932,331
15061909,170.965,10
15061910,309.526,345
15061911,341.021,346
15061912,315.054,324
15061915,334.945,328
15061917,296.154,324
15061918,328.675,328
15061926,301.365,346
15061927,297.321,322
15061928,320.257,344
15061929,313.667,324
15061930,317.242,344
15061933,171.061,12
15061934,301.316,344
15061935,340.49,344
15061937,328.371,324
15061939,343.238,344
15061941,335.036,344
15061942,324.857,324
15061944,301.539,344
15061945,340.074,345
15061946,342.119,342
15061948,334.152,333
15061949,333.294,346
15061951,305.368,346
15061952,305.758,344
15061953,339.68,344
15061958,323.569,346
15061960,337.767,346
15061961,339.53,344
15061962,334.633,333
15061963,345.193,345
15061965,341.825,346
15061966,333.748,346
15061967,334.881,345
15061968,169.916,12
15062036,339.498,344
15062038,313.673,345
15062039,340.447,344
15062046,314.968,324
15062050,319.968,333
15062051,317.661,344
15062067,261.45,344
15062069,324.243,316
15062071,338.914,346
15062080,323.652,324
15062092,332.489,334
15062094,336.492,334
15062097,342.314,346
15062099,328.197,345
15062100,311.859,344
15062101,343.875,344
15062102,303.825,344
15062103,314.115,344
15062105,339.995,344
15062106,344.007,345
15062107,330.947,324
15062108,343.736,345
15062109,304.95,345
15062111,335.58,344
15062112,337.888,344
15062114,343.648,344
15062117,142.66,10
15062118,190.959,10
15062122,138.954,10
15062124,340.012,344
15062126,342.363,344
15062130,321.07,346
15062136,234.619,344
15062137,344.458,345
15062138,342.225,344
15062139,178.701,12
15062142,292.095,344
15062145,326.333,344
15062146,336.432,344
15062149,298.947,344
15062150,315.365,345
15062151,328.055,344
15062152,342.048,345
15062153,330.573,321
15062331,336.899,342
15062332,341.48,344
15062333,338.524,345
15062334,336.898,344
15062335,186.795,12
15062337,288.204,345
15062338,260.001,344
15062346,309.567,316
15062347,342.858,346
15062348,288.355,344
15062349,319.817,346
15062350,332.074,342
15062351,342.581,346
15062353,329.969,324
