Models,Predictive_ability
BA,0.23
BA,0.331
BA,0.471
BA,0.257
BA,0.315
BA,0.299
BA,0.44
BA,0.437
BA,0.222
BA,0.33
BA,0.302
BA,0.173
BA,0.412
BA,0.357
BA,0.369
BA,0.301
BA,0.391
BA,0.213
BA,0.355
BA,0.301
BA,0.283
BA,0.371
BA,0.11
BA,0.412
BA,0.3
BB,0.42
BB,0.267
BB,0.351
BB,0.377
BB,0.284
BB,0.293
BB,0.214
BB,0.26
BB,0.283
BB,0.383
BB,0.272
BB,0.248
BB,0.399
BB,0.451
BB,0.3
BB,0.392
BB,0.226
BB,0.233
BB,0.263
BB,0.468
BB,0.247
BB,0.245
BB,0.349
BB,0.236
BB,0.442
BC,0.187
BC,0.352
BC,0.26
BC,0.47
BC,0.348
BC,0.189
BC,0.351
BC,0.469
BC,0.3
BC,0.246
BC,0.313
BC,0.242
BC,0.281
BC,0.413
BC,0.324
BC,0.223
BC,0.386
BC,0.354
BC,0.38
BC,0.302
BC,0.274
BC,0.267
BC,0.408
BC,0.318
BC,0.449
BL,0.196
BL,0.257
BL,0.511
BL,0.425
BL,0.223
BL,0.375
BL,0.192
BL,0.295
BL,0.267
BL,0.421
BL,0.165
BL,0.299
BL,0.512
BL,0.396
BL,0.312
BL,0.265
BL,0.278
BL,0.334
BL,0.338
BL,0.357
BL,0.296
BL,0.373
BL,0.282
BL,0.372
BL,0.356
BRR,0.415
BRR,0.341
BRR,0.211
BRR,0.192
BRR,0.409
BRR,0.201
BRR,0.487
BRR,0.289
BRR,0.281
BRR,0.364
BRR,0.246
BRR,0.312
BRR,0.344
BRR,0.361
BRR,0.384
BRR,0.277
BRR,0.318
BRR,0.17
BRR,0.435
BRR,0.356
BRR,0.47
BRR,0.443
BRR,0.288
BRR,0.247
BRR,0.293
GBLUP,0.358
GBLUP,0.418
GBLUP,0.245
GBLUP,0.352
GBLUP,0.27
GBLUP,0.451
GBLUP,0.311
GBLUP,0.317
GBLUP,0.167
GBLUP,0.346
GBLUP,0.406
GBLUP,0.347
GBLUP,0.42
GBLUP,0.268
GBLUP,0.125
GBLUP,0.263
GBLUP,0.404
GBLUP,0.327
GBLUP,0.368
GBLUP,0.396
GBLUP,0.325
GBLUP,0.321
GBLUP,0.255
GBLUP,0.28
GBLUP,0.313
EGBLUP,0.432
EGBLUP,0.24
EGBLUP,0.3
EGBLUP,0.235
EGBLUP,0.344
EGBLUP,0.16
EGBLUP,0.348
EGBLUP,0.364
EGBLUP,0.294
EGBLUP,0.404
EGBLUP,0.384
EGBLUP,0.324
EGBLUP,0.357
EGBLUP,0.141
EGBLUP,0.4
EGBLUP,0.305
EGBLUP,0.295
EGBLUP,0.344
EGBLUP,0.275
EGBLUP,0.353
EGBLUP,0.371
EGBLUP,0.168
EGBLUP,0.326
EGBLUP,0.387
EGBLUP,0.302
RKHS,0.172
RKHS,0.442
RKHS,0.314
RKHS,0.278
RKHS,0.372
RKHS,0.344
RKHS,0.266
RKHS,0.386
RKHS,0.331
RKHS,0.301
RKHS,0.312
RKHS,0.269
RKHS,0.209
RKHS,0.547
RKHS,0.345
RKHS,0.338
RKHS,0.193
RKHS,0.287
RKHS,0.37
RKHS,0.41
RKHS,0.286
RKHS,0.412
RKHS,0.186
RKHS,0.425
RKHS,0.229
Lasso,0.338
Lasso,0.366
Lasso,0.399
Lasso,0.258
Lasso,0.518
Lasso,0.262
Lasso,0.122
Lasso,0.439
Lasso,0.229
Lasso,0.252
Lasso,0.282
Lasso,0.22
Lasso,0.305
Lasso,0.311
Lasso,0.294
Lasso,0.283
Lasso,0.197
Lasso,0.469
Lasso,0.345
Lasso,0.305
Lasso,0.33
Lasso,0.484
Lasso,0.235
Lasso,0.314
Lasso,0.313
RR,0.262
RR,0.197
RR,0.216
RR,0.451
RR,0.297
RR,0.33
RR,0.304
RR,0.428
RR,0.294
RR,0.267
RR,0.296
RR,0.332
RR,0.254
RR,0.261
RR,0.325
RR,0.414
RR,0.333
RR,0.294
RR,0.354
RR,0.368
RR,0.226
RR,0.389
RR,0.447
RR,0.18
RR,0.246
SVM,0.256
SVM,0.288
SVM,0.309
SVM,0.3
SVM,0.27
SVM,0.213
SVM,0.409
SVM,0.246
SVM,0.192
SVM,0.288
SVM,0.367
SVM,0.239
SVM,0.171
SVM,0.353
SVM,0.181
SVM,0.313
SVM,0.126
SVM,0.322
SVM,0.242
SVM,0.384
SVM,0.324
SVM,0.285
SVM,0.162
SVM,0.281
SVM,0.294
RF,0.221
RF,0.407
RF,0.406
RF,0.257
RF,0.202
RF,0.182
RF,0.216
RF,0.438
RF,0.226
RF,0.332
RF,0.089
RF,0.255
RF,0.276
RF,0.356
RF,0.356
RF,0.32
RF,0.193
RF,0.185
RF,0.344
RF,0.125
RF,0.225
RF,0.315
RF,0.304
RF,0.284
RF,0.254
