,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,68.176,68.241,68.28,68.499,68.35,68.529,67.85088,66.888,67.025,67.987,75.405,72.509
15060025,57.505,57.47,57.252,57.512,57.011,57.487,57.02478,57.172,58.335,57.466,44.7,42.661
15060027,56.666,57.251,56.072,56.048,54.243,56.785,57.60654,58.335,58.763,56.21,69.845,61.514
15060039,71.469,72.662,71.881,71.962,72.617,72.68,73.61504,73.144,72.639,73.094,78.136,78.211
15060042,71.98,73.032,72.494,72.483,73.003,73.453,73.23664,73.135,71.895,72.524,78.145,78.543
15060056,69.234,69.196,69.627,69.674,71.455,67.081,71.51822,70.376,66.138,70.214,79.144,74.057
15060063,68.544,72.651,69.421,68.915,70.385,69.097,71.27662,70.223,70.999,70.33,77.139,75.978
15060070,74.411,74.915,74.803,74.699,75.175,74.953,75.29065,75.999,75.584,75.432,78.138,79.99
15060081,55.759,54.759,55.012,55.042,53.732,51.914,54.37896,53.116,53.058,52.267,31.866,39.789
15060085,70.255,68.12,71.468,70.807,71.42,69.182,70.90684,70.222,69.247,70.647,74.145,73.556
15060087,74.752,74.863,75.206,75.038,75.614,74.953,75.50997,76.097,75.584,75.707,79.14,80.426
15060097,47.494,47.377,46.7,47.013,45.168,45.022,43.5095,50.983,49.509,44.669,44.862,48.468
15060102,71.889,72.462,72.407,72.317,72.62,72.869,72.52886,72.321,71.96,72.571,78.149,75.515
15060112,74.279,74.711,74.477,74.403,74.417,74.377,73.79436,74.176,74.172,74.339,76.857,75.838
15060114,70.801,71.417,71.057,70.943,71.418,71.272,72.32375,71.67,72.329,71.716,76.855,75.383
15060120,59.89,59.831,58.629,59.073,57.218,58.005,59.07666,58.905,61.274,56.756,49.855,53.056
15060121,66.29,67.651,66.245,66.084,66.004,68.254,66.27364,66.613,66.683,66.499,74.141,69.579
15060122,69.923,69.447,69.893,70.022,70.308,70.11,70.1886,69.814,69.498,70.232,77.137,72.831
15060138,69.516,69.008,69.703,69.469,69.647,70.424,69.95671,69.32,68.157,70.227,77.14,73.722
15060160,69.564,68.237,69.876,68.996,69.888,72.007,74.15407,70.332,72.321,72.142,79.141,69.079
15060187,62.639,61.395,62.642,62.561,62.433,63.153,62.39041,63.207,60.32,62.815,64.601,66.252
15060188,69.316,69.487,69.275,69.239,68.655,68.02,68.33644,65.734,69.585,66.322,31.857,50.126
15060190,61.207,63.155,61.781,61.68,62.172,62.604,62.33712,62.738,61.229,62.242,64.683,64.547
15060191,51.276,50.316,50.51,50.91,49.494,50.335,49.80567,50.205,49.227,49.017,42.85,42.15
15060214,54.869,55.375,54.689,54.525,53.533,55.901,52.81052,53.949,56.266,54.31,42.866,47.326
15060313,59.836,59.899,59.5,59.935,59.28,62.378,59.12039,60.446,62.552,60.656,44.85,52.741
15060320,55.614,54.042,54.191,54.813,53.169,54.44,54.22869,54.11,55.746,53.553,46.141,45.538
15060345,69.916,69.863,69.996,70.105,69.912,70.475,69.95905,70.088,70.461,70.222,75.27,57.35
15060383,59.714,59.745,59.399,59.794,59.031,61.648,59.23203,60.493,62.552,60.562,51.85,52.624
15060420,69.856,69.816,69.974,70.084,69.959,70.134,69.86516,70.033,70.461,70.215,76.193,69.635
15060543,71.441,70.093,72.349,72.147,73.225,68.825,73.47111,71.983,69.854,72.189,76.85,76.498
15060570,53.647,53.787,52.005,52.544,50.494,51.198,50.76648,52.332,52.643,50.169,39.859,46.118
15060797,67.393,71.214,68.623,68.408,69.16,70.198,69.62307,68.385,72.463,70.044,78.144,72.812
15060846,69.585,69.373,69.748,69.679,69.894,69.26,70.1031,69.767,69.498,69.991,79.138,75.376
15060907,63.055,65.181,63.712,63.428,64.33,61.84,68.84224,66.301,65.265,65.642,78.143,69.958
15060910,69.014,69.894,70.198,69.413,70.982,71.741,72.82388,72.083,67.209,72.177,78.139,74.664
15060933,71.24,69.82,72.152,71.896,72.891,68.79,73.25152,72.082,69.094,72.253,79.136,77.906
15060964,70.22,68.896,70.526,70.516,71.16,68.025,71.05071,70.394,66.767,71.142,74.147,72.279
15061007,70.645,69.736,70.973,71.035,71.659,69.144,71.16446,70.722,67.235,71.672,73.985,72.079
15061011,57.517,57.17,57.242,57.551,57.172,57.419,57.19461,57.343,58.335,57.53,44.862,55.156
15061122,69.395,69.292,69.361,69.409,69.58,69.586,69.95621,69.847,69.555,69.877,76.852,75.533
15061204,60.985,59.541,60.451,60.667,58.977,57.827,54.72253,57.201,61.412,57.936,46.86,51.091
15061213,71.131,72.201,71.597,71.702,72.334,72.457,73.87142,73.154,72.582,72.676,76.853,75.979
15061215,71.399,72.303,71.873,72.001,72.687,72.707,73.9924,73.214,72.665,72.92,78.138,78.77
15061216,72.482,75.856,73.691,73.059,74.782,71.946,73.54557,71.489,80.777,75.005,79.148,74.932
15061225,71.082,70.943,71.363,71.325,71.633,71.079,72.38381,71.656,71.976,71.789,82.139,77.622
15061226,55.778,56.742,53.435,54.736,51.461,53.573,48.62908,52.402,56.367,52.651,30.858,43.507
15061228,71.51,73.279,72.888,72.716,74.266,73.832,75.16967,73.5,76.138,73.79,80.147,78.397
15061237,71.913,70.884,72.962,72.691,73.848,69.473,73.85431,72.409,72.199,73.08,79.136,78.169
15061256,66.327,67.682,66.602,66.34,66.105,68.241,67.30212,67.327,74.22,67.524,73.15,71.363
15061257,64.547,63.772,64.964,65.248,65.251,65.984,68.09511,67.95,67.16,66.936,80.139,75.017
15061259,74.695,75.1,75.177,74.983,75.53,75.06,75.50332,76.04,75.584,75.651,78.465,79.997
15061260,57.809,57.697,57.613,57.869,57.529,57.686,57.44295,57.477,58.335,57.732,48.261,62.64
15061262,69.723,69.808,70.09,69.908,70.585,69.425,70.57158,69.435,69.93,69.723,73.386,70.437
15061263,71.622,69.509,72.663,72.266,73.414,72.04,73.25745,70.875,67.827,73.234,78.144,72.71
15061264,67.125,67.08,67.127,67.034,66.57,65.182,64.89146,64.058,67.674,64.975,44.854,51.589
15061265,60.991,61.561,61.241,61.086,60.803,62.701,62.68662,63.052,61.31,61.055,78.136,69.512
15061270,70.91,69.858,71.658,71.334,72.795,70.75,71.91778,72.195,70.132,72.097,78.141,77.789
15061273,61.167,61.405,61.328,61.254,60.982,62.425,62.85756,63.032,61.253,60.933,75.83,55.286
15061274,70.839,73.086,71.547,71.275,71.987,72.668,72.60414,72.537,68.348,72.355,80.139,75.976
15061277,56.008,55.166,55.703,54.939,53.563,52.531,54.6762,54.358,54.667,51.482,51.856,51.968
15061282,71.198,71.156,71.47,71.335,71.761,71.306,72.47578,71.621,70.918,71.888,83.36,72.772
15061283,74.296,74.765,74.515,74.425,74.456,74.431,73.734,74.132,74.172,74.383,78.142,77.859
15061286,68.874,68.381,69.217,69.486,70.315,68.836,71.42016,70.959,67.282,70.54,76.855,75.151
15061288,71.401,72.37,71.813,71.857,72.638,73.273,73.97734,73.155,72.5,73.031,80.138,79.882
15061289,70.862,72.121,71.051,71.27,71.739,72.093,73.06784,72.972,72.582,72.296,75.267,76.658
15061290,55.391,54.016,54.216,54.395,53.472,53.546,51.70532,54.073,50.331,50.731,44.864,50.281
15061291,66.059,67.248,66.707,66.653,67.1,69.544,68.26094,69.228,68.077,67.734,78.138,77.173
15061293,65.469,62.945,64.573,64.789,62.589,61.589,61.02774,59.447,65.898,61.994,29.865,42.108
15061295,58.425,56.583,57.244,57.11,55.923,56.187,56.57659,57.104,59.011,56.056,46.874,44.082
15061296,72.087,70.923,73.072,72.36,73.2,72.015,71.99646,72.277,70.487,72.254,76.857,74.324
15061298,73.231,72.158,73.05,73.254,73.594,73.684,73.31954,74.052,71.059,74.861,78.143,74.394
15061299,71.018,71.568,71.297,71.199,71.713,71.234,72.03565,71.771,71.291,71.946,80.139,79.806
15061303,58.212,57.693,58.269,58.305,58.391,58.047,59.31753,59.884,56.356,58.635,52.643,53.685
15061307,71.514,73.182,72.812,72.638,74.176,73.817,75.21,73.405,76.138,73.683,80.144,79.143
15061312,66.516,67.428,67.233,67.104,67.607,69.291,68.51184,69.407,68.16,68.056,76.853,75.59
15061313,51.421,50.575,50.637,50.962,49.644,50.899,49.86681,50.319,49.284,49.339,43.201,43.462
15061314,71.967,74.318,72.585,72.119,73.13,73.277,72.58033,72.747,74.59,73.406,76.865,75.535
15061317,69.515,69.339,69.778,69.585,70.226,69.182,70.22778,69.36,69.93,69.559,74.917,73.87
15061318,72.165,73.257,72.194,72.603,73.246,70.51,72.32349,71.706,72.416,72.004,77.143,73.715
15061319,57.329,57.411,57.027,57.284,56.832,57.145,57.09792,57.139,58.335,57.173,48.62,58.864
15061320,47.175,44.941,45.338,45.835,44.005,41.741,39.30793,45.944,45.837,40.991,38.148,38.617
15061323,69.899,70.521,70.051,69.984,70.16,70.281,70.5923,70.436,70.601,70.368,67,58.775
15061324,64.8,64.405,65.808,64.881,65.724,63.554,69.69195,66.172,62.437,66.419,74.145,67.253
15061329,73.569,73.371,73.961,73.855,74.662,74.087,73.62563,73.628,74.746,74.379,78.148,78.013
15061334,71.509,73.443,72.575,71.967,72.432,70.902,71.80204,71.627,78.422,72.762,74.143,71.826
15061335,61.554,58.819,60.483,61.317,59.809,61.939,59.28868,58.981,60.19,59.031,44.888,48.22
15061337,74.223,74.452,74.406,74.297,74.368,74.246,73.68906,74.149,74.172,74.298,78.143,78.263
15061338,75.022,75.148,75.515,75.314,75.957,75.437,75.81906,76.326,75.584,76.037,76.852,77.007
15061340,74.612,75.047,75.078,74.93,75.455,75.356,75.51715,76.112,75.584,75.715,76.852,75.364
15061344,72.587,73.242,73.038,72.906,73.9,72.192,73.07938,72.023,70.529,74.123,78.144,78.019
15061345,69.971,69.86,70.081,70.136,70.068,70.264,69.94685,70.129,70.461,70.319,75.404,72.211
15061346,70.112,69.937,70.144,70.268,70.133,70.365,70.1482,70.236,70.461,70.338,78.577,79.112
15061347,68.436,69.388,68.714,68.96,69.485,69.378,70.75674,70.611,69.49,69.171,78.144,79.048
15061348,74.327,74.626,74.518,74.403,74.531,74.374,73.76317,74.194,74.089,74.381,76.857,75.515
15061349,59.279,59.613,58.211,58.595,56.733,59.717,59.49329,59.743,54.416,57.845,45.861,51.001
15061350,66.615,67.452,67.306,67.179,67.688,69.843,68.7155,69.582,68.16,68.324,76.853,75.334
15061352,69.152,69.026,69.299,69.166,69.341,68.561,68.89537,69.06,69.261,69.079,76.184,58.942
15061353,74.366,74.741,74.565,74.476,74.51,74.377,73.82744,74.248,74.172,74.416,77.011,76.899
15061355,74.252,74.825,74.4,74.357,74.372,74.56,73.76798,74.272,74.172,74.397,78.141,78.537
15061356,69.346,68.584,69.377,69.471,69.51,69.015,69.37582,69.228,68.93,69.464,67.424,61.024
15061357,73.413,73.223,73.812,73.675,74.447,73.933,73.34515,73.417,74.746,74.14,76.852,75.898
15061358,57.543,57.585,57.313,57.552,57.166,57.682,57.27312,57.286,58.335,57.505,44.757,46.556
15061360,74.471,74.892,74.704,74.606,74.673,74.56,73.88683,74.317,74.172,74.535,78.143,78.333
15061364,74.259,74.699,74.469,74.348,74.374,74.437,73.64021,74.213,74.172,74.351,78.141,77.941
15061365,71.173,72.284,71.571,71.661,72.21,72.836,73.63363,73.205,72.582,72.776,76.853,75.873
15061367,71.355,72.387,71.81,71.853,72.544,73.117,73.89357,73.263,72.582,73.058,76.854,75.647
15061369,66.547,68.103,66.602,66.421,66.396,67.966,66.46459,66.688,67.154,66.784,69.565,64.477
15061376,69.951,69.853,70.057,70.119,69.986,70.128,69.86396,70.102,70.461,70.243,75.797,69.128
15061378,61.836,59.182,60.761,61.618,60.215,62.313,59.64455,59.202,60.19,59.349,48.134,50.258
15061380,68.671,69.446,69.039,69.168,69.687,69.59,70.68535,70.638,69.49,69.367,76.698,77.775
15061382,70.388,70.86,70.603,70.527,70.835,70.406,70.74415,70.336,70.918,70.675,63.569,44.789
15061383,74.284,74.691,74.501,74.405,74.416,74.377,73.74108,74.198,74.172,74.352,76.556,72.874
15061384,74.805,75.108,75.266,75.103,75.605,75.109,75.59688,76.136,75.584,75.792,78.328,79.975
15061388,70.206,72.552,71.3,70.935,71.775,68.07,71.12545,70.78,72.345,71.812,80.141,76.521
15061390,69.099,69.111,69.246,69.068,69.222,68.522,68.94477,68.919,69.31,68.84,78.145,70.149
15061391,69.476,69.559,69.708,69.555,69.823,69.432,69.21256,69.418,69.31,69.565,77.863,75.58
15061392,63.36,64.837,62.639,62.919,61.421,61.436,58.94254,59.663,67.083,59.782,43.866,52.201
15061394,69.675,69.778,70.075,69.853,70.552,69.758,70.59379,69.558,69.93,69.972,78.14,74.079
15061396,69.724,69.81,70.079,69.882,70.554,69.645,70.39911,69.511,69.93,69.748,78.143,77.627
15061404,69.219,69.264,69.426,69.295,69.481,69.026,69.10842,69.179,69.261,69.144,79.228,77.196
15061406,74.439,74.824,74.643,74.541,74.6,74.563,73.79519,74.298,74.172,74.501,78.418,79.413
15061410,57.703,57.239,56.943,56.803,55.961,54.721,55.01293,55.267,56.292,54.86,59.745,65.262
15061411,71.887,71.884,72.186,72.177,72.542,71.403,72.53018,72.701,71.941,72.568,80.142,79.727
15061414,69.405,69.458,69.626,69.483,69.694,69.254,69.27051,69.367,69.31,69.456,77.082,60.948
15061415,67.142,67.26,67.258,67.042,66.838,66.276,66.65601,67.131,69.23,67.41,76.67,71.634
15061417,69.178,69.292,69.393,69.289,69.45,68.916,69.14114,69.107,69.31,69.079,78.251,77.343
15061418,69.347,69.465,69.546,69.405,69.571,69.206,69.11272,69.177,69.31,69.316,77.329,55.672
15061419,74.799,75.128,75.241,75.1,75.606,75.109,75.58288,76.119,75.584,75.779,78.323,80.008
15061420,47.175,44.941,45.338,45.835,44.005,41.741,39.27922,45.944,45.837,40.991,38.148,38.617
15061421,57.712,57.441,57.578,57.821,57.561,57.751,57.77528,57.848,58.603,57.69,67.961,72.643
15061422,77.388,79.796,77.873,78.014,78.217,77.063,77.44694,77.42,78.024,78.152,78.139,78.913
15061424,63.264,62.902,62.754,62.943,62.428,64.586,63.19108,63.167,61.978,63.026,78.141,68.191
15061425,70.085,69.94,70.166,70.257,70.067,70.4,70.16533,70.279,70.461,70.486,78.136,74.239
15061428,69.927,69.785,69.948,70.108,69.971,70.567,69.89771,70.226,70.461,70.333,78.145,77.461
15061430,69.966,69.798,70.005,70.077,69.996,70,69.99995,70.101,69.801,70.126,77.858,75.527
15061435,59.916,58.235,59.126,59.175,58.197,59.325,59.10579,59.283,57.594,58.765,55.172,52.615
15061436,59.441,59.83,59.214,59.195,58.489,60.068,57.07868,56.557,57.678,57.523,48.151,51.608
15061437,60.239,57.945,58.31,59.129,57.227,59.028,55.94956,56.653,58.239,57.388,39.555,42.196
15061439,60.029,57.741,58.048,58.887,56.955,58.841,55.53034,56.324,58.239,57.066,31.321,35.204
15061441,57.39,57.033,56.373,56.844,54.972,57.849,55.42624,55.692,57.653,55.828,42.206,41.955
15061442,71.847,71.819,72.146,72.156,72.432,71.217,72.36079,72.644,71.941,72.411,79.524,79.66
15061444,72.208,73.387,72.937,72.797,73.804,69.923,72.25247,72.172,72.973,72.482,80.139,74.969
15061445,57.31,56.982,56.349,56.749,54.849,58.039,55.51857,55.799,57.653,55.864,43.143,40.176
15061447,75.312,76.568,75.848,75.904,75.798,76.196,74.84863,75.962,77.538,75.5,78.136,78.775
15061449,74.882,76.006,75.675,75.604,76.731,75.85,76.1141,75.515,75.194,76.701,78.145,79.624
15061454,74.97,76.109,75.814,75.61,76.789,76.325,76.38281,75.583,75.194,77.241,78.145,79.696
15061458,70.031,69.924,70.063,70.176,70.07,70.217,69.9309,70.142,70.461,70.281,76.344,74.771
15061459,69.45,69.49,69.654,69.509,69.78,69.361,69.23685,69.38,69.31,69.562,78.144,76.227
15061461,70.026,69.858,70.103,70.205,70.096,70.128,69.90837,70.135,70.461,70.319,74.985,59.635
15061463,70.999,71.34,71.019,71.424,71.561,73.826,71.97847,73.417,73.537,72.332,78.144,77.833
15061469,72.469,73.062,72.907,72.772,73.801,72.178,73.0899,72.022,70.362,74.046,78.145,77.327
15061470,69.416,69.188,69.395,69.513,69.703,69.326,69.71156,69.395,69.498,69.533,74.555,74.902
15061471,69.7,69.344,69.777,69.769,70.028,69.497,69.76372,69.531,69.498,70.145,78.178,74.742
15061475,57.79,57.754,57.756,57.87,57.536,57.545,57.58197,57.651,58.335,57.694,58.918,70.935
15061476,71.792,73.52,72.188,72.257,72.67,72.237,72.57526,73.162,75.993,73.062,78.15,76.93
15061478,74.781,75.07,75.237,75.09,75.635,75.109,75.54683,76.087,75.584,75.772,78.304,80.001
15061479,77.401,80.288,78.017,77.91,77.936,77.534,77.94929,77.635,78.57,78.277,78.139,79.318
15061480,57.434,57.091,56.435,56.909,55.113,58.026,55.59239,55.788,57.653,55.881,43.945,57.275
15061481,51.421,50.129,50.591,51.027,49.655,50.697,49.81411,50.28,49.227,49.226,43.135,43.961
15061484,70.743,69.846,71.476,71.206,72.498,70.753,71.90712,72.036,70.132,71.846,76.851,76.265
15061485,59.274,59.588,59.166,59.104,58.344,59.981,57.19315,56.731,57.678,57.686,52.153,53.597
15061486,68.665,70.261,69.856,69.834,70.411,72.301,71.32319,71.311,72.411,71.573,78.144,76.027
15061489,69.461,69.426,69.637,69.544,69.789,69.219,69.20155,69.198,69.31,69.356,76.86,63.714
15061490,69.206,69.311,69.412,69.302,69.464,68.916,69.05784,69.108,69.31,69.09,77.633,77.323
15061491,69.485,69.464,69.688,69.574,69.804,69.287,69.25678,69.424,69.31,69.565,78.145,77.022
15061492,69.303,69.442,69.515,69.401,69.61,69.144,69.18232,69.283,69.31,69.342,77.524,78.298
