Models,Predictive_ability
BA,0.259
BA,0.435
BA,0.669
BA,0.313
BA,0.466
BA,0.371
BA,0.46
BA,0.408
BA,0.525
BA,0.4
BA,0.463
BA,0.478
BA,0.591
BA,0.355
BA,0.41
BA,0.133
BA,0.386
BA,0.532
BA,0.639
BA,0.451
BA,0.407
BA,0.495
BA,0.519
BA,0.423
BA,0.401
BB,0.457
BB,0.386
BB,0.34
BB,0.595
BB,0.391
BB,0.438
BB,0.472
BB,0.319
BB,0.512
BB,0.507
BB,0.472
BB,0.553
BB,0.38
BB,0.423
BB,0.393
BB,0.516
BB,0.451
BB,0.452
BB,0.234
BB,0.432
BB,0.575
BB,0.387
BB,0.296
BB,0.556
BB,0.514
BC,0.47
BC,0.436
BC,0.465
BC,0.46
BC,0.384
BC,0.694
BC,0.302
BC,0.395
BC,0.552
BC,0.386
BC,0.271
BC,0.428
BC,0.499
BC,0.478
BC,0.549
BC,0.346
BC,0.45
BC,0.346
BC,0.587
BC,0.477
BC,0.324
BC,0.476
BC,0.483
BC,0.53
BC,0.439
BL,0.483
BL,0.407
BL,0.422
BL,0.533
BL,0.371
BL,0.554
BL,0.428
BL,0.522
BL,0.33
BL,0.447
BL,0.599
BL,0.354
BL,0.417
BL,0.518
BL,0.438
BL,0.473
BL,0.47
BL,0.549
BL,0.5
BL,0.337
BL,0.389
BL,0.504
BL,0.443
BL,0.424
BL,0.507
BRR,0.456
BRR,0.457
BRR,0.572
BRR,0.421
BRR,0.369
BRR,0.484
BRR,0.488
BRR,0.303
BRR,0.368
BRR,0.58
BRR,0.432
BRR,0.535
BRR,0.322
BRR,0.512
BRR,0.322
BRR,0.477
BRR,0.395
BRR,0.318
BRR,0.42
BRR,0.492
BRR,0.453
BRR,0.209
BRR,0.508
BRR,0.622
BRR,0.416
GBLUP,0.579
GBLUP,0.399
GBLUP,0.422
GBLUP,0.485
GBLUP,0.302
GBLUP,0.381
GBLUP,0.515
GBLUP,0.537
GBLUP,0.294
GBLUP,0.554
GBLUP,0.584
GBLUP,0.4
GBLUP,0.606
GBLUP,0.369
GBLUP,0.399
GBLUP,0.465
GBLUP,0.504
GBLUP,0.472
GBLUP,0.452
GBLUP,0.385
GBLUP,0.361
GBLUP,0.511
GBLUP,0.44
GBLUP,0.482
GBLUP,0.51
EGBLUP,0.49
EGBLUP,0.423
EGBLUP,0.57
EGBLUP,0.316
EGBLUP,0.483
EGBLUP,0.487
EGBLUP,0.415
EGBLUP,0.388
EGBLUP,0.55
EGBLUP,0.383
EGBLUP,0.442
EGBLUP,0.303
EGBLUP,0.502
EGBLUP,0.565
EGBLUP,0.436
EGBLUP,0.393
EGBLUP,0.564
EGBLUP,0.605
EGBLUP,0.312
EGBLUP,0.4
EGBLUP,0.475
EGBLUP,0.382
EGBLUP,0.469
EGBLUP,0.486
EGBLUP,0.52
RKHS,0.473
RKHS,0.334
RKHS,0.428
RKHS,0.528
RKHS,0.502
RKHS,0.44
RKHS,0.496
RKHS,0.397
RKHS,0.555
RKHS,0.472
RKHS,0.484
RKHS,0.422
RKHS,0.457
RKHS,0.486
RKHS,0.404
RKHS,0.403
RKHS,0.514
RKHS,0.543
RKHS,0.444
RKHS,0.577
RKHS,0.498
RKHS,0.352
RKHS,0.537
RKHS,0.649
RKHS,0.363
Lasso,0.486
Lasso,0.258
Lasso,0.496
Lasso,0.475
Lasso,0.365
Lasso,0.357
Lasso,0.428
Lasso,0.452
Lasso,0.595
Lasso,0.464
Lasso,0.481
Lasso,0.347
Lasso,0.421
Lasso,0.54
Lasso,0.343
Lasso,0.539
Lasso,0.364
Lasso,0.525
Lasso,0.309
Lasso,0.475
Lasso,0.437
Lasso,0.359
Lasso,0.273
Lasso,0.533
Lasso,0.571
RR,0.404
RR,0.503
RR,0.384
RR,0.544
RR,0.507
RR,0.522
RR,0.308
RR,0.491
RR,0.306
RR,0.544
RR,0.431
RR,0.398
RR,0.427
RR,0.505
RR,0.445
RR,0.496
RR,0.47
RR,0.26
RR,0.494
RR,0.477
RR,0.556
RR,0.452
RR,0.376
RR,0.447
RR,0.508
SVM,0.398
SVM,0.48
SVM,0.262
SVM,0.41
SVM,0.208
SVM,0.608
SVM,0.403
SVM,0.452
SVM,0.298
SVM,0.363
SVM,0.429
SVM,0.334
SVM,0.36
SVM,0.38
SVM,0.411
SVM,0.363
SVM,0.516
SVM,0.408
SVM,0.543
SVM,0.341
SVM,0.313
SVM,0.531
SVM,0.416
SVM,0.412
SVM,0.382
RF,0.378
RF,0.194
RF,0.468
RF,0.363
RF,0.536
RF,0.46
RF,0.418
RF,0.283
RF,0.195
RF,0.366
RF,0.332
RF,0.604
RF,0.259
RF,0.398
RF,0.292
RF,0.297
RF,0.381
RF,0.275
RF,0.436
RF,0.379
RF,0.481
RF,0.368
RF,0.477
RF,0.172
RF,0.181
