,PREDICTED,ACTUAL
15060021,35.08,28
15060025,53.252,54
15060027,32.804,28
15060039,53.923,54
15060042,37.393,28
15060056,51.812,54
15060063,31.143,28
15060070,29.065,28
15060081,51.95,54
15060085,52.209,54
15060087,28.943,28
15060097,54.174,54
15060102,51.491,54
15060112,47.386,54
15060114,50.951,54
15060120,31.231,28
15060121,52.713,54
15060122,52.129,54
15060138,35.446,28
15060160,53.357,54
15060187,40.991,28
15060188,40.658,54
15060190,44.005,54
15060191,54.224,54
15060214,53.83,54
15060313,49.619,54
15060320,51.95,54
15060345,53.564,54
15060383,49.654,54
15060420,53.49,54
15060543,52.069,54
15060570,49.375,54
15060797,50.047,54
15060846,51.778,54
15060907,34.967,28
15060910,34.267,28
15060933,52.181,54
15060964,51.823,54
15061007,51.773,54
15061011,53.416,54
15061122,52.106,54
15061204,51.836,54
15061213,53.974,54
15061215,54.079,54
15061216,50.619,54
15061225,51.505,54
15061226,51.61,54
15061228,32.725,28
15061237,52.143,54
15061256,51.29,54
15061257,37.967,28
15061259,29.057,28
15061260,53.275,54
15061262,50.376,54
15061263,52.622,54
15061264,51.82,54
15061265,52.407,54
15061270,44.379,54
15061273,52.54,54
15061274,49.318,54
15061277,54.237,54
15061282,52.031,54
15061283,47.365,54
15061286,51.087,54
15061288,53.739,54
15061289,53.876,54
15061290,53.42,54
15061291,51.382,54
15061293,34.297,28
15061295,32.956,36
15061296,40.609,28
15061298,49.599,54
15061299,50.542,28
15061303,54.228,54
15061307,32.865,28
15061312,51.618,54
15061313,54.155,54
15061314,50.944,54
15061317,50.25,54
15061318,46.347,54
15061319,53.478,54
15061320,53.47,54
15061323,51.587,54
15061324,53.282,54
15061329,41.829,28
15061334,49.126,54
15061335,51.222,54
15061337,47.532,54
15061338,29.159,28
15061340,28.972,28
15061344,52.78,54
15061345,53.846,54
15061346,53.552,54
15061347,34.754,54
15061348,47.285,54
15061349,50.416,54
15061350,51.64,54
15061352,32.221,54
15061353,47.377,54
15061355,47.329,28
15061356,51.294,54
15061357,42.08,28
15061358,53.285,54
15061360,47.374,54
15061364,47.65,54
15061365,54.112,54
15061367,54.037,54
15061369,53.022,54
15061376,53.552,54
15061378,51.142,54
15061380,34.461,28
15061382,51.887,54
15061383,47.408,28
15061384,28.987,28
15061388,48.393,54
15061390,32.177,28
15061391,32.018,28
15061392,52.13,54
15061394,50.358,54
15061396,50.033,28
15061404,32.216,28
15061406,47.267,54
15061410,53.616,54
15061411,48.646,54
15061414,32.086,28
15061415,39.655,54
15061417,32.126,28
15061418,31.758,28
15061419,28.968,28
15061420,53.47,54
15061421,52.399,54
