Samples,CBaya.L
15060021,44
15060025,66
15060027,54
15060039,50
15060042,66
15060056,66
15060063,71
15060070,54
15060081,58
15060085,58
15060087,50
15060097,58
15060102,54
15060112,44
15060114,54
15060120,71
15060121,58
15060122,44
15060138,44
15060160,58
15060187,54
15060188,58
15060190,71
15060191,69
15060214,54
15060313,50
15060320,66
15060345,71
15060383,53
15060420,58
15060543,54
15060570,54
15060797,54
15060846,54
15060907,54
15060910,44
15060933,66
15060964,53
15061007,54
15061011,54
15061122,54
15061204,54
15061213,63
15061215,54
15061216,66
15061225,66
15061226,58
15061228,58
15061237,76
15061256,54
15061257,66
15061259,44
15061260,58
15061262,58
15061263,58
15061264,54
15061265,66
15061270,54
15061273,54
15061274,44
15061277,58
15061282,58
15061283,66
15061286,54
15061288,66
15061289,66
15061290,72
15061291,54
15061293,66
15061295,71
15061296,66
15061298,66
15061299,54
15061303,66
15061307,54
15061312,69
15061313,69
15061314,76
15061317,66
15061318,54
15061319,72
15061320,72
15061323,54
15061324,54
15061329,54
15061334,66
15061335,66
15061337,54
15061338,66
15061340,54
15061344,71
15061345,69
15061346,54
15061347,54
15061348,58
15061349,58
15061350,58
15061352,66
15061353,54
15061355,54
15061356,54
15061357,54
15061358,53
15061360,54
15061364,76
15061365,54
15061367,54
15061369,66
15061376,54
15061378,54
15061380,54
15061382,50
15061383,50
15061384,54
15061388,58
15061390,54
15061391,54
15061392,54
15061394,66
15061396,66
15061404,66
15061406,54
15061410,54
15061411,50
15061414,66
15061415,53
15061417,58
15061418,66
15061419,54
15061420,54
15061421,66
15061422,54
15061424,54
15061425,54
15061428,66
15061430,54
15061435,54
15061436,50
15061437,71
15061439,54
15061441,66
15061442,66
15061444,62
15061445,54
15061447,53
15061449,71
15061454,54
15061458,66
15061459,50
15061461,69
15061463,54
15061469,58
15061470,66
15061471,54
15061475,71
15061476,71
15061478,54
15061479,66
15061480,54
15061481,54
15061484,72
15061485,66
15061486,54
15061489,66
15061490,66
15061491,69
15061492,54
15061493,54
15061494,54
15061495,72
15061496,54
15061499,69
15061500,50
15061501,50
15061503,66
15061504,54
15061505,66
15061507,69
15061508,66
15061509,66
15061511,50
15061515,58
15061516,66
15061517,54
15061518,66
15061521,66
15061522,66
15061524,62
15061525,72
15061526,54
15061528,66
15061529,66
15061530,66
15061533,53
15061534,50
15061535,54
15061536,69
15061540,72
15061542,50
15061543,66
15061544,50
15061546,54
15061548,54
15061549,53
15061550,54
15061553,54
15061555,54
15061556,54
15061560,66
15061561,54
15061564,53
15061565,44
15061566,50
15061568,54
15061571,69
15061575,66
15061576,54
15061577,54
15061578,54
15061579,72
15061580,66
15061583,54
15061584,66
15061585,54
15061586,66
15061588,54
15061600,54
15061602,53
15061603,66
15061604,58
15061605,66
15061608,53
15061609,54
15061610,66
15061612,54
15061613,58
15061619,53
15061621,69
15061622,54
15061623,66
15061624,54
15061628,69
15061631,66
15061632,54
15061637,69
15061638,54
15061639,54
15061640,54
15061642,54
15061645,69
15061646,54
15061647,54
15061648,66
15061649,58
15061650,66
15061651,69
15061653,54
15061654,54
15061655,66
15061658,54
15061659,54
15061661,53
15061662,54
15061665,54
15061668,69
15061670,53
15061671,54
15061673,50
15061677,54
15061678,69
15061679,76
15061680,66
15061682,71
15061683,68
15061684,50
15061686,69
15061687,54
15061688,54
15061689,69
15061704,76
15061706,54
15061709,69
15061712,54
15061713,50
15061714,54
15061717,54
15061718,71
15061720,58
15061723,66
15061724,69
15061725,54
15061726,54
15061729,54
15061730,50
15061733,50
15061734,54
15061735,71
15061736,62
15061737,54
15061738,54
15061740,58
15061742,63
15061744,69
15061747,54
15061751,49
15061752,66
15061753,66
15061754,69
15061755,50
15061756,54
15061757,58
15061758,69
15061759,69
15061760,66
15061762,50
15061765,66
15061766,66
15061767,69
15061769,54
15061771,69
15061772,76
15061773,54
15061777,69
15061778,54
15061784,54
15061785,53
15061788,54
15061790,66
15061795,50
15061797,54
15061798,53
15061800,54
15061801,66
15061808,66
15061811,53
15061813,54
15061815,66
15061826,54
15061905,66
15061906,54
15061908,50
15061909,71
15061910,54
15061911,54
15061912,54
15061915,54
15061917,69
15061918,66
15061926,69
15061927,69
15061928,54
15061929,54
15061930,66
15061933,44
15061934,53
15061935,69
15061937,71
15061939,66
15061941,71
15061942,66
15061944,69
15061945,66
15061946,54
15061948,54
15061949,54
15061951,69
15061952,66
15061953,69
15061958,77
15061960,54
15061961,69
15061962,54
15061963,58
15061965,66
15061966,54
15061967,54
15061968,44
15062036,53
15062038,58
15062039,53
15062046,54
15062050,53
15062051,54
15062067,69
15062069,54
15062071,53
15062080,54
15062092,53
15062094,69
15062097,54
15062099,54
15062100,54
15062101,66
15062102,58
15062103,53
15062105,54
15062106,54
15062107,53
15062108,54
15062109,71
15062111,53
15062112,69
15062114,71
15062117,66
15062118,66
15062122,66
15062124,69
15062126,69
15062130,69
15062136,50
15062137,54
15062138,69
15062139,54
15062142,69
15062145,54
15062146,72
15062149,53
15062150,54
15062151,54
15062152,54
15062153,66
15062331,77
15062332,66
15062333,54
15062334,58
15062335,53
15062337,66
15062338,54
15062346,54
15062347,69
15062348,54
15062349,53
15062350,54
15062351,69
15062353,58
15062354,76
15062356,62
15062357,66
15062358,58
15062360,44
15062361,58
15062363,54
15062366,66
15062367,71
15062368,69
15062369,54
15062370,54
