probIn scale
0.0009294387 6.975058
0.004478719 7.337716
0.009102535 7.215639
0.01071617 7.142386
0.007833113 8.379393
0.005096366 8.44155
0.004488641 8.403541
0.001255588 7.91755
0.01084775 6.579876
0.006950905 6.692031
0.009191911 6.673413
0.003452281 7.082273
0.001256833 6.954303
0.0082979 6.46138
0.005480272 6.204691
0.003376223 6.683489
0.007401478 6.528421
0.004530144 5.987407
0.01305728 6.277944
0.009547724 5.940981
0.007871798 6.183922
0.001886923 5.808319
0.01052851 6.153959
0.00400883 6.045088
0.001055003 6.698797
0.004506363 7.269193
0.001730092 7.849426
0.0051623 8.116657
0.00494888 8.030383
0.00400867 7.577714
0.003571462 8.504822
0.002449653 8.365135
0.007727946 8.727924
0.005506878 8.269923
0.00189433 8.393201
0.002946392 9.412247
0.004896999 9.171372
0.003102314 9.053254
0.001259187 8.676228
0.002417073 9.466449
0.001701472 8.432963
0.005012343 8.13678
0.002479484 7.744664
0.004765559 8.018298
0.002468225 7.503649
0.004268199 8.015088
0.001465763 7.738658
0.00778793 8.302165
0.00536736 8.124723
0.002629557 7.021217
0.004496606 6.976605
0.01736419 6.624554
0.01950266 6.121487
0.01366445 6.285224
0.00990234 6.3725
0.01501959 5.667814
0.009179261 6.009977
0.008142414 6.327686
0.007678873 6.640716
0.005210221 7.577645
0.006428525 7.7964
0.002446312 7.433482
0.006512685 6.936232
0.008843579 7.610392
0.006438404 8.017274
0.004194086 8.433203
0.006262627 8.854147
0.005851826 9.165935
0.007510229 9.435078
0.0004084553 10.26152
0.004474083 11.41935
0.005120784 12.53841
0.00216263 11.48303
0.002168715 9.445865
0.003552353 9.66314
0.004062325 9.894617
0.006047576 9.339779
0.008231245 9.545381
0.006507557 9.471103
0.002241286 8.458936
0.006285886 7.911168
0.008161932 7.823631
0.01027896 7.086194
0.01149367 7.470925
0.006852622 6.732069
0.006790086 6.944188
0.004529389 6.877046
0.003722623 6.900347
0.002848639 6.716362
0.004557638 7.06274
0.005031553 7.058971
0.002764726 6.58938
0.001772115 6.474186
0.004044149 5.690163
0.01022392 5.216337
0.01499953 4.639888
0.004275106 4.434683
0.003816186 4.557904
0.01287362 5.03854
0.006107388 4.423075
0.007286651 4.457395
0.005668294 4.394518
0.005729686 5.338744
0.01281128 4.800153
0.003503064 4.791307
0.005846396 4.610987
0.005086692 3.969847
0.001527386 4.081644
0.01003735 3.573667
0.009070492 3.745206
0.006746071 3.901428
0.01287235 3.735186
0.002676995 3.598943
0.007027252 4.044574
0.0119394 4.142197
0.008119343 4.415423
0.007605701 4.423498
0.00660767 4.260298
0.003986737 4.089108
0.002987016 4.527784
