SAMPLES,GEBVs(BB),ACTUAL
15062362,45.649,44
15061954,47.293,38
15062339,44.255,59
15061482,43.693,44
15062104,45.851,45
15061707,45.545,44
15061567,45.761,48
15061964,44.739,44
15061488,45.748,44
15061438,45.748,44
15061814,43.225,44
15061721,45.361,59
15061601,45.651,26
15061719,44.74,45
15061629,44.407,75
15061477,45.752,45
15061761,44.712,44
15061336,46.315,44
15061386,46.639,48
15061305,45.604,48
15061676,45.625,45
15061523,45.378,45
15061763,46.339,38
15061385,45.371,44
15062133,44.838,44
15061333,45.979,44
15061627,45.652,75
15061731,45.752,48
15061641,43.254,44
15061330,43.326,43
15061626,45.872,44
15062147,44.755,59
15061487,44.741,38
15060536,43.851,44
15061261,45.907,59
15061389,45.751,48
15060101,44.753,38
15061397,45.386,38
15061551,43.699,48
15061539,45.363,44
15062115,46.136,48
15061361,45.649,44
15061669,46.094,32
15062359,45.712,44
15061690,45.737,44
15061308,45.746,44
15062372,45.08,44
15061342,45.655,59
15061281,44.226,28
15061932,45.192,45
15061370,47.291,44
15061630,43.379,43
15061789,43.67,26
15061666,45.23,48
15062143,45.976,44
15061297,45.368,44
15061907,43.713,26
15061538,45.357,44
15062371,41.904,48
15061685,45.942,50
15062081,45.922,50
15061969,42.883,26
15061498,45.601,44
15061271,45.151,43
15062344,44.592,45
15061279,45.234,44
15062144,45.372,45
15061722,45.053,59
15061768,45.672,48
15061557,45.894,28
15061434,44.636,26
15060072,44.337,50
15061405,43.677,28
15062052,47.291,59
15062098,47.305,48
15061916,45.652,32
15061377,45.921,44
15061633,43.847,44
15061702,46.377,28
15061614,43.673,44
15061368,46.642,59
15061520,44.364,28
15060082,45.577,26
15061656,45.076,45
15061331,45.868,44
15061327,45.915,44
15062074,46,44
15061300,46.139,32
15061776,43.717,44
15061462,45.742,45
15061302,46.366,48
15061957,44.489,28
15061514,45.901,48
15060909,45.176,44
15062063,45.651,48
15060090,41.914,48
15061301,45.49,44
15061423,45.131,44
15061453,46.129,28
15060215,43.674,44
15062119,45.831,48
15061537,44.704,50
15061667,45.983,43
15062123,45.761,44
15061710,43.401,59
15061258,44.743,44
15061443,43.747,50
15060050,41.868,28
15060110,45.35,44
15062053,44.503,38
15061764,45.734,48
15061799,46.406,28
