,BA,BB
15060021,58.405,59.192
15060025,60.598,60.382
15060027,59.683,59.716
15060039,59.496,59.643
15060042,60.092,59.458
15060056,60.492,59.441
15060063,59.733,59.589
15060070,59.002,59.494
15060081,59.97,59.865
15060085,60.041,59.715
15060087,58.981,59.494
15060097,57.642,57.858
15060102,60.828,59.999
15060112,58.701,59.134
15060114,57.062,57.857
15060120,59.803,59.691
15060121,62.893,60.968
15060122,58.536,58.52
15060138,58.754,59.685
15060160,58.251,58.282
15060187,56.998,58.223
15060188,58.982,59.522
15060190,61.135,60.31
15060191,62.587,61.558
15060214,59.568,59.144
15060313,55.143,56.862
15060320,61.633,60.254
15060345,61.698,60.858
15060383,55.131,56.843
15060420,61.758,60.859
15060543,60.64,59.721
15060570,57.464,58.22
15060797,58.122,58.621
15060846,58.6,58.568
15060907,57.421,58.341
15060910,55.9,57.5
15060933,60.661,59.718
15060964,57.946,58.864
15061007,57.934,58.862
15061011,60.533,60.352
15061122,58.554,58.557
15061204,58.111,58.859
15061213,59.439,59.638
15061215,59.531,59.695
15061216,59.561,59.091
15061225,57.235,57.888
15061226,58.803,58.748
15061228,59.215,59.442
15061237,60.749,59.745
15061256,59.114,59.196
15061257,60.01,59.074
15061259,58.996,59.5
15061260,60.581,60.355
15061262,59.109,59.526
15061263,59.254,59.432
15061264,58.743,59.119
15061265,61.146,60.422
15061270,61.246,61.057
15061273,61.137,60.421
15061274,58.781,59.177
15061277,58.117,58.871
15061282,57.097,57.898
15061283,58.739,59.144
15061286,59.555,59.792
15061288,59.43,59.644
15061289,59.496,59.698
15061290,60.882,60.009
15061291,58.876,59.324
15061293,59.982,59.984
15061295,60.107,59.809
15061296,61.046,60.203
15061298,60.324,59.893
15061299,57.177,57.91
15061303,59.069,58.98
15061307,59.282,59.45
15061312,58.903,59.353
15061313,62.632,61.575
15061314,59.118,59.53
15061317,59.13,59.529
15061318,59.086,59.189
15061319,60.648,60.369
15061320,59.091,59.375
15061323,57.117,57.911
15061324,58.513,58.736
15061329,58.414,58.933
15061334,60.354,59.76
15061335,59.893,59.511
15061337,58.678,59.13
15061338,58.99,59.508
15061340,59.006,59.526
15061344,58.847,58.67
15061345,61.739,60.856
15061346,61.69,60.841
15061347,58.659,59.33
15061348,58.719,59.125
15061349,60.017,60.015
15061350,58.891,59.32
15061352,59.314,59.444
15061353,58.696,59.128
15061355,58.66,59.121
15061356,58.575,58.535
15061357,58.416,58.93
15061358,60.596,60.377
15061360,58.694,59.13
15061364,58.744,59.14
15061365,59.474,59.658
15061367,59.479,59.664
15061369,62.865,60.962
15061376,61.74,60.851
15061378,59.905,59.559
15061380,58.66,59.334
15061382,57.118,57.893
15061383,58.706,59.134
15061384,59.007,59.512
15061388,59.425,59.803
15061390,59.393,59.471
15061391,59.308,59.445
15061392,58.817,58.94
15061394,59.169,59.534
15061396,59.152,59.536
15061404,59.376,59.464
15061406,58.701,59.128
15061410,60.094,59.505
15061411,60.717,60.151
15061414,59.332,59.451
15061415,58.396,58.99
15061417,59.332,59.44
15061418,59.338,59.453
15061419,59.002,59.512
15061420,59.091,59.375
15061421,60.612,60.366
15061422,58.457,58.766
15061424,58.224,58.912
15061425,61.669,60.851
15061428,61.711,60.847
15061430,61.687,60.848
15061435,60.156,59.793
15061436,57.49,58.098
15061437,60.778,60.238
15061439,60.763,60.339
15061441,61.366,60.034
15061442,60.692,60.152
15061444,60.681,60.233
15061445,61.374,60.038
15061447,58.621,58.68
15061449,59.483,59.446
15061454,59.45,59.44
15061458,61.716,60.854
15061459,59.302,59.439
15061461,61.694,60.844
15061463,59.072,59.163
15061469,58.924,58.692
15061470,58.56,58.532
15061471,58.529,58.545
15061475,60.577,60.367
15061476,60.219,59.579
15061478,58.947,59.496
15061479,58.377,58.759
15061480,61.353,60.031
15061481,62.621,61.569
15061484,61.247,61.042
15061485,57.436,58.106
15061486,59.96,59.545
15061489,59.352,59.478
15061490,59.293,59.437
15061491,59.299,59.443
15061492,59.295,59.437
15061493,58.699,59.336
15061494,58.624,59.263
15061495,58.722,59.347
15061496,58.688,59.325
15061499,62.612,61.57
15061500,57.386,58.082
15061501,60.884,59.552
15061503,58.604,58.843
15061504,57.139,57.912
15061505,59.621,59.775
15061507,60.647,60.136
15061508,60.661,60.132
15061509,60.782,59.977
15061511,60.784,59.976
15061515,59.113,59.525
15061516,60.912,59.56
15061517,58.706,59.134
15061518,58.706,58.837
15061521,59.959,59.323
15061522,59.98,59.831
15061524,58.543,59.148
15061525,60.702,60.148
15061526,58.117,58.852
15061528,58.673,59.376
15061529,60.797,59.973
15061530,60.626,60.136
15061533,60.687,60.117
15061534,58.428,59.205
15061535,58.614,59.288
15061536,60.729,60.156
15061540,62.493,61.501
15061542,62.487,61.486
15061543,59.444,59.694
15061544,58.88,59.367
15061546,58.863,59.413
15061548,59.882,59.77
15061549,58.395,59.239
15061550,58.172,58.902
15061553,58.838,59.295
15061555,60.506,60.244
15061556,57.413,58.036
15061560,59.289,59.564
15061561,57.608,59.063
15061564,58.414,58.748
15061565,54.989,56.787
15061566,58.991,59.499
15061568,59.068,59.214
15061571,62.19,60.642
15061575,61.247,61.059
15061576,58.5,58.515
15061577,58.384,58.924
15061578,58.359,58.836
15061579,61.316,60.025
15061580,58.774,59.129
15061583,57.079,57.891
15061584,59.625,59.242
15061585,58.534,58.523
15061586,58.548,58.538
15061588,57.467,58.08
15061600,58.525,58.98
15061602,59.038,59.41
15061603,58.987,59.498
15061604,57.924,58.534
15061605,59.197,58.487
15061608,58.535,58.536
15061609,59,59.508
15061610,58.672,59.116
15061612,59.778,59.782
15061613,57.113,57.89
15061619,59.288,59.44
15061621,60.951,59.59
15061622,60.175,60.161
15061623,60.6,60.384
15061624,58.975,59.525
15061628,60.796,59.973
15061631,58.459,59.236
15061632,57.111,57.915
15061637,60.584,60.371
15061638,60.601,60.37
15061639,57.601,58.018
15061640,59.936,60.072
15061642,60.608,60.362
15061645,59.992,60.061
15061646,59.125,59.533
15061647,60.562,60.392
15061648,59.132,59.545
