,PREDICTED,ACTUAL
15060021,58.614,44
15060025,60.502,66
15060027,59.602,54
15060039,59.509,50
15060042,59.849,66
15060056,60.154,66
15060063,59.637,71
15060070,59.184,54
15060081,59.978,58
15060085,59.882,58
15060087,59.182,50
15060097,57.794,58
15060102,60.494,54
15060112,58.827,44
15060114,57.316,54
15060120,59.643,71
15060121,62.098,58
15060122,58.667,44
15060138,59.03,44
15060160,58.395,58
15060187,57.645,54
15060188,59.084,58
15060190,60.823,71
15060191,62.006,69
15060214,59.597,54
15060313,55.943,50
15060320,60.948,66
15060345,61.398,71
15060383,55.935,53
15060420,61.439,58
15060543,60.231,54
15060570,58.084,54
15060797,58.457,54
15060846,58.721,54
15060907,57.93,54
15060910,56.644,44
15060933,60.243,66
15060964,58.363,53
15061007,58.361,54
15061011,60.443,54
15061122,58.689,54
15061204,58.379,54
15061213,59.469,63
15061215,59.535,54
15061216,59.556,66
15061225,57.443,66
15061226,58.971,58
15061228,59.226,58
15061237,60.295,76
15061256,59.254,54
15061257,59.798,66
15061259,59.184,44
15061260,60.486,58
15061262,59.252,58
15061263,59.324,58
15061264,58.9,54
15061265,60.822,66
15061270,60.951,54
15061273,60.833,54
15061274,58.874,44
15061277,58.236,58
15061282,57.335,58
15061283,58.855,66
15061286,59.668,54
15061288,59.476,66
15061289,59.498,66
15061290,60.445,72
15061291,59.011,54
15061293,59.801,66
15061295,59.941,71
15061296,60.563,66
15061298,60.136,66
15061299,57.383,54
15061303,59.157,66
15061307,59.281,54
15061312,59.034,69
15061313,62.03,69
15061314,59.163,76
15061317,59.264,66
15061318,59.138,54
15061319,60.538,72
15061320,58.959,72
15061323,57.368,54
15061324,58.517,54
15061329,58.766,54
15061334,60.109,66
15061335,59.945,66
15061337,58.81,54
15061338,59.185,66
15061340,59.195,54
15061344,58.73,71
15061345,61.421,69
15061346,61.393,54
15061347,58.77,54
15061348,58.837,58
15061349,59.935,58
15061350,59.011,58
15061352,59.267,66
15061353,58.822,54
15061355,58.789,54
15061356,58.705,54
15061357,58.766,54
15061358,60.495,53
15061360,58.819,54
15061364,58.859,76
15061365,59.505,54
15061367,59.496,54
15061369,62.091,66
15061376,61.423,54
15061378,59.946,54
15061380,58.765,54
15061382,57.334,50
15061383,58.836,50
15061384,59.195,54
15061388,59.425,58
15061390,59.333,54
15061391,59.271,54
15061392,58.857,54
15061394,59.289,66
15061396,59.28,66
15061404,59.317,66
15061406,58.82,54
