SAMPLES,GEBVs(BA),ACTUAL
15062362,26.027,40
15061954,51.112,57
15062339,47.613,39
15061482,43.066,47
15062104,29.395,20
15061707,28.581,26
15061567,45.2,57
15061964,23.328,20
15061488,34.957,40
15061438,34.942,26
15061814,53.292,57
15061721,47.422,43
15061601,26.093,20
15061719,23.235,28
15061629,43.312,20
15061477,27.51,20
15061761,23.15,20
15061336,30.229,20
15061386,23.599,20
15061305,25.005,20
15061676,24.885,26
15061523,25.362,20
15061763,29.767,20
15061385,24.534,20
15062133,24.051,20
15061333,32.544,28
15061627,42.966,49
15061731,34.978,41
15061641,53.271,48
15061330,32.615,57
15061626,27.432,20
15062147,49.703,53
15061487,27.366,20
15060536,41.441,59
15061261,23.361,34
15061389,35.698,45
15060101,23.242,20
15061397,25.007,42
15061551,42.194,58
15061539,24.673,40
15062115,32.826,42
15061361,25.459,20
15061669,48.175,58
15062359,49.027,26
15061690,34.598,26
15061308,35.1,28
15062372,22.625,28
15061342,25.718,28
15061281,42.188,49
15061932,46.955,45
15061370,51.569,58
15061630,24.436,20
15061789,42.711,55
15061666,29.566,34
15062143,21.652,20
15061297,23.079,20
15061907,40.337,4
15061538,24.186,39
15062371,35.313,39
15061685,22.104,28
15062081,23.571,20
15061969,49.314,26
15061498,34.236,26
15061271,44.338,20
15062344,32.039,20
15061279,33.287,26
15062144,24.68,35
15061722,42.296,57
15061768,31.961,49
15061557,23.41,20
15061434,49.718,53
15060072,42.657,53
15061405,36.933,20
15062052,50.8,28
15062098,50.937,58
15061916,25.389,20
15061377,23.439,58
15061633,30.944,40
15061702,28.569,28
15061614,36.524,33
15061368,24.189,20
15061520,29.095,38
15060082,30.598,20
15061656,34.499,42
15061331,32.203,34
15061327,23.582,20
15062074,24.479,20
15061300,32.957,28
15061776,43.186,26
15061462,30.884,45
15061302,32.615,28
15061957,45.06,58
15061514,23.718,20
15060909,47.664,26
15062063,25.314,20
15060090,35.146,20
15061301,31.782,26
15061423,39.26,33
15061453,33.682,40
15060215,36.99,33
15062119,28.815,20
15061537,23.192,39
15061667,22.128,20
15062123,25.837,20
15061710,24.732,20
15061258,33.607,20
15061443,43.208,53
15060050,35.041,57
15060110,24.383,20
15062053,44.282,45
15061764,25.785,20
15061799,29.591,20
