SAMPLES,GEBVs(BA),ACTUAL
15062362,310.911,309
15061954,323.213,339
15062339,318.303,321
15061482,320.731,352
15062104,313.565,307
15061707,311.039,314
15061567,313.198,339
15061964,313.599,307
15061488,299.762,308
15061438,299.756,314
15061814,315.513,317
15061721,321.224,331
15061601,311.024,307
15061719,313.454,306
15061629,314.957,307
15061477,315.084,307
15061761,313.512,307
15061336,312.531,307
15061386,313.454,307
15061305,309.788,307
15061676,310.754,314
15061523,311.129,307
15061763,313.602,307
15061385,310.748,307
15062133,313.258,307
15061333,314.505,306
15061627,311.381,320
15061731,299.759,347
15061641,315.709,315
15061330,308.975,339
15061626,312.775,307
15062147,322.348,346
15061487,314.865,307
15060536,319.721,350
15061261,312.058,316
15061389,299.879,302
15060101,313.563,307
15061397,310.821,304
15061551,320.633,336
15061539,310.801,309
15062115,310.744,312
15061361,310.9,307
15061669,318.93,336
15062359,323.224,314
15061690,299.671,314
15061308,299.828,306
15062372,315.307,306
15061342,311.009,306
15061281,323.03,320
15061932,322.815,330
15061370,323.287,336
15061630,313.3,307
15061789,320.631,328
15061666,317.41,316
15062143,313.277,307
15061297,314.875,307
15061907,320.858,41
15061538,310.647,308
15062371,319.195,321
15061685,313.348,306
15062081,308.67,307
15061969,325.967,314
15061498,301.712,314
15061271,319.333,307
15062344,314.974,307
15061279,315.266,314
15062144,310.867,303
15061722,319.192,327
15061768,309.961,301
15061557,312.027,307
15061434,322.371,346
15060072,322.767,306
15061405,316.553,307
15062052,322.968,345
15062098,323.202,336
15061916,310.946,307
15061377,312.088,336
15061633,318.273,309
15061702,314.93,306
15061614,316.567,324
15061368,313.593,307
15061520,315.857,334
15060082,313.58,307
15061656,320.725,316
15061331,313.02,316
15061327,311.996,307
15062074,313.807,307
15061300,310.866,306
15061776,320.605,314
15061462,311.247,302
15061302,312.932,306
15061957,318.173,322
15061514,312.098,307
15060909,322.98,338
15062063,310.795,307
15060090,319.062,307
15061301,312.438,314
15061423,317.348,324
15061453,310.882,309
15060215,316.686,324
15062119,313.462,307
15061537,313.533,308
15061667,313.303,307
15062123,311.712,307
15061710,313.212,307
15061258,310.828,307
15061443,320.646,344
15060050,319.092,327
15060110,310.666,307
15062053,323.081,330
15061764,313.767,307
15061799,313.47,307
