,PREDICTED,ACTUAL
15060021,313.894,307
15060025,312.94,307
15060027,312.413,307
15060039,321.622,327
15060042,317.278,307
15060056,316.514,307
15060063,319.088,339
15060070,311.66,307
15060081,314.594,307
15060085,315.03,307
15060087,311.671,307
15060097,325.35,337
15060102,314.41,307
15060112,311.595,307
15060114,316.272,320
15060120,314.963,328
15060121,314.026,307
15060122,319.034,324
15060138,314.255,307
15060160,320.298,307
15060187,316.184,316
15060188,313.677,307
15060190,313.251,307
15060191,312.467,307
15060214,317.217,307
15060313,320.334,318
15060320,317.71,346
15060345,321.244,341
15060383,320.455,338
15060420,321.19,306
15060543,318.416,350
15060570,317.391,322
15060797,315.266,302
15060846,319.046,307
15060907,318.533,303
15060910,322.92,336
15060933,318.477,350
15060964,316.699,309
15061007,316.501,309
15061011,312.862,302
15061122,319.012,317
15061204,318.033,307
15061213,321.619,352
15061215,321.657,330
15061216,317.377,308
15061225,316.304,305
15061226,317.631,314
15061228,315.887,307
15061237,318.425,336
15061256,315.603,307
15061257,317.354,307
15061259,311.597,307
15061260,312.831,307
15061262,313.973,307
15061263,314.845,304
15061264,314.586,307
15061265,313.974,307
15061270,313.916,307
15061273,313.99,307
15061274,317.149,341
15061277,319.987,336
15061282,316.326,306
15061283,311.65,306
15061286,317.971,308
15061288,321.472,307
15061289,321.527,323
15061290,318.846,307
15061291,315.049,327
15061293,313.126,306
15061295,314.813,307
15061296,313.859,314
15061298,313.086,314
15061299,316.354,309
15061303,321.519,328
15061307,315.921,306
15061312,315.295,308
15061313,312.488,307
15061314,316.531,346
15061317,314.054,314
15061318,314.294,307
15061319,312.875,307
15061320,322.286,339
15061323,316.216,314
15061324,320.518,307
15061329,313.931,306
15061334,313.55,320
15061335,312.233,306
15061337,311.688,314
15061338,311.597,307
15061340,311.729,306
15061344,313.47,306
15061345,321.245,339
15061346,321.14,336
15061347,313.877,307
15061348,311.523,307
15061349,312.994,314
15061350,315.183,336
15061352,302.728,41
15061353,311.563,306
15061355,311.52,307
15061356,319.114,320
15061357,314.016,307
15061358,312.855,306
15061360,311.538,307
15061364,311.581,314
15061365,321.623,319
15061367,321.577,319
15061369,313.994,307
15061376,321.159,336
15061378,312.221,309
15061380,314.06,307
15061382,316.211,310
15061383,311.612,307
15061384,311.617,306
15061388,314.687,344
15061390,302.714,307
15061391,302.811,41
15061392,317.871,309
15061394,313.997,307
15061396,313.993,307
15061404,302.884,307
15061406,311.43,307
15061410,321.481,352
15061411,311.02,307
15061414,302.814,321
15061415,320.845,339
15061417,302.899,324
15061418,302.883,324
15061419,311.6,307
15061420,322.286,312
15061421,312.852,307
15061422,316.288,346
15061424,311.845,303
15061425,321.081,336
15061428,321.228,336
15061430,321.213,339
15061435,313.645,302
15061436,319.798,309
15061437,312.382,314
15061439,312.333,306
15061441,311.305,303
15061442,311.101,308
15061444,315.077,307
15061445,311.314,308
15061447,316.206,345
15061449,315.642,307
15061454,315.752,308
15061458,321.21,336
15061459,302.855,314
15061461,321.255,336
15061463,314.763,314
15061469,313.543,309
15061470,319.052,324
15061471,319.13,314
15061475,312.873,307
15061476,316.252,314
15061478,311.633,307
15061479,316.385,347
15061480,311.331,309
15061481,312.588,307
15061484,313.82,307
15061485,319.645,352
15061486,316.987,314
15061489,302.911,314
15061490,302.853,336
15061491,302.892,336
15061492,302.88,316
15061493,313.976,314
15061494,316.067,314
15061495,313.893,307
15061496,313.992,314
15061499,312.541,314
15061500,319.699,328
15061501,319.588,332
15061503,315.915,308
15061504,316.28,308
15061505,318.015,339
15061507,311.043,309
15061508,311.044,309
15061509,314.429,314
15061511,314.472,307
15061515,313.946,314
15061516,319.53,352
15061517,311.556,304
15061518,316.447,305
15061521,317.311,307
15061522,316.05,307
15061524,316.069,314
15061525,311.181,312
15061526,311.943,302
15061528,314.19,307
15061529,314.444,314
15061530,311.087,302
15061533,311.204,314
15061534,313.859,308
15061535,314.351,307
15061536,311.424,307
15061540,312.418,307
15061542,312.754,317
15061543,321.751,314
15061544,311.897,314
15061546,312.06,314
15061548,311.797,327
15061549,314.777,307
15061550,311.931,314
15061553,316.16,314
15061555,313,307
15061556,319.759,315
15061560,316.285,314
15061561,311.421,333
15061564,316.686,329
15061565,320.253,336
15061566,311.615,314
15061568,316.198,320
15061571,312.533,327
15061575,313.751,307
15061576,319.053,314
15061577,313.883,307
15061578,313.987,329
15061579,311.311,314
15061580,311.688,307
15061583,316.345,308
15061584,318.372,327
15061585,319.089,314
15061586,319.107,344
15061588,319.722,307
15061600,316.052,319
15061602,314.71,316
15061603,311.744,306
15061604,321.728,353
15061605,320.625,320
15061608,318.915,324
15061609,311.663,307
15061610,311.546,307
15061612,313.668,314
15061613,316.371,314
15061619,302.839,346
15061621,319.59,331
15061622,313.204,307
15061623,312.897,307
15061624,311.683,329
15061628,314.402,308
15061631,313.871,306
15061632,316.23,353
15061637,312.827,307
15061638,312.85,314
15061639,315.721,322
15061640,315.023,307
15061642,312.672,307
15061645,315.098,306
15061646,313.948,307
15061647,312.901,306
15061648,316.407,307
15061649,319.715,314
15061650,318.311,314
15061651,311.202,314
15061653,321.149,336
15061654,316.376,314
15061655,322.756,329
15061658,316.783,314
15061659,319.224,319
15061661,316.307,308
15061662,315.596,314
15061665,321.541,323
15061668,321.401,339
15061670,315.788,329
15061671,316.434,339
15061673,316.069,327
15061677,302.942,314
15061678,302.785,314
15061679,313.657,307
15061680,315.76,329
15061682,312.828,307
15061683,311.549,314
15061684,316.412,306
15061686,311.595,307
15061687,312.404,308
15061688,311.589,303
15061689,302.816,352
15061704,312.888,306
15061706,319.999,317
15061709,317.759,352
15061712,315.691,314
15061713,312.869,307
15061714,320.777,346
15061717,313.313,306
15061718,315.826,307
15061720,321.656,341
15061723,319.647,341
15061724,314.291,312
15061725,320.801,339
15061726,322.927,353
15061729,311.864,317
15061730,312.008,319
15061733,303.052,310
15061734,302.851,339
15061735,320.867,339
15061736,311.878,306
15061737,311.812,315
