,BA,BB
15060021,29.768,29.244
15060025,29.738,31.753
15060027,33.412,34.334
15060039,40.485,40.026
15060042,34.138,34.84
15060056,32.807,35.284
15060063,39.475,40.484
15060070,29.732,30.746
15060081,31.693,33.234
15060085,32.4,31.899
15060087,29.631,30.743
15060097,60.116,59.416
15060102,31.292,30.387
15060112,32.322,32.19
15060114,41.648,41.229
15060120,43.411,45.338
15060121,30.53,30.806
15060122,35.902,34.824
15060138,32.901,36.58
15060160,35.917,35.989
15060187,38.718,40.152
15060188,30.558,31.531
15060190,31.626,34.508
15060191,30.008,29.388
15060214,37.413,37.113
15060313,58.19,56.723
15060320,40.432,39.315
15060345,43.501,43.084
15060383,57.892,56.729
15060420,43.682,43.095
15060543,41.47,43.773
15060570,40.688,39.473
15060797,43.367,33.874
15060846,35.288,34.701
15060907,37.553,34.316
15060910,43.885,41.4
15060933,41.654,43.792
15060964,40.574,40.62
15061007,40.571,40.694
15061011,30.329,31.924
15061122,35.8,34.725
15061204,31.811,29.892
15061213,40.843,40.085
15061215,40.795,40.043
15061216,35.708,39.772
15061225,41.716,41.151
15061226,35.578,36.555
15061228,31.064,29.379
15061237,41.664,43.83
15061256,33.017,28.691
15061257,37.716,40.788
15061259,29.566,30.736
15061260,29.796,31.841
15061262,31.516,31.081
15061263,36.974,36.615
15061264,32.431,32.63
15061265,31.08,32.465
15061270,28.503,27.698
15061273,30.912,32.46
15061274,39.039,39.104
15061277,45.118,45.973
15061282,41.132,41.008
15061283,32.341,32.164
15061286,45.941,43.924
15061288,40.496,40.099
15061289,40.723,40.047
15061290,37.388,34.86
15061291,40.966,40.187
15061293,28.578,29.645
15061295,29.908,31.423
15061296,33.701,35.381
15061298,36.887,38.174
15061299,41.369,41.088
15061303,48.061,47.89
15061307,31.356,29.463
15061312,41.401,41.804
15061313,29.916,29.382
15061314,38.002,37.43
15061317,31.354,31.06
15061318,32.583,35.315
15061319,30.077,31.853
15061320,42.289,42.061
15061323,41.055,40.961
15061324,34.683,35.513
15061329,30.399,30.103
15061334,42.225,45.03
15061335,33.402,34.723
15061337,32.666,32.313
15061338,29.891,30.845
15061340,29.501,30.698
15061344,35.212,35.299
15061345,43.658,43.097
15061346,43.767,43.085
15061347,29.982,28.38
15061348,32.325,32.181
15061349,33.644,34.803
15061350,41.199,40.307
15061352,43.697,43.291
15061353,32.335,32.19
15061355,32.303,32.191
15061356,35.741,34.662
15061357,30.455,30.017
15061358,29.82,31.887
15061360,32.198,32.086
15061364,32.377,32.196
15061365,40.203,40.051
15061367,40.519,40.102
15061369,30.592,30.906
15061376,43.638,43.08
15061378,33.314,34.736
15061380,29.701,28.288
15061382,41.199,40.952
15061383,32.241,32.187
15061384,29.399,30.726
15061388,37.447,34.93
15061390,43.384,43.289
15061391,43.537,43.262
15061392,40.153,40.378
15061394,31.334,31.04
15061396,31.46,31.047
15061404,43.526,43.283
15061406,32.288,32.183
15061410,41.619,41.803
15061411,36.209,35.229
15061414,43.397,43.249
15061415,38.729,37.798
15061417,43.685,43.277
15061418,43.356,43.239
15061419,29.48,30.729
15061420,42.289,42.061
15061421,30.203,31.93
15061422,45.711,46.518
