SAMPLES,GEBVs(BA),ACTUAL
15062362,43.79,41
15061954,48.601,54
15062339,44.335,36
15061482,44.686,41
15062104,45.567,33
15061707,49.475,38
15061567,55.737,63
15061964,83.509,92
15061488,44.526,43
15061438,44.659,57
15061814,45.77,43
15061721,41.854,45
15061601,43.891,33
15061719,83.43,92
15061629,53.677,61
15061477,39.74,43
15061761,83.476,92
15061336,40.138,43
15061386,55.113,43
15061305,43.275,42
15061676,43.615,41
15061523,47.196,43
15061763,47.026,59
15061385,45.793,54
15062133,41.363,43
15061333,42.786,52
15061627,47.564,66
15061731,44.629,54
15061641,45.462,54
15061330,51.959,43
15061626,43.473,36
15062147,44.704,33
15061487,45.17,42
15060536,42.704,67
15061261,53.011,52
15061389,44.862,45
15060101,83.336,89
15061397,45.952,92
15061551,46.208,45
15061539,45.887,43
15062115,44.004,54
15061361,43.42,43
15061669,45.864,52
15062359,44.643,66
15061690,44.167,36
15061308,44.799,57
15062372,52.813,65
15061342,43.749,42
15061281,44.729,41
15061932,50.818,57
15061370,48.467,36
15061630,47.414,41
15061789,44.919,63
15061666,46.167,36
15062143,43.273,43
15061297,43.332,43
15061907,59.026,89
15061538,45.562,42
15062371,53.409,43
15061685,43.533,54
15062081,51.046,54
15061969,58.684,70
15061498,45.733,33
15061271,40.295,43
15062344,37.877,36
15061279,42.249,54
15062144,46.184,54
15061722,45.339,48
15061768,35.93,43
15061557,52.087,59
15061434,44.644,54
15060072,52.726,49
15061405,48.364,58
15062052,47.976,36
15062098,48.815,54
15061916,43.522,36
15061377,52.782,52
15061633,56.844,49
15061702,48.623,43
15061614,49.383,54
15061368,54.769,52
15061520,42.38,43
15060082,50.895,36
15061656,52.568,66
15061331,58.795,53
15061327,53.229,63
15062074,43.933,70
15061300,43.926,43
15061776,44.628,52
15061462,35.869,43
15061302,48.544,31
15061957,46.896,67
15061514,52.735,66
15060909,50.247,61
15062063,43.573,36
15060090,53.726,41
15061301,57.562,43
15061423,55.411,54
15061453,43.718,43
15060215,48.168,45
15062119,45.519,43
15061537,83.927,92
15061667,43.622,58
15062123,48.118,58
15061710,47.825,45
15061258,49.212,53
15061443,44.852,53
15060050,53.047,54
15060110,45.65,36
15062053,46.668,45
15061764,86.068,31
15061799,46.768,45
