,PREDICTED,ACTUAL
15060021,47.309,37
15060025,52.383,52
15060027,42.823,36
15060039,43.752,36
15060042,51.322,45
15060056,77.683,89
15060063,39.966,36
15060070,45.765,36
15060081,55.308,52
15060085,37.914,33
15060087,45.693,41
15060097,53.662,58
15060102,86.366,89
15060112,43.58,41
15060114,49.099,48
15060120,53.889,57
15060121,55.141,52
15060122,54.196,66
15060138,35.638,36
15060160,48.364,36
15060187,42.074,39
15060188,47.271,45
15060190,46.771,36
15060191,47.588,36
15060214,46.823,36
15060313,51.995,36
15060320,45.495,45
15060345,48.878,48
15060383,52.202,61
15060420,48.545,57
15060543,51.26,57
15060570,44.035,42
15060797,40.783,36
15060846,53.461,56
15060907,42.899,43
15060910,44.13,36
15060933,51.604,43
15060964,40.881,36
15061007,41.615,43
15061011,51.726,43
15061122,53.021,41
15061204,57.105,53
15061213,44.41,36
15061215,44.305,43
15061216,79.163,89
15061225,46.551,36
15061226,42.561,41
15061228,50.101,43
15061237,52.303,54
15061256,43.113,36
15061257,47.656,41
15061259,45.539,48
15061260,51.99,57
15061262,84.331,88
15061263,85.652,92
15061264,79.257,92
15061265,43.906,52
15061270,43.727,54
15061273,43.884,41
15061274,46.199,43
15061277,51.464,54
15061282,48.895,43
15061283,43.84,31
15061286,40.216,36
15061288,44.332,48
15061289,43.951,45
15061290,54.709,54
15061291,55.236,49
15061293,51.961,53
15061295,56.274,54
15061296,54.476,54
15061298,57.411,61
15061299,48.403,61
15061303,50.324,57
15061307,50.367,61
15061312,55.548,61
15061313,47.666,43
15061314,46.674,57
15061317,84.173,92
15061318,39.829,36
15061319,52.652,49
15061320,40.896,43
15061323,48.136,43
15061324,46.034,43
15061329,45.945,36
15061334,46.691,45
15061335,44.434,36
15061337,43.517,49
15061338,45.61,54
15061340,46.31,54
15061344,49.723,54
15061345,48.151,36
15061346,48.28,61
15061347,41.096,42
15061348,43.584,43
15061349,50.837,61
15061350,55.308,63
15061352,44.33,36
15061353,43.505,36
15061355,43.068,36
15061356,53.505,61
15061357,45.86,43
15061358,52.072,48
15061360,43.428,36
15061364,43.705,43
15061365,44.286,61
15061367,44.432,54
15061369,55.379,52
15061376,48.442,36
15061378,44.383,49
15061380,40.573,43
15061382,48.32,33
15061383,43.701,49
15061384,45.937,43
15061388,55.9,61
15061390,44.843,45
15061391,44.559,36
15061392,53.389,52
15061394,83.931,92
15061396,83.482,43
15061404,44.352,36
15061406,43.467,43
15061410,43.044,36
15061411,35.955,42
15061414,44.653,61
15061415,45.003,41
15061417,44.737,57
15061418,44.695,57
15061419,45.815,41
15061420,40.896,36
15061421,54.707,65
15061422,54.801,52
15061424,50.123,57
15061425,48.659,54
15061428,48.593,54
15061430,48.638,41
15061435,46.874,43
15061436,44.401,57
15061437,35.383,36
15061439,35.75,36
15061441,44.195,42
15061442,36.443,31
15061444,39.043,36
15061445,43.741,42
15061447,55.665,57
15061449,50.144,58
15061454,50,43
15061458,48.484,67
15061459,44.589,49
15061461,48.915,58
15061463,56.312,61
15061469,50.027,49
15061470,53.69,61
15061471,53.886,59
