probIn scale
0.03727819 12.54203
0.03129021 13.04094
0.0472533 11.82674
0.03842429 11.84327
0.06103938 11.21696
0.05015979 10.66452
0.04486215 10.68756
0.04883755 10.76946
0.05666756 9.879959
0.05115413 10.08386
0.06293766 10.26414
0.06381324 10.7495
0.05467602 10.64648
0.04414995 9.910451
0.04511203 10.69128
0.07310964 9.64455
0.06735486 9.173954
0.0650126 9.152974
0.07984658 9.265651
0.09083275 8.886586
0.05508168 9.056555
0.03583221 9.140972
0.0499677 9.155984
0.05086303 9.720389
0.05247464 8.639065
0.04516492 8.61554
0.05455962 8.78169
0.0620437 9.24386
0.0542099 8.694278
0.06729649 8.194734
0.04330515 7.927201
0.04107221 7.9984
0.06976137 8.498923
0.05805982 8.608525
0.06333745 8.804064
0.05136937 8.662986
0.06714902 8.434842
0.06292625 8.213967
0.06767498 8.165371
0.05713004 8.60205
0.06788665 8.432783
0.05554006 7.789635
0.06936839 8.124642
0.04898409 8.766559
0.04941664 8.760391
0.0456953 9.058161
0.04633849 9.328935
0.05390966 9.35119
0.04851451 10.26006
0.05499894 9.340163
0.05367915 8.331399
0.05163259 8.238348
0.05831601 8.522116
0.06685619 8.566194
0.06390889 8.641055
0.06289936 7.597259
0.06513171 7.644292
0.06627776 7.737968
0.0451711 7.236973
0.06587784 6.607001
0.08157207 6.649933
0.08376476 6.802344
0.08256468 6.491603
0.06717643 6.74754
0.08826517 7.689174
0.09053703 7.357176
0.06220558 7.309493
0.05542422 6.915853
0.0798273 7.602539
0.08532323 7.279953
0.09555638 7.572862
0.09783905 7.343377
0.1008292 7.734748
0.09240923 7.155608
0.06747575 7.551188
0.06578599 7.87255
0.06677026 7.987996
0.04894162 8.604089
0.05058472 7.798328
0.0687674 8.180479
0.09264794 8.449645
0.07524815 8.023991
0.06895442 8.416657
0.06347958 9.142189
0.05259909 8.370004
0.07238062 9.269722
0.07935811 9.995372
0.07241366 8.622257
0.117711 8.391329
0.08741967 8.946433
0.1076428 9.119726
0.09892542 9.024401
0.09806857 8.831489
0.08059149 8.88868
0.08255405 9.407896
0.06340065 10.14756
0.05983556 10.88309
0.07443087 10.9156
0.09884327 10.20039
0.07596841 10.90327
0.07274862 9.652723
0.08517895 10.22733
0.09619929 9.364225
0.08880763 9.613368
0.09372786 9.543888
0.08886624 10.18428
0.07055571 11.28549
0.06277507 11.00074
0.05561213 10.62864
0.05476321 10.12673
0.0617899 10.27529
0.04762363 10.50635
0.0797626 11.48663
0.05959455 11.27611
0.077109 10.02697
0.04564669 10.34491
0.06070776 11.334
0.04722799 11.11687
0.0380858 12.24639
0.06962458 11.95736
0.0368775 11.30342
0.05114461 11.42963
0.05064375 13.07818
0.04968264 13.66557
0.05986375 11.91968
0.06046228 11.95878
0.04777439 10.70254
0.05038794 10.33389
0.06134693 10.02655
0.06472578 10.07237
0.07425342 10.58303
0.07304112 10.31395
0.08382922 10.44678
0.04931015 10.75898
0.05279401 10.39939
0.05805103 10.12302
0.05817572 10.21642
0.06823969 10.88915
0.04987288 10.09711
0.06095638 9.987508
0.07784786 9.416943
0.06186713 9.05925
0.06976186 8.868027
0.09104968 9.913168
0.05187447 8.682289
0.05925934 8.199306
0.07168097 8.415751
0.06337526 9.256627
0.05024489 9.523645
0.06081547 11.28179
0.06269252 10.20313
0.04801632 9.483972
0.04951517 9.377529
0.06854005 8.170592
0.06707555 8.595594
0.04575804 9.086162
0.05742029 9.059479
0.05349755 9.372727
0.0345017 9.42911
0.05947 8.631898
0.05702253 8.39589
0.05947245 8.91937
0.05563511 8.22906
0.05537839 8.008853
0.07661202 8.065561
0.08625309 8.387156
0.08250336 7.924174
0.06553663 7.858753
0.06476078 8.165901
0.07193935 8.829849
0.05607649 8.185529
0.0522704 8.703668
0.04716045 8.159338
0.05999596 8.180091
0.06721349 8.148624
0.07348243 8.114619
0.07795754 7.295662
0.08541675 8.032247
0.07713735 8.405269
0.06360029 8.73247
0.06170631 8.913269
0.07228141 8.72988
0.06696869 7.867716
0.07784536 7.842635
0.1080527 7.312154
0.08238711 7.864314
0.09143727 8.352653
0.07775242 9.083978
0.08330836 9.397308
0.09146104 9.074415
0.111702 8.355807
0.1036262 8.555936
0.09554415 7.864932
0.08990607 8.107501
0.07425428 7.808788
0.09058546 7.015514
0.07474408 6.697848
0.07619891 6.957395
0.1003783 6.607053
0.08870933 6.552031
0.09908798 6.720137
0.1161358 5.95529
0.1129436 6.094002
0.0965941 5.696889
0.07660328 5.217351
0.08004664 5.796589
0.06974656 5.611987
0.07702092 6.384481
0.07679932 7.154219
0.100218 6.639738
0.08640762 6.675325
0.07962403 6.546925
0.07358488 6.483295
0.05967774 6.549875
0.07019628 7.921007
0.08299564 7.438234
0.07177297 8.004031
0.06682935 7.882024
0.06135264 7.313369
0.05453897 6.995653
0.04589332 6.207226
0.07565146 6.388486
0.09700035 6.381035
0.0604507 6.527902
0.09867902 6.398715
0.09580321 6.729094
0.117044 6.275884
0.08212507 6.413926
0.08203186 6.587408
