,BA,BB
15060021,238.01,239.211
15060025,94.95,100.766
15060027,55.396,43.879
15060039,38.345,36.366
15060042,176.165,168.668
15060056,156.685,155.052
15060063,58.611,65.426
15060070,188.527,182.397
15060081,93.447,95.623
15060085,244.942,254.603
15060087,185.832,182.697
15060097,33.49,49.405
15060102,229.866,228.702
15060112,106.894,104.683
15060114,186.111,184.493
15060120,112.429,116.146
15060121,255.277,244.224
15060122,172.064,171.334
15060138,81.866,62.363
15060160,119.266,121.114
15060187,105.236,105.251
15060188,141.347,143.455
15060190,137.578,136.558
15060191,91.494,90.674
15060214,72.888,92.579
15060313,74.473,70.536
15060320,95.028,104.504
15060345,49.421,50.24
15060383,74.546,69.533
15060420,50.599,50.915
15060543,53.345,48.931
15060570,93.813,95.061
15060797,119.439,130.54
15060846,174.632,173.864
15060907,199.475,199.241
15060910,59.129,82.757
15060933,52.1,49.28
15060964,172.605,164.913
15061007,170.416,165.053
15061011,99.923,100.718
15061122,173.867,172.676
15061204,242.266,257.086
15061213,40.783,49.074
15061215,43.912,51.781
15061216,200.479,212.785
15061225,183.578,184.152
15061226,85.559,59.087
15061228,160.92,152.513
15061237,54.573,49.195
15061256,206.121,185.154
15061257,64.526,47.727
15061259,185.791,181.884
15061260,98.335,101.706
15061262,153.223,155.046
15061263,176.591,167.935
15061264,144.684,145.158
15061265,114.523,121.687
15061270,56.78,57.902
15061273,116.175,122.309
15061274,103.912,107.137
15061277,79.418,74.47
15061282,192.782,189.434
15061283,105.522,110.228
15061286,79.548,92.984
15061288,42.571,48.161
15061289,42.394,53.305
15061290,85.078,70.645
15061291,52.137,53.902
15061293,112.156,105.87
15061295,100.951,117.802
15061296,125.843,112.52
15061298,82.04,88.208
15061299,190.641,194.77
15061303,62.118,52.293
15061307,161.427,152.111
15061312,48.069,46.523
15061313,88.543,89.6
15061314,89.862,86.068
15061317,150.743,153.271
15061318,197.304,190.485
15061319,92.215,96.141
15061320,88.029,77.472
15061323,187.545,183.63
15061324,73.181,63.461
15061329,222.314,224.14
15061334,115.588,115.693
15061335,100.816,106.367
15061337,108.099,111.761
15061338,187.902,183.367
15061340,188.136,183.275
15061344,272.881,270.048
15061345,51.64,58.024
15061346,53.399,58.149
15061347,136.328,131.907
15061348,108.69,111.563
15061349,143.463,152.044
15061350,48.175,50.513
15061352,215.974,216.26
15061353,110.066,112.404
15061355,111.669,113.23
15061356,172.45,174.612
15061357,219.99,223.312
15061358,95.51,98.847
15061360,110.356,111.932
15061364,106.615,103.24
15061365,43.676,47.125
15061367,44.151,47.772
15061369,257.404,253.192
15061376,52.902,58.306
15061378,103.108,108.521
15061380,133.792,130.589
15061382,186.443,184.861
15061383,106.807,104.729
15061384,188.25,183.833
15061388,118.038,125.18
15061390,216.598,217.306
15061391,217.979,218.659
15061392,107.964,108.043
15061394,153.442,155.498
15061396,152.835,154.968
15061404,215.246,216.356
15061406,110.266,112.491
15061410,84.136,75.38
15061411,212.399,212.81
15061414,218.889,218.953
15061415,64.206,68.21
15061417,214.325,216.229
15061418,216.22,217.45
15061419,188.336,183.786
15061420,88.029,77.472
15061421,87.974,88.721
15061422,105.38,110.225
15061424,58.502,61.312
15061425,54.288,57.633
15061428,52.427,57.782
15061430,50.78,56.018
15061435,51.006,48.949
15061436,81.851,79.725
15061437,121.754,117.116
15061439,117.23,116.554
15061441,89.392,102.21
15061442,208.275,206.565
15061444,97.039,91.508
15061445,90.039,102.928
15061447,124.854,128.992
15061449,238.725,236.823
15061454,235.7,234.997
15061458,53.164,58.494
15061459,217.233,218.413
15061461,50.49,55.922
15061463,124.758,129.21
15061469,270.637,269.033
15061470,173.065,173.463
15061471,172.91,171.009
15061475,87.839,90.606
15061476,173.269,168.061
15061478,184.03,180.532
15061479,96.017,95.597
15061480,89.284,102.218
15061481,87.338,88.482
15061484,56.334,56.844
15061485,84.824,78.171
15061486,206.71,203.353
15061489,216.939,217.407
15061490,215.235,216.269
15061491,215.944,215.787
15061492,215.912,216.939
15061493,132.965,129.668
15061494,240.007,240.23
15061495,136.797,132.448
15061496,135.046,131.033
15061499,88.456,89.526
15061500,86.679,81.19
15061501,72.764,67.892
15061503,116.133,122.098
15061504,188.378,185.5
15061505,80.375,93.157
15061507,210.164,212.257
15061508,210.451,212.224
15061509,230.059,229.665
15061511,229.936,230.125
15061515,151.5,153.846
15061516,72.753,68.582
15061517,111.572,112.622
15061518,91.612,105.683
15061521,169.362,166.681
15061522,94.909,105.037
15061524,241.425,236.47
15061525,213.772,214.351
15061526,77.447,81.586
15061528,125.754,129.961
15061529,231.977,231.307
15061530,208.923,212.05
15061533,210.969,213.171
15061534,238.387,235.842
15061535,124.456,123.051
15061536,208.081,217.132
15061540,87.336,88.863
15061542,88.305,89.417
15061543,38.758,44.987
15061544,172.574,173.427
15061546,176.469,175.142
15061548,89.407,80.332
15061549,139.666,124.647
15061550,55.511,60.724
15061553,29.998,34.963
15061555,80.725,83.186
15061556,83.705,78.924
15061560,51.47,50.647
15061561,154.676,146.887
15061564,79.337,93.03
15061565,76.338,71.309
15061566,186.693,182.869
15061568,77.909,76.854
15061571,92.875,88.175
15061575,55.617,56.648
15061576,173.873,174.562
15061577,224.038,224.267
15061578,216.587,221.406
15061579,93.725,105.859
15061580,106.299,109.82
15061583,191.035,187.802
15061584,87.936,55.435
15061585,177.61,176.143
15061586,175.088,175.332
15061588,84.317,79.475
15061600,95.513,92.323
15061602,101.098,110.418
15061603,184.828,182.039
15061604,59.309,52.379
15061605,148.184,143.877
15061608,173.825,173.918
15061609,186.578,182.443
15061610,110.699,112.478
15061612,107.944,96.666
15061613,190.188,188.141
15061619,219.649,219.343
15061621,73.416,68.091
15061622,108.094,108.856
15061623,91.863,90.851
15061624,179.65,175.152
15061628,230.87,230.549
15061631,235.874,235.241
15061632,190.311,188.491
15061637,96.562,99.471
15061638,97.319,99.671
15061639,130.684,144.025
15061640,164.697,174.022
15061642,91.749,105.993
15061645,161.744,164.781
15061646,152.077,154.226
15061647,94.725,98.836
15061648,88.83,83.16
15061649,182.934,178.356
15061650,95.986,109.926
15061651,210.339,212.221
15061653,53.351,55.881
15061654,191.929,188.5
15061655,99.501,108.995
15061658,193.018,190.443
15061659,174.023,170.754
15061661,190.628,188.598
15061662,237.609,236.655
15061665,78.705,59.131
15061668,83.434,74.532
15061670,130.72,147.204
15061671,89.215,85.425
15061673,92.534,63.89
15061677,215.866,215.426
15061678,219.033,218.918
15061679,47.596,45.929
15061680,128.528,143.111
15061682,94.561,98.017
15061683,103.657,107.611
15061684,117.185,141.552
15061686,106.894,104.683
15061687,156.077,183.743
15061688,110.396,112.564
15061689,217.852,218.582
15061704,94.538,100.625
15061706,91.817,101.722
15061709,95.919,103.779
15061712,235.948,235.37
15061713,94.098,98.369
15061714,65.221,67.667
15061717,137.346,136.393
15061718,238.129,235.773
15061720,40.458,41.787
15061723,72.65,68.098
15061724,66.553,72.133
15061725,64.724,66.915
15061726,63.912,84.248
15061729,62.03,65.249
15061730,56.849,61.176
15061733,210.315,212.577
15061734,216.5,217.59
15061735,66.3,67.893
15061736,58.888,61.889
15061737,56.671,61.552
15061738,217.826,218.221
15061740,224.296,229.045
15061742,95.345,85.679
15061744,87.172,93.51
15061747,148.892,141.544
15061751,172.009,171.219
15061752,226.121,229.866
15061753,216.404,216.792
15061754,66.773,72.904
15061755,101.074,94.77
15061756,96.746,91.13
15061757,52.332,47.987
15061758,107.363,108.967
15061759,114.523,102.839
15061760,59.663,63.026
15061762,133.382,129.948
15061765,230.796,230.551
15061766,90.947,89.678
15061767,260.819,257.77
15061769,95.298,86.701
15061771,219.935,219.166
15061772,254.738,251.563
15061773,107.169,127.166
15061777,54.259,48.972
15061778,217.705,218.115
15061784,216.011,216.997
15061785,106.951,101.617
15061788,244.193,237.1
15061790,51.493,47.914
15061795,238.432,236.009
15061797,215.907,217.061
15061798,89.35,84.005
15061800,106.607,92.489
15061801,87.879,98.519
15061808,87.997,100.151
15061811,99.414,101.036
15061813,85.146,81.337
15061815,190.906,186.9
15061826,102.597,105.899
15061905,42.896,52.479
15061906,216.639,207.674
15061908,137.702,124.426
15061909,243.634,255.287
15061910,191.864,188.944
15061911,59.951,51.277
15061912,104.881,115.598
15061915,63.38,54.059
15061917,53.518,58.191
15061918,174.5,172.948
15061926,189.459,187.096
15061927,202.601,196.541
15061928,199.391,226.491
15061929,110.142,106.922
15061930,175.086,173.953
15061933,107.156,104.113
15061934,58.789,64.638
15061935,60.803,51.321
15061937,119.719,124.361
15061939,217.109,218.109
15061941,97.555,104.72
15061942,124.693,112.054
15061944,93.784,101.094
15061945,53.143,58.324
15061946,136.221,133.433
15061948,110.086,112.401
15061949,147.062,152.422
15061951,52.012,56.441
15061952,57.535,60.638
15061953,184.714,180.434
15061958,107.909,94.427
15061960,220.072,207.205
15061961,185.11,179.917
15061962,66.83,61.094
15061963,218.082,218.948
15061965,151.602,149.026
15061966,170.193,155.076
15061967,169.284,163.372
15061968,50.76,47.454
15062036,182.371,172.468
15062038,49.504,57.158
15062039,39.738,36.961
15062046,108.45,118.521
15062050,63.256,63.274
15062051,51.779,57.736
15062067,90.497,101.166
15062069,244.13,240.209
15062071,150.574,153.319
15062080,135.243,133.935
15062092,108.377,110.941
15062094,183.445,180.149
15062097,95.164,98.852
15062099,270.382,268.294
15062100,132.964,127.514
15062101,56.419,55.197
15062102,94.627,95.334
15062103,175.694,171.372
15062105,180.677,178.447
15062106,216.692,216.216
15062107,208.584,211.235
15062108,215.003,216.898
15062109,52.543,57.589
15062111,147.332,130.426
15062112,182.036,179.894
15062114,91.843,104.455
15062117,52.717,57.881
15062118,52.259,58.248
15062122,207.102,203.209
15062124,227.056,224.839
15062126,205.905,189.612
15062130,93.83,88.91
15062136,63.324,75.087
15062137,217.16,217.242
15062138,182.176,175.312
15062139,64.11,67.796
15062142,83.602,74.251
15062145,202.81,180.033
15062146,239.595,236.554
15062149,65.779,68.319
15062150,211.184,224.845
15062151,157.748,163.491
15062152,216.344,217.245
15062153,216.131,216.661
15062331,184.101,181.24
15062332,180.428,177.831
15062333,59.031,44.752
15062334,170.093,170.532
15062335,78.191,92.253
15062337,52.721,56.126
15062338,52.673,57.536
15062346,77.903,83.736
15062347,256.303,253.1
15062348,49.081,50.02
15062349,221.447,225.029
15062350,147.307,152.529
15062351,138.974,131.682
15062353,97.008,104.462
15062354,51.162,57.783
15062356,238.905,235.891
15062357,184.38,181.614
15062358,217.3,217.907
15062360,91.681,101.316
15062361,147.241,129.784
15062363,41.479,48.298
15062366,118.887,120.045
