SAMPLES,GEBVs(BA),ACTUAL
15062362,110.1,85
15061954,55.399,16
15062339,90.771,85
15061482,89.149,96
15062104,215.128,83
15061707,194.871,355
15061567,110.409,85
15061964,151.519,17
15061488,216.219,328
15061438,217.873,313
15061814,134.218,7
15061721,78.275,22
15061601,104.891,95
15061719,152.108,10
15061629,111.454,86
15061477,107.136,313
15061761,157.09,39
15061336,134.002,333
15061386,248.461,359
15061305,140.88,86
15061676,110.051,14
15061523,177.135,3
15061763,58.149,344
15061385,183.783,328
15062133,137.297,17
15061333,112.959,313
15061627,96.235,41
15061731,217.819,355
15061641,138.74,345
15061330,210.492,16
15061626,74.973,313
15062147,69.614,18
15061487,165.254,3
15060536,184.879,84
15061261,90.763,86
15061389,213.393,328
15060101,154.034,342
15061397,181.235,342
15061551,83.062,86
15061539,181.625,83
15062115,93.259,96
15061361,111.597,21
15061669,96.68,85
15062359,85.061,85
15061690,217.576,313
15061308,215.165,313
15062372,129.548,359
15061342,108.539,17
15061281,45.319,18
15061932,59.163,96
15061370,51.322,12
15061630,234.33,318
15061789,88.72,86
15061666,196.854,83
15062143,66.006,14
15061297,199.172,313
15061907,83.538,96
15061538,179.628,328
15062371,173.268,83
15061685,63.807,14
15062081,226.248,5
15061969,91.616,86
15061498,205.351,313
15061271,85.311,328
15062344,200.079,7
15061279,139.291,17
15062144,180.469,3
15061722,92.807,5
15061768,204.17,10
15061557,96.217,16
15061434,70.305,17
15060072,65.876,42
15061405,190.58,346
15062052,58.829,17
15062098,52.741,22
15061916,107.195,5
15061377,94.393,85
15061633,108.41,83
15061702,152.334,0
15061614,190.029,22
15061368,246.491,40
15061520,104.824,22
15060082,105.814,96
15061656,96.201,346
15061331,114.732,53
15061327,93.892,12
15062074,117.22,86
15061300,89.412,96
15061776,83.116,85
15061462,123.219,85
15061302,144.788,328
15061957,100.253,14
15061514,92.428,18
15060909,58.163,93
15062063,110.701,5
15060090,173.227,346
15061301,94.102,14
15061423,90.847,17
15061453,88.245,313
15060215,183.536,85
15062119,217.956,313
15061537,152.331,17
15061667,63.188,22
15062123,91.548,83
15061710,234.175,313
15061258,63.014,328
15061443,86.986,85
15060050,175.002,67
15060110,184.109,359
15062053,42.422,16
15061764,224.947,83
15061799,54.865,8
