,PREDICTED,ACTUAL
15060021,235.942,313
15060025,94.61,85
15060027,56.249,17
15060039,39.385,21
15060042,173.147,342
15060056,156.449,85
15060063,60.4,17
15060070,186.868,313
15060081,94.719,86
15060085,237.069,328
15060087,184.603,328
15060097,33.36,83
15060102,228.605,7
15060112,107.041,7
15060114,187.198,10
15060120,108.617,96
15060121,253.615,359
15060122,173.249,10
15060138,80.252,17
15060160,120.222,10
15060187,107.752,3
15060188,144.498,69
15060190,133.13,41
15060191,92.834,86
15060214,73.103,85
15060313,74.637,83
15060320,92.861,96
15060345,50.15,96
15060383,74.452,83
15060420,51.272,18
15060543,56.695,14
15060570,91.615,85
15060797,114.347,5
15060846,175.898,14
15060907,191.944,355
15060910,61.567,17
15060933,56.141,17
15060964,171.701,359
15061007,170.412,10
15061011,98.254,96
15061122,174.825,10
15061204,244.567,328
15061213,43.363,17
15061215,45.577,21
15061216,199.538,328
15061225,184.564,10
15061226,84.01,86
15061228,161.223,328
15061237,57.904,17
15061256,208.128,328
15061257,68.037,17
15061259,184.995,313
15061260,98.059,328
15061262,152.045,345
15061263,174.316,359
15061264,143.929,83
15061265,114.764,7
15061270,60.91,17
15061273,116.686,17
15061274,101.303,12
15061277,80.179,86
15061282,192.492,342
15061283,105.966,21
15061286,82.477,17
15061288,45.06,16
15061289,44.418,14
15061290,91.21,96
15061291,54.34,18
15061293,109.98,97
15061295,107.661,17
15061296,130.236,313
15061298,90.464,21
15061299,190.198,10
15061303,58.484,96
15061307,161.28,3
15061312,49.786,17
15061313,90.446,83
15061314,85.81,10
15061317,149.963,10
15061318,193.392,328
15061319,92.248,21
15061320,92.942,86
15061323,186.874,74
15061324,77.878,14
15061329,221.975,318
15061334,116.669,14
15061335,101.206,83
15061337,108.566,345
15061338,187.876,313
15061340,186.491,17
15061344,270.278,346
15061345,52.004,18
15061346,53.778,14
15061347,135.435,346
15061348,108.69,7
15061349,143.922,84
15061350,50.169,18
15061352,215.729,85
15061353,109.981,17
15061355,111.808,5
15061356,173.55,53
15061357,219.557,313
15061358,94.979,86
15061360,110.249,333
15061364,107.14,7
15061365,46.518,14
15061367,46.856,17
15061369,255.631,338
15061376,53.477,14
15061378,103.45,85
15061380,133.103,18
15061382,186.828,342
15061383,106.933,17
15061384,187.239,328
15061388,122.808,17
15061390,216.415,328
15061391,217.818,359
15061392,110.643,28
15061394,152.571,342
15061396,151.878,313
15061404,215.06,328
15061406,110.566,21
15061410,84.408,18
15061411,211.631,342
15061414,218.918,85
15061415,64.732,18
15061417,214.072,313
15061418,216.463,85
15061419,187.347,313
15061420,92.942,85
15061421,88.546,21
15061422,102.605,3
15061424,62.436,3
15061425,54.67,14
15061428,52.596,14
15061430,51.043,18
15061435,51.243,12
15061436,80.937,85
15061437,118.265,96
15061439,114.714,85
15061441,89.27,96
15061442,208.546,338
15061444,93.597,5
15061445,90.167,96
15061447,121.821,21
15061449,236.403,355
15061454,233.551,5
15061458,53.462,21
15061459,217.358,313
15061461,50.855,96
15061463,121.198,359
15061469,268.219,346
15061470,174.223,342
15061471,174.012,346
15061475,87.272,17
15061476,169.038,344
15061478,183.352,313
15061479,92.293,21
15061480,89.629,0
15061481,89.387,85
15061484,60.541,16
15061485,84.021,96
15061486,204.899,313
15061489,217.237,3
15061490,215.083,3
15061491,215.73,328
15061492,215.76,328
15061493,132.47,7
15061494,235.308,313
15061495,135.997,7
15061496,134.742,22
15061499,90.658,86
15061500,85.603,96
15061501,73.762,65
15061503,111.328,342
15061504,188.653,342
15061505,83.715,17
15061507,210.048,14
15061508,210.058,96
15061509,227.692,328
15061511,227.344,313
15061515,150.708,17
15061516,73.717,14
15061517,111.386,7
15061518,90.157,7
15061521,167.727,17
15061522,98.982,85
15061524,236.674,328
15061525,214.324,346
15061526,83.45,5
15061528,126.075,14
15061529,229.443,328
15061530,208.556,3
15061533,211.489,359
15061534,237.222,318
15061535,127.1,21
15061536,207.403,313
15061540,88.92,86
15061542,89.404,5
15061543,40.757,14
15061544,173.802,5
15061546,175.603,313
15061548,90.218,7
15061549,135.946,328
15061550,59.377,5
15061553,30.165,12
15061555,81.387,21
15061556,83.267,96
15061560,48.133,16
15061561,152.939,96
15061564,79.616,45
15061565,76.502,16
15061566,186.039,313
15061568,76.151,96
15061571,94.705,12
15061575,60.021,9
15061576,174.748,93
15061577,223.925,328
15061578,216.929,3
15061579,93.766,3
15061580,106.208,5
15061583,191.283,342
15061584,87.476,21
15061585,177.866,359
15061586,175.373,96
15061588,83.468,17
15061600,92.542,17
15061602,96.07,16
15061603,184.048,313
15061604,65.481,8
15061605,147.664,96
15061608,174.802,94
15061609,185.577,5
15061610,110.664,359
15061612,107.781,86
15061613,190.292,10
15061619,219.792,318
15061621,74.75,14
15061622,108.971,85
15061623,91.843,25
15061624,178.684,17
15061628,228.679,83
15061631,235.08,318
15061632,190.113,17
15061637,96.554,83
15061638,97.096,83
15061639,133.945,345
15061640,160.579,313
15061642,92.689,28
15061645,157.489,313
15061646,151.102,17
15061647,93.874,85
15061648,84.671,318
15061649,177.702,345
15061650,94.493,96
15061651,209.913,345
15061653,53.115,83
15061654,191.797,342
15061655,104.142,85
15061658,191.538,346
15061659,174.414,346
15061661,191.485,346
15061662,234.936,359
15061665,79.734,74
15061668,84.355,83
15061670,134.654,14
15061671,84.451,21
15061673,92.356,3
15061677,216.187,328
15061678,219.141,328
15061679,48.079,17
15061680,132.3,21
15061682,94.249,83
15061683,104.636,16
15061684,114.833,22
15061686,107.041,3
15061687,158.275,313
15061688,110.379,5
15061689,217.838,318
15061704,94.085,5
15061706,92.147,94
15061709,94.01,85
15061712,233.893,318
15061713,93.756,85
15061714,65.847,88
15061717,133.176,359
15061718,235.386,318
15061720,40.586,14
15061723,73.349,16
15061724,68.85,70
15061725,65.034,8
15061726,63.402,8
15061729,65.171,7
15061730,60.359,5
15061733,209.842,74
15061734,216.762,8
15061735,66.382,83
15061736,62.869,96
15061737,60.332,84
15061738,217.593,328
15061740,224.205,318
15061742,95.598,83
15061744,85.885,69
15061747,148.507,10
15061751,172.533,10
15061752,225.464,344
15061753,215.844,355
15061754,65.319,85
15061755,103.469,3
15061756,99.445,3
15061757,53.204,7
15061758,103.462,5
15061759,112.442,83
15061760,62.783,10
15061762,132.382,3
15061765,228.65,318
15061766,92.57,85
15061767,258.61,328
15061769,94.946,8
15061771,218.337,318
15061772,252.424,313
15061773,113.173,7
15061777,54.427,5
15061778,217.574,318
15061784,215.773,313
15061785,111.453,83
15061788,238.369,359
15061790,51.746,83
15061795,236.541,328
15061797,215.886,83
15061798,86.872,21
15061800,106.873,96
15061801,88.694,17
15061808,89.079,84
15061811,97.863,359
15061813,84.28,96
15061815,190.71,21
15061826,98.578,17
15061905,44.753,22
15061906,215.99,313
15061908,133.568,17
15061909,235.879,318
15061910,191.944,342
15061911,55.583,21
15061912,102.746,86
15061915,60.076,85
15061917,53.838,17
15061918,175.086,342
15061926,190.218,359
15061927,206.746,313
15061928,194.877,328
15061929,113.091,83
15061930,175.793,342
15061933,107.938,359
15061934,62.242,86
15061935,57.655,18
15061937,119.552,359
15061939,217.002,96
15061941,95.355,83
15061942,129.301,9
15061944,90.947,96
15061945,53.685,83
15061946,135.094,344
15061948,109.993,45
15061949,146.671,313
15061951,51.979,18
15061952,60.89,21
15061953,184.279,359
15061958,109.604,85
15061960,220.797,313
