,BA,BB
15060021,33.018,35.499
15060025,53.634,53.031
15060027,44.555,44.06
15060039,43.32,43.171
15060042,47.182,47.819
15060056,56.501,54.298
15060063,36.872,36.122
15060070,34.127,34.262
15060081,62.529,60.686
15060085,34.246,34.65
15060087,33.591,34.214
15060097,77.502,81.555
15060102,35.383,35.53
15060112,33.069,33.241
15060114,45.888,45.186
15060120,65.513,63.138
15060121,34.23,34.932
15060122,52.563,53.451
15060138,44.332,41.509
15060160,54.569,49.726
15060187,51.115,50.612
15060188,44.862,43.65
15060190,37.987,41.98
15060191,70.638,70.654
15060214,68.801,67.36
15060313,62.528,61.376
15060320,67.876,66.094
15060345,46.425,46.468
15060383,62.978,61.249
15060420,46.896,46.632
15060543,43.48,43.872
15060570,67.765,65.692
15060797,34.313,33.129
15060846,52.864,53.369
15060907,55.329,51.062
15060910,44.701,45.864
15060933,44.062,44.244
15060964,39.225,40.491
15061007,38.718,40.018
15061011,53.196,52.798
15061122,53.061,53.059
15061204,35.065,35.005
15061213,43.305,43.901
15061215,43.131,43.814
15061216,39.845,42.478
15061225,45.322,44.06
15061226,67.565,67.786
15061228,37.07,37.782
15061237,43.296,43.223
15061256,37.998,41.223
15061257,53.386,51.311
15061259,33.611,34.168
15061260,53.234,52.514
15061262,43.931,44.3
15061263,38.323,37.608
15061264,51.136,49.613
15061265,41.933,44.143
15061270,41.673,42.43
15061273,42.451,44.929
15061274,46.299,47.811
15061277,75.255,72.29
15061282,46.183,46.118
15061283,33.127,33.2
15061286,42.962,42.988
15061288,43.461,43.59
15061289,43.967,44.213
15061290,70.319,65.599
15061291,45.921,45.37
15061293,39.684,38.713
15061295,38.868,38.454
15061296,37.012,39.015
15061298,47.435,47.62
15061299,44.685,44.514
15061303,62.983,63.265
15061307,37.631,38.121
15061312,46.023,45.882
15061313,71.013,70.107
15061314,36.907,37.019
15061317,44.13,44.521
15061318,32.502,33.845
15061319,53.987,53.166
15061320,72.536,73.099
15061323,46.73,47.309
15061324,43.945,43.658
15061329,31.244,31.402
15061334,40.963,42.318
15061335,58.841,56.413
15061337,33.267,33.353
15061338,33.491,33.893
15061340,33.576,34.02
15061344,37.849,37.315
15061345,46.595,46.615
15061346,46.419,46.533
15061347,34.425,35.18
15061348,33.255,33.25
15061349,64.268,60.713
15061350,45.429,45.236
15061352,40.188,40.332
15061353,33.002,33.251
15061355,32.752,32.967
15061356,53.831,54.152
15061357,31.172,31.486
15061358,53.889,53.299
15061360,32.468,32.863
15061364,33.156,33.228
15061365,43.352,43.634
15061367,42.974,43.603
15061369,34.126,34.731
15061376,46.628,46.561
15061378,58.427,56.378
15061380,33.877,34.788
15061382,45.613,45.927
15061383,33.095,33.222
15061384,33.359,34.168
15061388,35.465,38.191
15061390,40.495,40.26
15061391,39.479,39.816
15061392,44.661,44.561
15061394,44.156,44.282
15061396,44.123,44.473
15061404,40.252,40.282
15061406,32.491,32.939
15061410,64.322,65.363
15061411,43.477,44.113
15061414,39.716,39.853
15061415,47.407,46.507
15061417,39.957,40.238
15061418,39.823,39.877
15061419,33.332,34.186
15061420,72.536,73.099
15061421,51.943,51.294
15061422,36.169,36.81
15061424,49.963,49.6
15061425,46.497,46.481
15061428,46.538,46.495
15061430,46.756,46.664
15061435,42.806,41.534
15061436,68.169,67.335
15061437,59.443,56.517
15061439,59.991,56.574
15061441,60.174,58.667
15061442,43.638,44.302
15061444,33.847,34.056
15061445,60.195,58.782
15061447,38.026,37.593
15061449,33.898,34.293
15061454,33.459,34.046
15061458,46.439,46.483
15061459,39.611,39.84
15061461,46.478,46.547
15061463,40.335,40.099
15061469,38.928,38.56
15061470,53.39,54.102
15061471,53.023,53.705
15061475,52.96,52.774
15061476,35.234,36.967
15061478,33.165,34.179
15061479,37.949,37.287
15061480,59.914,58.619
15061481,70.776,70.675
15061484,41.983,42.574
15061485,67.637,66.442
15061486,37.988,40.13
15061489,39.458,39.594
15061490,39.811,40.147
15061491,39.592,39.805
15061492,39.627,39.894
15061493,34.658,35.556
15061494,32.022,32.985
15061495,34.051,34.888
15061496,34.127,34.876
15061499,70.996,70.882
15061500,67.958,67.149
15061501,46.958,47.289
15061503,35.367,35.318
15061504,45.636,45.843
15061505,43.063,43.675
15061507,43.422,44.17
15061508,43.579,44.235
15061509,35.309,35.246
15061511,35.602,35.582
15061515,43.989,44.471
15061516,47.095,47.293
15061517,33.318,33.378
15061518,36.586,39.001
15061521,45.926,45.352
15061522,56.136,50.078
