SAMPLES,GEBVs(BB),ACTUAL
15062362,15.382,18
15061954,21.033,18
15062339,19.017,26
15061482,10.657,6
15062104,21.347,18
15061707,21.381,18
15061567,13.539,26
15061964,20.107,18
15061488,16.815,6
15061438,16.418,6
15061814,9.455,6
15061721,14.291,18
15061601,15.376,26
15061719,20.018,26
15061629,12.573,6
15061477,10.93,6
15061761,20.222,26
15061336,9.354,18
15061386,15.828,18
15061305,15.442,6
15061676,16.308,18
15061523,7.864,6
15061763,16.987,26
15061385,7.499,6
15062133,15.66,6
15061333,17.239,18
15061627,14.199,6
15061731,16.479,18
15061641,8.533,5
15061330,13.146,26
15061626,13.757,6
15062147,12.706,6
15061487,14.641,6
15060536,11.887,18
15061261,15.174,42
15061389,16.862,18
15060101,20.012,6
15061397,7.487,26
15061551,10.658,6
15061539,7.482,18
15062115,14.555,18
15061361,15.459,18
15061669,17.158,6
15062359,11.172,18
15061690,16.886,18
15061308,16.751,35
15062372,17.83,26
15061342,15.324,18
15061281,15.391,6
15061932,11.716,6
15061370,21.062,18
15061630,26.121,42
15061789,10.734,6
15061666,11.515,6
15062143,19.895,18
15061297,11.917,8
15061907,8.02,26
15061538,8.426,6
15062371,9.187,6
15061685,19.891,26
15062081,15.198,18
15061969,9.372,6
15061498,15.577,18
15061271,20.664,3
15062344,10.871,18
15061279,21.602,26
15062144,7.546,18
15061722,11.228,6
15061768,7.751,6
15061557,15.06,18
15061434,12.727,18
15060072,14.648,26
15061405,7.158,6
15062052,21.02,26
15062098,21.112,18
15061916,15.348,18
15061377,15.147,26
15061633,15.269,6
15061702,16.364,18
15061614,6.975,6
15061368,15.874,26
15061520,13.82,35
15060082,13.291,6
15061656,12.723,6
15061331,16.228,6
15061327,15.08,6
15062074,12.002,3
15061300,14.567,10
15061776,10.805,6
15061462,15.564,10
15061302,20.108,26
15061957,16.274,6
15061514,15.194,18
15060909,11.59,6
15062063,15.384,18
15060090,9.063,5
15061301,18.97,18
15061423,10.315,6
15061453,14.527,18
15060215,7.063,6
15062119,21.373,6
15061537,20.453,26
15061667,19.904,18
15062123,17.028,6
15061710,26.221,42
15061258,21.589,3
15061443,10.693,18
15060050,8.699,6
15060110,7.57,6
15062053,13.95,6
15061764,14.535,26
15061799,17.052,18
