,PREDICTED,ACTUAL
15060021,26.686,35
15060025,14.438,5
15060027,10.647,6
15060039,15.108,6
15060042,13.81,6
15060056,11.702,3
15060063,23.412,18
15060070,7.28,6
15060081,11.949,5
15060085,15.323,5
15060087,7.339,4
15060097,9.229,5
15060102,14.753,6
15060112,15.547,18
15060114,7.07,6
15060120,12.099,6
15060121,16.537,6
15060122,9.013,18
15060138,13.685,6
15060160,9.827,18
15060187,21.028,35
15060188,8.813,5
15060190,17.128,18
15060191,16.935,26
15060214,10.018,6
15060313,24.45,18
15060320,16.348,18
15060345,21.001,26
15060383,24.441,42
15060420,20.939,18
15060543,11.886,26
15060570,18.853,26
15060797,23.945,35
15060846,8.271,3
15060907,12.332,6
15060910,19.752,18
15060933,11.981,5
15060964,24.864,32
15061007,24.944,32
15061011,14.974,26
15061122,8.943,6
15061204,17.311,18
15061213,15.099,24
15061215,14.475,18
15061216,17.477,18
15061225,6.775,6
15061226,11.479,6
15061228,15.388,18
15061237,11.359,5
15061256,10.947,6
15061257,12.029,18
15061259,7.353,6
15061260,14.712,6
15061262,20.129,18
15061263,21.039,26
15061264,18.293,26
15061265,11.507,6
15061270,19.876,18
15061273,11.567,26
15061274,19.629,18
15061277,12.075,6
15061282,6.943,6
15061283,15.501,18
15061286,20.88,26
15061288,15.533,6
15061289,15.177,18
15061290,11.766,6
15061291,19.469,18
15061293,15.051,18
15061295,12.179,6
15061296,16.813,26
15061298,18.761,18
15061299,7.067,6
15061303,11.765,6
15061307,15.497,18
15061312,18.971,6
15061313,16.917,18
15061314,19.923,18
15061317,20.122,26
15061318,9.273,6
15061319,14.786,6
15061320,11.127,18
15061323,7.202,6
15061324,20.27,26
15061329,21.51,35
15061334,15.822,26
15061335,15.233,18
15061337,15.555,18
15061338,7.338,6
15061340,7.3,18
15061344,13.506,18
15061345,21.035,18
15061346,21.029,26
15061347,15.798,18
15061348,16.073,18
15061349,12.945,18
15061350,19.054,35
15061352,16.897,26
15061353,15.543,6
15061355,15.513,18
15061356,8.315,6
15061357,21.511,18
15061358,14.658,18
15061360,15.603,18
15061364,14.905,18
15061365,15.197,18
15061367,15.129,6
15061369,15.978,6
15061376,21.047,26
15061378,15.228,18
15061380,15.819,18
15061382,7.037,6
15061383,15.539,18
15061384,7.364,6
15061388,11.481,6
15061390,16.33,18
15061391,16.835,18
15061392,19.569,26
15061394,19.993,26
15061396,19.997,6
15061404,16.891,18
15061406,15.593,18
15061410,12.616,6
15061411,7.852,4
15061414,16.24,18
15061415,12.751,18
15061417,16.909,24
15061418,16.852,6
15061419,7.372,3
15061420,11.127,6
15061421,14.705,18
15061422,10.823,6
15061424,20.652,26
15061425,21.068,18
15061428,21.52,18
15061430,21.049,18
15061435,17.451,18
15061436,10.622,6
15061437,15.455,6
15061439,15.563,18
15061441,14.299,18
15061442,7.796,6
15061444,10.041,6
15061445,14.339,18
15061447,11.162,6
15061449,12.703,18
15061454,12.787,18
15061458,21.014,26
15061459,16.847,6
15061461,21.035,26
15061463,11.988,10
15061469,13.461,10
15061470,8.372,6
15061471,8.452,6
15061475,14.741,18
15061476,9.977,6
15061478,7.366,10
15061479,10.019,10
15061480,14.288,26
15061481,16.951,6
15061484,19.927,26
15061485,10.415,18
15061486,10.393,6
15061489,16.884,18
15061490,16.916,26
15061491,16.811,18
15061492,16.822,35
15061493,15.836,26
15061494,13.259,6
15061495,15.663,18
15061496,15.664,6
15061499,16.754,18
15061500,10.63,3
15061501,13.937,6
15061503,11.823,26
15061504,7.145,6
15061505,20.752,26
15061507,7.875,6
15061508,7.88,6
15061509,14.713,18
15061511,14.865,6
15061515,19.917,18
15061516,13.684,5
15061517,14.918,18
15061518,10.032,6
15061521,14.963,35
15061522,14.025,6
15061524,13.268,6
15061525,7.813,6
15061526,21.935,26
15061528,16.063,18
15061529,14.689,18
15061530,7.885,6
15061533,8.045,6
15061534,26.607,42
15061535,16.057,18
15061536,7.644,6
15061540,17.047,18
15061542,16.38,18
15061543,14.774,18
15061544,7.621,3
15061546,7.336,6
15061548,15.049,26
15061549,22.535,18
15061550,20.812,26
15061553,18.237,18
15061555,14.881,18
15061556,10.002,6
15061560,17.828,18
15061561,18.59,18
15061564,9.911,6
15061565,24.525,26
15061566,7.351,6
15061568,14.094,18
15061571,10.399,6
15061575,19.87,18
15061576,9.088,18
15061577,21.257,26
15061578,21.515,6
15061579,13.894,6
15061580,15.444,18
15061583,7.068,6
15061584,10.495,6
15061585,8.909,3
15061586,8.935,3
15061588,10.602,18
15061600,11.563,18
15061602,16.405,26
15061603,7.334,3
15061604,18.421,18
15061605,9.367,8
15061608,9.175,26
15061609,7.346,6
15061610,15.549,6
15061612,12.895,6
15061613,6.889,4
15061619,16.827,18
15061621,13.989,26
15061622,14.469,18
15061623,14.674,6
15061624,7.338,6
15061628,14.711,18
15061631,26.32,6
15061632,6.92,6
15061637,14.686,18
15061638,14.868,26
15061639,8.432,6
15061640,18.113,18
15061642,15.104,18
15061645,18.072,18
15061646,19.974,26
15061647,14.849,6
15061648,19.911,18
15061649,17.818,18
15061650,23.014,35
15061651,7.779,6
15061653,21.019,26
15061654,6.964,6
15061655,16.561,18
15061658,7.395,6
15061659,9.17,6
15061661,6.868,3
15061662,12.787,3
15061665,12.472,18
15061668,12.503,18
15061670,8.484,6
15061671,19.904,26
15061673,8.829,6
15061677,16.274,6
15061678,16.268,18
15061679,17.536,18
15061680,8.479,6
15061682,14.719,18
15061683,15.15,6
15061684,11.867,6
15061686,15.547,18
15061687,12.643,6
15061688,15.528,18
15061689,16.828,18
15061704,14.706,6
15061706,14.556,18
15061709,15.946,6
15061712,12.9,18
15061713,14.862,24
15061714,12.784,6
15061717,17.13,18
15061718,12.812,6
15061720,13.869,18
15061723,13.916,18
15061724,18.037,18
15061725,12.72,6
15061726,19.989,26
15061729,20.587,18
15061730,20.568,18
15061733,17.005,26
15061734,16.816,6
15061735,12.764,5
15061736,20.607,26
15061737,20.736,18
15061738,16.826,18
15061740,17.11,6
15061742,16.928,6
15061744,14.883,6
15061747,19.93,26
15061751,9.065,6
15061752,17.288,26
15061753,16.201,6
15061754,16.595,18
15061755,18.194,26
15061756,18.018,26
15061757,17.447,26
15061758,15.718,26
15061759,15.58,26
15061760,20.497,26
15061762,15.804,18
15061765,14.914,18
15061766,17.176,18
15061767,16.545,26
15061769,9.699,6
15061771,16.813,18
15061772,16.536,18
15061773,12.237,18
15061777,17.319,26
15061778,16.844,42
15061784,16.846,18
15061785,10.985,6
15061788,13.212,6
15061790,17.449,6
15061795,26.57,35
15061797,16.818,18
15061798,10.825,6
15061800,15.168,6
15061801,9.277,6
15061808,9.174,10
15061811,14.862,18
15061813,10.661,18
15061815,7.267,18
15061826,10.11,3
15061905,15.067,18
15061906,12.959,6
15061908,22.441,24
15061909,15.381,18
15061910,6.99,6
15061911,11.598,18
15061912,21.421,26
15061915,11.685,18
15061917,20.983,18
15061918,8.044,6
15061926,7.029,3
15061927,13.894,6
15061928,12.502,6
15061929,20.862,6
15061930,8.966,3
15061933,15.51,26
15061934,20.675,26
15061935,11.513,6
15061937,11.943,3
15061939,16.132,26
15061941,16.805,18
15061942,16.785,18
15061944,13.119,6
15061945,21.048,18
15061946,15.604,6
15061948,15.544,18
15061949,20.248,6
15061951,20.967,18
15061952,20.699,18
15061953,7.88,6
15061958,14.997,18
15061960,13.328,18
15061961,7.321,6
15061962,11.584,6
15061963,16.773,6
15061965,16.113,18
15061966,13.512,18
15061967,10.425,6
15061968,17.52,18
15062036,13.805,6
15062038,21.701,26
15062039,15.223,26
15062046,21.396,26
15062050,13.64,18
15062051,20.978,26
15062067,9.001,6
15062069,13.75,26
15062071,19.925,18
15062080,13.629,18
15062092,15.547,6
15062094,7.42,3
15062097,14.879,18
15062099,13.472,26
15062100,9.268,6
15062101,19.944,18
15062102,11.961,6
15062103,19.65,26
15062105,7.537,3
15062106,16.85,18
15062107,7.852,3
15062108,16.815,6
15062109,21.052,18
15062111,21.826,26
15062112,7.433,3
15062114,14.334,18
15062117,21.032,18
15062118,21.044,18
15062122,10.344,6
15062124,15.205,18
15062126,12.687,18
15062130,8.463,6
15062136,23.577,35
15062137,16.892,6
15062138,9.758,3
15062139,12.774,6
15062142,12.466,6
15062145,21.601,18
15062146,26.698,35
15062149,12.824,18
15062150,11.295,6
15062151,17.768,18
15062152,16.379,6
15062153,16.773,6
15062331,8.132,6
15062332,8.857,6
15062333,10.754,6
15062334,8.99,6
15062335,20.859,18
15062337,21.046,18
15062338,21.043,26
15062346,23.337,26
