,PREDICTED,ACTUAL
15060021,88.434,93
15060025,82.521,52
15060027,81.307,71
15060039,83.878,71
15060042,80.44,71
15060056,80.26,32
15060063,85.585,90
15060070,65.563,71
15060081,79.323,52
15060085,77.579,52
15060087,65.678,41
15060097,72.508,52
15060102,82.581,71
15060112,82.89,90
15060114,68.969,71
15060120,81.872,71
15060121,84.098,71
15060122,70.756,90
15060138,81.789,71
15060160,71.696,90
15060187,82.505,93
15060188,67.083,52
15060190,82.996,90
15060191,84.426,94
15060214,80.05,71
15060313,85.285,90
15060320,83.053,90
15060345,89.356,94
15060383,85.364,96
15060420,89.385,90
15060543,115.883,94
15060570,87.519,94
15060797,87.945,93
15060846,70.42,32
15060907,83.511,71
15060910,82.838,90
15060933,116.139,52
15060964,86.16,84
15061007,86.538,84
15061011,82.629,94
15061122,70.93,71
15061204,86.047,90
15061213,84.011,85
15061215,83.698,90
15061216,87.181,90
15061225,68.85,71
15061226,88.103,71
15061228,80.941,90
15061237,116.635,344
15061256,85.335,88
15061257,97.523,90
15061259,65.618,71
15061260,82.401,71
15061262,86.06,90
15061263,86.295,94
15061264,82.517,94
15061265,77.924,71
15061270,88.813,90
15061273,77.92,94
15061274,84.312,90
15061277,82.744,71
15061282,68.938,71
15061283,83.048,90
15061286,85.754,94
15061288,84.229,71
15061289,83.978,90
15061290,82.932,71
15061291,83.188,90
15061293,84.025,90
15061295,82.696,71
15061296,82.548,94
15061298,85.555,90
15061299,69.208,71
15061303,80.706,71
15061307,81.217,90
15061312,83.26,71
15061313,84.382,90
15061314,88.683,90
15061317,86.298,94
15061318,78.141,71
15061319,82.783,71
15061320,80.306,90
15061323,69.415,71
15061324,85.371,94
15061329,87.832,93
15061334,85.591,94
15061335,81.479,90
15061337,82.921,90
15061338,65.576,71
15061340,65.609,90
15061344,82.325,90
15061345,89.58,90
15061346,89.351,94
15061347,84.808,90
15061348,82.984,90
15061349,81.252,90
15061350,83.317,93
15061352,85.139,94
15061353,82.866,71
15061355,82.894,90
15061356,70.563,88
15061357,87.946,90
15061358,82.741,90
15061360,82.794,90
15061364,82.756,90
15061365,83.888,90
15061367,83.93,71
15061369,83.843,71
15061376,89.445,94
15061378,81.595,90
15061380,84.828,90
15061382,69.026,71
15061383,82.846,90
15061384,65.706,71
15061388,81.632,71
15061390,84.969,90
15061391,85.051,90
15061392,90.296,94
15061394,86.013,94
15061396,86.026,71
15061404,85.069,90
15061406,82.937,90
15061410,81.326,71
15061411,72.331,41
15061414,84.855,90
15061415,79.061,90
15061417,84.995,85
15061418,85.138,71
15061419,65.749,32
15061420,80.306,71
15061421,82.784,90
15061422,76.633,71
15061424,85.935,94
15061425,89.477,90
15061428,89.444,90
15061430,89.461,90
15061435,83.446,90
15061436,71.636,71
15061437,79.519,71
15061439,79.603,90
15061441,81.317,90
15061442,72.411,71
15061444,83.672,71
15061445,81.27,90
15061447,76.497,71
15061449,78.401,90
15061454,78.293,90
15061458,89.39,94
15061459,85.003,71
15061461,89.538,94
15061463,78.774,96
15061469,82.397,96
15061470,70.542,71
15061471,70.745,71
15061475,82.648,90
15061476,80.295,71
15061478,65.716,96
15061479,76.867,96
15061480,81.373,94
15061481,84.376,71
15061484,88.896,94
15061485,71.448,90
15061486,82.715,88
15061489,85.022,90
15061490,84.958,94
15061491,85.083,90
15061492,84.936,93
15061493,84.847,94
15061494,82.383,71
15061495,84.588,90
15061496,84.619,71
15061499,84.471,90
15061500,71.391,32
15061501,80.506,71
15061503,77.425,94
15061504,69.074,71
15061505,85.537,94
15061507,72.466,71
15061508,72.396,71
15061509,82.431,90
15061511,82.507,71
15061515,85.917,90
15061516,80.368,52
15061517,82.708,90
15061518,76.734,71
15061521,80.448,93
15061522,82.557,71
15061524,82.255,71
15061525,72.385,71
15061526,85.091,94
15061528,84.952,90
15061529,82.378,90
15061530,72.62,71
15061533,72.54,71
15061534,88.353,96
15061535,84.969,90
15061536,72.787,71
15061540,84.606,90
15061542,84.531,90
15061543,83.382,90
15061544,65.238,32
15061546,65.43,71
15061548,84.005,94
15061549,87.139,90
15061550,86.186,94
15061553,87.262,90
15061555,82.743,90
15061556,70.913,71
15061560,87.745,90
15061561,84.629,90
15061564,76.504,71
15061565,85.118,94
15061566,65.696,71
15061568,85.445,90
15061571,79.292,71
15061575,88.796,90
15061576,70.914,90
15061577,87.755,94
15061578,87.858,71
15061579,81.172,71
15061580,82.814,90
15061583,69.13,71
15061584,76.783,71
15061585,70.581,32
15061586,70.514,32
15061588,71.66,90
15061600,78.887,90
15061602,82.714,94
15061603,65.702,32
15061604,83.106,90
15061605,75.611,95
15061608,70.941,94
15061609,65.663,71
15061610,82.833,71
15061612,82.007,71
15061613,68.793,41
15061619,84.845,90
15061621,80.565,94
15061622,81.847,90
15061623,82.766,71
15061624,65.881,71
15061628,82.442,90
15061631,88.116,71
15061632,68.916,71
15061637,82.684,90
15061638,82.677,94
15061639,76.096,71
15061640,85.259,90
15061642,82.545,90
15061645,84.869,90
15061646,86.082,94
15061647,82.704,71
15061648,88.798,90
15061649,84.015,90
15061650,85.874,93
15061651,72.393,71
15061653,89.281,94
15061654,68.907,71
15061655,84.463,90
15061658,69.809,71
15061659,71.175,71
15061661,68.798,32
15061662,78.43,32
15061665,81.229,90
15061668,81.179,90
15061670,76.327,71
15061671,88.584,94
15061673,73.698,71
15061677,84.892,71
15061678,85.044,90
15061679,83.8,90
15061680,76.233,71
15061682,82.655,90
15061683,82.622,71
15061684,78.612,71
15061686,82.89,90
15061687,80.464,71
15061688,82.894,90
15061689,84.943,90
15061704,82.54,71
15061706,84.147,90
15061709,83.082,71
15061712,78.479,90
15061713,82.752,85
15061714,78.959,71
15061717,83.043,90
15061718,78.575,71
15061720,80.334,90
15061723,80.391,90
15061724,83.691,90
15061725,78.746,71
15061726,82.973,94
15061729,85.964,90
15061730,85.892,90
15061733,85.13,94
15061734,84.998,71
15061735,78.985,52
15061736,85.898,94
15061737,86.268,90
15061738,85.024,90
15061740,83.646,71
15061742,84.056,71
15061744,80.22,71
15061747,86.052,94
15061751,70.918,71
15061752,83.598,94
15061753,84.723,71
15061754,80.934,90
15061755,83.515,94
15061756,83.33,94
15061757,83.468,94
15061758,81.079,94
15061759,79.749,94
15061760,86.139,94
15061762,85.054,90
15061765,82.85,90
15061766,84.31,90
15061767,83.789,94
15061769,82.615,71
15061771,84.797,90
15061772,84.026,90
15061773,82.665,90
15061777,83.301,94
15061778,85.014,96
15061784,85.021,90
15061785,81.076,71
15061788,82.119,71
15061790,83.347,71
15061795,88.345,93
15061797,84.923,90
15061798,77.105,71
15061800,90.745,71
15061801,76.941,71
15061808,76.945,96
15061811,82.654,90
15061813,71.586,90
15061815,69.171,90
15061826,76.386,32
15061905,83.903,90
15061906,84.297,71
15061908,86.778,85
15061909,77.578,90
15061910,69.027,71
15061911,80.696,90
15061912,91.038,94
15061915,80.614,90
15061917,89.361,90
15061918,70.18,71
15061926,68.692,32
15061927,80.871,71
15061928,80.371,71
15061929,82.384,71
15061930,70.786,32
15061933,82.966,94
15061934,85.99,94
15061935,80.711,71
15061937,77.843,32
15061939,84.686,94
15061941,83.054,90
15061942,82.553,90
15061944,83.987,71
15061945,89.402,90
15061946,84.311,71
15061948,82.865,90
15061949,89.398,71
15061951,89.475,90
15061952,86.368,90
15061953,65.919,71
15061958,80.793,90
15061960,83.934,90
15061961,65.875,71
15061962,80.779,71
15061963,84.856,71
15061965,83.836,90
15061966,80.871,90
15061967,80.27,71
15061968,83.629,90
15062036,80.458,71
15062038,89.734,94
15062039,83.934,94
15062046,90.75,94
15062050,79.963,90
15062051,89.235,94
15062067,76.75,71
15062069,82.127,94
15062071,86.114,90
15062080,82.61,90
15062092,82.839,71
15062094,65.914,32
15062097,82.809,90
