probIn scale
0.0325667 1.528692
0.02260047 1.493673
0.03491657 1.614354
0.03780504 1.538823
0.05003128 1.486623
0.04153021 1.506433
0.04291684 1.584709
0.02305148 1.503628
0.03586516 1.756019
0.05995682 1.74488
0.02622174 1.79218
0.0295088 1.820648
0.03150213 1.900836
0.04091661 1.982893
0.03801622 2.052204
0.03288891 1.888544
0.03234261 1.882874
0.03628098 1.870974
0.03570429 1.939756
0.0352613 1.84133
0.02252455 1.792303
0.0308328 1.616412
0.05909355 1.713415
0.03758351 1.735191
0.02289042 1.779783
0.03762152 1.69136
0.02504944 1.697109
0.0176004 1.696547
0.0273314 1.715321
0.02609903 1.708812
0.02649622 1.544493
0.01866114 1.561458
0.01876454 1.597538
0.01743582 1.496579
0.02947628 1.683982
0.0380669 1.706251
0.03240758 1.768369
0.02788034 1.844259
0.02458042 1.785088
0.01844164 1.790577
0.03368008 1.787024
0.04016944 1.781643
0.04808564 1.753485
0.0182767 1.779398
0.02486978 1.818769
0.02165704 1.794097
0.02300579 1.939749
0.02688369 1.942594
0.01913745 2.017989
0.02642302 2.376568
0.02871327 2.219108
0.01613097 2.143764
0.01265654 2.544394
0.02584934 2.694478
0.02796542 2.750247
0.01349094 2.816679
0.01951831 2.976737
0.02323698 2.77887
0.0203474 2.849028
0.01691897 2.773892
0.01635546 3.000527
0.0112361 3.201979
0.009256827 3.019909
0.01038362 3.068494
0.01320692 3.279351
0.01534089 3.468381
0.01650445 3.585135
0.03033707 3.537221
0.02327102 3.419501
0.02140105 3.356165
0.01794141 3.218405
0.02374973 3.290956
0.01530388 3.661065
0.01941188 3.864659
0.01808573 4.17841
0.02354788 3.691629
0.02061875 3.964905
0.01210516 3.859323
0.0164798 3.798232
0.01354489 4.202794
0.01805006 3.918933
0.01996189 3.763152
0.00993605 4.146052
0.0229321 3.900351
0.01761115 3.820986
0.007606513 3.802201
0.01901132 4.235022
0.01683738 4.70626
0.01739502 4.706308
0.01159988 4.696536
0.01581163 4.621138
0.01623313 4.057379
0.009825588 4.110667
0.01333942 4.166404
0.01362203 4.717644
0.007468748 4.737226
0.01461027 4.502906
0.0138508 4.62639
0.01660136 4.882378
0.0157958 4.953384
0.01780772 5.225288
0.01921548 5.008515
0.02623083 4.713582
0.02062751 4.510042
0.01296056 4.793532
0.01245742 4.449526
0.01719179 4.014594
0.0209331 3.884807
0.0203362 3.852626
0.02032844 3.79356
0.01641394 3.537664
0.01700787 3.650415
0.0234166 3.64559
0.01502832 3.941148
0.0103503 3.90134
0.01894175 3.821439
0.01537953 4.176877
0.009449504 3.833923
0.01247803 3.660814
0.01872229 3.856165
0.01757096 4.003845
0.01708137 3.526975
0.01846548 3.555825
0.01568967 3.685769
0.01763829 3.697353
0.02697805 3.596214
0.01849175 3.657268
0.02157112 3.702898
0.01754737 3.738461
0.01976378 4.20554
0.02290529 3.869635
0.01733174 3.584116
0.01411813 3.980412
0.0124631 4.192648
0.02233975 4.215786
0.01587432 4.185532
0.02464118 3.810996
0.01572994 3.452572
0.01997373 3.341982
0.01090295 3.381219
0.01334141 3.087311
0.02191624 3.003071
0.02272814 2.98291
0.02431033 2.899664
0.02206735 2.734052
0.02424473 2.804929
0.02268304 3.020373
0.02433629 2.941664
0.02323036 2.611795
0.02457736 2.458112
0.02097631 2.609262
0.02372443 2.642674
0.02100408 2.961608
0.01008583 3.260706
0.01112288 3.564084
0.01577715 3.457074
0.02141639 3.686386
0.01649819 3.986567
0.01321432 4.381306
0.01220049 4.914483
0.01284762 5.25966
0.01400438 5.497394
0.01910134 5.770271
0.01266201 5.576801
0.01877681 5.2665
0.01125046 5.517161
0.01042595 5.344442
0.01961073 6.50156
0.02054128 6.200609
0.02347752 6.176156
0.02265739 5.459725
0.01725314 5.456405
0.01407161 5.251883
0.01594409 4.786856
0.01359919 4.211284
0.01554628 4.009573
0.01803376 4.174737
0.02294208 3.964103
0.0205824 4.079844
0.01699018 3.978689
0.01350549 3.542735
0.02162927 3.990489
0.01885875 4.20439
0.01338846 4.252931
0.01378608 4.848555
0.02122358 4.804418
0.01493556 5.31696
0.01428156 5.824018
0.01558099 5.729765
0.009010623 5.78158
0.007735054 5.721189
0.007188009 5.950662
0.01335771 5.229955
0.01228072 5.268728
0.01747941 5.220007
0.01544917 5.147882
0.02236539 5.01008
0.007534232 4.602798
0.01739484 5.370323
0.01618461 5.544393
0.01788907 5.584902
0.01671865 5.993501
0.0142819 5.894621
0.01232153 5.271842
0.01038197 5.08927
0.01437843 5.024703
0.01694564 4.992073
0.02172029 5.025032
0.0129055 4.903911
0.0162974 4.633183
0.01616248 4.960667
0.009027646 5.209897
0.01256426 5.049401
0.01532215 5.067319
0.02192258 5.304727
0.01368214 5.52996
0.0122501 5.812922
0.01654042 6.518543
0.01756496 6.256332
0.01610182 6.243974
0.02471905 5.619046
0.01033223 5.659933
0.01302261 6.177982
0.01012089 6.648856
0.0161247 6.005888
0.009039928 6.375484
0.01345966 6.375132
0.01236586 6.641503
0.01829577 7.209233
0.02797159 7.096455
0.01644949 6.204846
0.02337985 6.975243
0.0198363 6.645274
0.01465014 6.847792
0.006989462 6.539345
0.01404849 6.685886
0.008386892 6.974106
0.008864389 6.941048
0.01263851 6.625399
0.01570474 6.659317
0.009430781 6.955481
0.01719222 7.559977
0.009174521 7.344569
0.01294504 7.671578
0.01216019 7.497504
0.01171889 7.249165
0.0101961 6.917076
0.01099541 6.860889
0.008326031 7.233708
0.005738602 7.695992
0.02105985 8.49453
0.0118996 8.415371
0.01732482 8.387524
0.01404187 8.864781
0.01364189 8.540592
0.01476362 8.529148
0.01711011 9.052909
0.009789666 8.186021
0.009490005 8.213602
0.01402912 7.530158
0.008035399 7.53319
0.007739227 7.406154
0.01354098 6.643317
0.008688903 6.754342
0.008551046 6.9262
0.01263042 7.196896
0.02044665 7.145518
0.01528793 8.097145
0.01313438 8.011805
0.018742 7.060897
0.005230186 6.892357
0.007219575 6.522269
0.0140384 6.255524
0.02068325 6.685413
0.01332515 6.263039
0.01429291 6.195033
0.02488082 6.753285
0.01679186 6.745693
0.02098627 6.654676
0.01204211 6.446229
0.01451579 7.17216
0.00937824 6.882815
0.01072238 7.833444
0.01176857 7.22863
0.006549967 7.24194
0.01362492 6.4018
0.004988247 5.758164
0.01394965 5.326119
0.01061619 5.89559
0.01630812 5.864514
0.01849121 6.012645
0.01404933 5.894021
0.01466488 5.514805
0.01147303 5.799312
0.008770647 6.103741
0.01461275 5.681716
0.0156975 5.449842
0.01343628 4.92061
0.01548379 5.382638
0.00833166 5.352358
0.01181657 4.834991
0.01752404 4.885318
0.01360151 4.72854
0.02399901 4.568335
0.0164792 4.668316
0.009597431 4.526939
0.01498159 4.349382
0.01635472 4.583014
0.01273577 4.542961
0.01472827 4.993888
0.02497625 5.526952
0.01102382 5.472628
0.01394141 5.177124
0.01155003 4.918744
0.01097361 4.8284
0.01159256 4.557993
0.01224612 4.204498
0.0159614 4.101702
0.02053084 3.790913
0.01847574 3.241783
0.02771511 2.804475
0.02340167 2.631155
0.02182069 2.361523
0.02096484 2.211833
0.02125875 1.971491
0.02161071 1.945124
0.02374137 2.130893
0.02896488 2.203694
0.01918664 2.218386
0.0239282 2.33048
0.03229078 2.113578
0.01809496 2.307686
0.02085462 2.255915
0.03789874 2.181064
0.02690802 2.244451
0.02806264 1.960981
0.02680625 1.980025
0.02705573 1.98543
0.02588182 1.883436
0.01895874 1.961898
0.022936 1.874815
0.02347745 2.263484
0.03243188 2.334921
0.03201391 2.500323
0.0256043 2.270841
0.02477615 2.497372
0.01940726 2.523127
