,PREDICTED,ACTUAL
15060021,84.32,82
15060025,86.916,94
15060027,88.817,92
15060039,86.728,92
15060042,88.094,92
15060056,88.734,92
15060063,84.266,84
15060070,90.586,92
15060081,88.158,94
15060085,87.219,94
15060087,90.559,94
15060097,90.24,94
15060102,86.646,92
15060112,86.115,84
15060114,91.114,92
15060120,89.445,92
15060121,86.49,92
15060122,89.934,84
15060138,87.93,92
15060160,89.222,84
15060187,86.942,82
15060188,90.468,94
15060190,86.09,84
15060191,85.88,84
15060214,89.31,92
15060313,84.309,84
15060320,85.765,84
15060345,84.395,84
15060383,84.423,80
15060420,84.368,84
15060543,90.042,84
15060570,86.674,84
15060797,85.865,82
15060846,90.099,92
15060907,88.777,92
15060910,85.402,84
15060933,89.98,94
15060964,84.413,81
15061007,84.342,81
15061011,86.75,84
15061122,90.029,92
15061204,85.068,84
15061213,86.661,84
15061215,86.786,84
15061216,85.262,84
15061225,91.379,92
15061226,89.372,92
15061228,86.636,84
15061237,90.232,95
15061256,90.088,92
15061257,88.935,84
15061259,90.567,92
15061260,86.87,92
15061262,85.408,84
15061263,85.144,84
15061264,86.175,84
15061265,89.054,92
15061270,84.651,84
15061273,89.042,84
15061274,84.525,84
15061277,88.344,92
15061282,91.163,92
15061283,86.111,84
15061286,84.624,84
15061288,86.593,92
15061289,86.694,84
15061290,88.749,92
15061291,85.801,84
15061293,85.74,84
15061295,88.06,92
15061296,85.711,84
15061298,85.608,84
15061299,91.136,92
15061303,88.15,92
15061307,86.593,84
15061312,85.819,92
15061313,85.907,84
15061314,85.073,84
15061317,85.41,84
15061318,89.73,92
15061319,86.836,92
15061320,88.599,84
15061323,91.038,92
15061324,86.287,84
15061329,84.475,82
15061334,86.664,84
15061335,86.637,84
15061337,86.105,84
15061338,90.56,92
15061340,90.552,84
15061344,87.773,84
15061345,84.394,84
15061346,84.401,84
15061347,86.262,84
15061348,86.071,84
15061349,88.013,84
15061350,85.795,82
15061352,86.3,84
15061353,86.117,92
15061355,86.241,84
15061356,90.088,92
15061357,84.434,84
15061358,86.887,84
15061360,86.097,84
15061364,86.177,84
15061365,86.701,84
15061367,86.702,92
15061369,86.528,92
15061376,84.366,84
15061378,86.62,84
15061380,86.274,84
15061382,91.119,92
15061383,86.115,84
15061384,90.576,92
15061388,89.022,92
15061390,86.374,84
15061391,86.385,84
15061392,85.519,84
15061394,85.431,84
15061396,85.459,92
15061404,86.368,84
15061406,86.098,84
15061410,87.856,92
15061411,90.511,94
15061414,86.464,84
15061415,87.721,84
15061417,86.376,84
15061418,86.404,92
15061419,90.576,92
15061420,88.599,92
15061421,86.761,84
15061422,89.442,92
15061424,84.848,84
15061425,84.345,84
15061428,84.326,84
15061430,84.377,84
15061435,86.114,84
15061436,89.045,92
15061437,87.285,92
15061439,87.181,84
15061441,86.807,84
15061442,90.547,92
15061444,89.048,92
15061445,86.812,84
15061447,89.226,92
15061449,87.019,84
15061454,87.017,84
15061458,84.408,84
15061459,86.413,92
15061461,84.352,84
15061463,88.518,88
15061469,87.781,88
15061470,90.058,92
15061471,90.036,92
15061475,86.836,84
15061476,89.738,92
15061478,90.561,88
15061479,89.402,88
15061480,86.897,84
15061481,85.87,92
15061484,84.637,84
15061485,89.047,84
15061486,89.74,92
15061489,86.369,84
15061490,86.375,84
15061491,86.398,84
15061492,86.417,82
15061493,86.261,84
15061494,88.975,92
15061495,86.286,84
15061496,86.312,92
15061499,85.916,84
15061500,89.039,92
15061501,87.905,92
15061503,89.044,84
15061504,91.062,92
15061505,84.764,84
15061507,90.508,92
15061508,90.502,92
15061509,86.663,84
15061511,86.629,92
15061515,85.466,84
15061516,87.923,94
15061517,86.161,84
15061518,89.454,92
15061521,87.928,82
15061522,88.541,92
15061524,89.017,92
15061525,90.537,92
15061526,84.649,84
15061528,86.061,84
15061529,86.668,84
15061530,90.489,92
15061533,90.561,92
15061534,84.343,80
15061535,86.158,84
15061536,90.683,92
15061540,85.812,84
15061542,85.892,84
15061543,86.874,84
15061544,90.709,92
15061546,90.747,92
15061548,87.969,84
15061549,84.441,84
15061550,84.775,84
15061553,85.099,84
15061555,86.759,84
15061556,89.382,92
15061560,85.349,84
15061561,85.38,84
15061564,89.588,92
15061565,84.46,84
15061566,90.549,92
15061568,87.117,84
15061571,88.901,92
15061575,84.657,84
15061576,89.927,84
15061577,84.502,84
15061578,84.443,92
15061579,87.063,92
15061580,86.112,84
15061583,91.135,92
15061584,90.319,92
15061585,89.996,92
15061586,90.035,92
15061588,89.101,84
15061600,88.578,84
15061602,86.145,84
15061603,90.586,92
15061604,84.388,84
15061605,89.727,89
15061608,89.951,84
15061609,90.582,92
15061610,86.126,92
15061612,89.403,92
15061613,91.217,94
15061619,86.417,84
15061621,87.923,84
15061622,87.213,84
15061623,86.867,92
15061624,90.471,92
15061628,86.678,84
15061631,84.594,92
15061632,91.107,92
15061637,86.834,84
15061638,86.805,84
15061639,90.26,92
15061640,85.059,84
15061642,86.763,84
15061645,84.999,84
15061646,85.444,84
15061647,86.825,92
15061648,85.063,84
15061649,85.557,84
15061650,85.614,82
15061651,90.548,92
15061653,84.399,84
