probIn scale
0.005910544 1578.127
0.007141164 1459.189
0.01214181 1646.605
0.008767097 1661.453
0.01092095 1615.231
0.009000417 1383.328
0.02017147 1487.742
0.005216887 1445.315
0.008749622 1544.858
0.0164684 1404.323
0.01552594 1301.476
0.01120798 1306.035
0.005008765 1421.584
0.009663315 1427.522
0.006754431 1466.582
0.003509733 1511.181
0.0065 1420.658
0.00373027 1386.69
0.004149573 1404.462
0.00299753 1400.715
0.01287858 1411.37
0.01703584 1493.81
0.01213399 1468.308
0.01806293 1523.796
0.01464444 1487.289
0.01874328 1327.678
0.02286567 1295.122
0.03128898 1324.599
0.02559633 1252.607
0.01802054 1164.678
0.02464212 1014.266
0.02062738 1069.938
0.03020559 966.0899
0.02315042 979.8188
0.01441826 900.1424
0.01841034 900.2258
0.01694029 1020.961
0.01329466 958.1766
0.01892344 937.2475
0.01847233 865.6014
0.01462306 819.9809
0.02313149 876.3837
0.01181974 835.9032
0.02749035 798.4379
0.02192842 769.4318
0.03183043 771.6209
0.02390005 809.3763
0.01646247 851.8285
0.008787382 828.3956
0.01886525 753.1305
0.02578905 855.4478
0.01588988 812.2387
0.02311294 871.1672
0.01706348 848.1685
0.01371664 944.7417
0.01081978 993.3848
0.0217636 942.6925
0.01394015 908.303
0.01434424 867.779
0.01524561 765.5094
0.01353794 771.2865
0.006398181 828.2155
0.01894067 785.7104
0.02503198 821.0702
0.01477203 799.3286
0.01397477 759.196
0.02422809 741.4072
0.0204806 747.0895
0.01893351 728.1144
0.02855805 748.9492
0.04635662 756.2454
0.01610676 678.1367
0.02671716 686.6894
0.01272975 737.0899
0.01055014 788.1222
0.01286178 834.0995
0.02074275 865.6654
0.02815825 832.5446
0.03133585 793.2234
0.03299444 741.1476
0.04881158 706.9332
0.05089014 743.3801
0.05472268 711.437
0.06912647 690.7868
0.03951314 719.034
0.03863127 722.3833
0.03686464 777.7737
0.02648207 776.7427
0.02252638 758.7748
0.01386506 665.9359
0.01679738 738.3383
0.008196253 854.464
0.01360726 916.5077
0.004374561 875.3597
0.006794972 882.278
0.0193428 918.3966
0.02267935 904.0884
0.01005945 837.3369
0.01950374 894.6955
0.02553853 862.212
0.01887208 797.43
0.01884903 784.9884
0.01205319 731.6291
0.008471292 670.6594
0.006086885 750.2506
0.006539572 784.5662
0.01661502 744.4128
0.01212816 763.5115
0.007734636 761.4873
0.01283606 691.1474
0.01409286 622.9663
0.00796931 575.8682
0.01667558 562.6504
0.0169673 519.1898
0.03543729 484.7563
0.0478953 474.789
0.04393362 481.1293
0.0320398 438.1586
0.03355441 432.7725
0.0185341 415.5196
0.01365351 399.3904
0.01815342 387.5958
0.02437932 358.1916
0.0268647 353.6078
0.02612109 330.7302
0.02317478 313.2112
0.02054458 293.9484
0.02477901 275.4655
0.02553931 256.3942
0.03288393 254.1178
0.0500252 253.9918
0.04182674 255.0597
0.05473155 241.4163
0.04660868 239.0362
0.05079019 283.8402
0.0575781 322.537
0.05554738 328.5305
0.04269241 360.5917
0.01565356 357.8892
0.01379148 296.7619
0.02404572 281.6504
0.01084677 328.7843
0.01620178 355.532
0.01378988 340.2297
0.01883185 300.255
0.02140051 307.4682
0.02270874 277.5199
0.009859503 286.1688
0.02191179 297.9978
0.02085828 332.3935
0.02079265 323.7878
0.05718619 309.1642
0.02305938 301.2392
0.03662357 271.6931
0.02883452 286.2384
0.0450027 294.3889
0.04619179 287.6836
0.05020434 272.1479
0.04664772 266.2538
0.06093924 254.7347
0.03129748 278.8491
0.02806532 283.2221
0.03135419 299.91
0.02001559 287.1336
0.02589638 285.1823
0.03256832 284.8253
0.01934944 324.8173
0.04029675 325.0461
0.03897629 328.2537
0.04864014 350.6949
0.03961236 375.1032
0.03217441 372.3434
0.04701475 387.3497
0.05305801 400.5194
0.05231779 384.7093
0.02800973 369.6675
0.01188745 442.1586
0.02493619 481.2799
0.03437749 392.2822
0.019445 399.4893
0.04800308 409.6324
0.03656759 352.1906
0.06636329 348.7667
0.03707296 313.5151
0.05368849 341.7468
0.05118553 340.7646
0.02702612 345.8191
0.01944373 379.5154
0.03567353 352.855
0.03575519 441.2936
0.03035806 394.6189
0.02574082 403.8607
0.01260178 404.9757
0.02202541 382.6572
0.01276785 408.158
0.02981657 434.2852
0.02640615 472.4148
0.0266943 460.6793
0.01820489 447.7263
0.03661368 438.4238
0.04250457 405.6023
0.01864943 465.0406
0.02917701 466.8025
0.02458805 432.4974
0.03892964 420.1609
0.05770543 411.1314
0.04061509 442.5011
0.02835828 449.4738
0.03253162 409.6441
0.02666745 367.0613
0.01473868 384.6534
0.01184967 415.4133
0.02819548 379.6186
0.0464697 388.6254
0.04600186 365.4216
0.03983017 342.2974
0.02273022 393.9347
0.03068286 370.9415
0.03122856 381.1305
0.03184539 377.7097
0.04830347 339.6535
0.02731567 324.1079
0.02953646 307.606
0.02163851 355.269
0.01753679 351.371
0.03243707 368.7309
0.05362472 350.3159
0.03770193 336.6991
0.05112943 328.338
0.04352482 288.8177
0.07256297 265.0818
0.07254045 252.3404
0.06148189 234.7918
0.1036125 231.9795
0.1013477 225.9431
0.07650122 228.9531
0.06104847 240.0974
0.06878264 252.6818
0.0661281 245.3989
0.08407378 273.4604
0.05297876 245.6771
0.08453787 263.3486
0.09667168 268.2865
0.08463432 269.129
0.1210305 256.5259
0.08497986 252.6115
0.1046618 249.8331
0.1110351 263.7374
0.08780314 256.8098
0.0663831 271.7185
0.0543716 298.5423
0.06430551 330.4623
0.05746987 347.0177
0.05426546 355.2707
0.04897722 327.1208
0.03115694 293.7661
0.06964596 265.5813
0.07006938 283.0308
0.0356632 270.4099
0.04555497 267.6051
0.06674349 272.0929
0.0713124 296.3254
0.07861461 323.3738
0.05273596 301.7901
0.0221671 302.1805
0.03013488 281.2166
0.02734253 268.7655
0.04831429 250.2114
0.05306751 261.2386
0.02081121 277.8343
0.00627297 257.3449
0.02197057 230.1
0.02440912 209.7654
0.02760934 203.3671
0.01537237 221.723
0.0442872 229.2395
0.06518553 243.0878
0.08535055 246.908
0.08355324 228.9753
0.0731677 242.7066
0.0585025 276.6757
0.02779525 284.3855
0.05477772 323.1672
0.04026402 298.8577
0.03226843 291.1608
0.04825139 286.4585
0.05528189 292.5661
0.0427813 298.1855
0.02807902 305.7013
0.01320147 286.3767
0.03699849 286.7816
0.02882001 263.213
0.04160793 291.2506
0.04348649 302.7883
0.04381161 318.7984
0.02497166 302.1705
0.03088647 319.5173
0.04420842 316.9925
0.0391099 325.6421
0.03926834 345.0298
0.03903923 338.2387
0.04247523 327.846
0.02673502 312.6478
0.03152022 299.6582
0.04039211 308.5506
0.04243402 306.7066
0.02339218 278.6564
0.01526216 317.8742
0.03779379 307.4021
0.03589449 309.6027
0.04521253 318.0653
0.03885516 287.8364
0.04003146 281.1694
0.03873854 258.2985
0.04651128 261.9182
0.08256237 259.4491
0.08067779 277.5247
0.07004734 280.7117
0.09311442 291.9555
0.07721824 283.9986
0.08644453 289.5584
0.08788129 287.9466
0.09039333 259.1062
0.07116246 258.506
0.0809181 241.6807
0.06258453 249.0018
0.06823581 249.1489
0.05523483 252.411
0.06358838 230.0381
0.05285615 243.2834
0.06899718 259.4021
0.05161104 253.4472
0.0687083 261.3705
0.06761841 273.6763
0.05641831 312.7155
0.03160625 315.8946
0.03686089 307.836
0.04152925 280.4965
0.03400654 286.725
0.01833591 281.0213
0.01919523 260.2129
0.008171007 245.3106
0.005235418 252.2333
0.01804394 269.3773
0.02458852 265.3616
0.02631803 280.3837
0.01036047 295.8664
0.02729877 295.0184
0.02466407 303.272
0.01540933 298.4862
0.03555192 267.2697
0.04558199 262.5729
0.06258628 256.6688
0.04971631 244.6741
0.04576385 233.9305
0.04494598 244.8396
0.0314885 271.1219
0.03730346 271.7698
0.04223989 261.7476
0.0343614 246.6608
0.03073024 261.6665
0.02754417 267.5408
0.03342494 234.8996
0.03383348 229.0342
0.0362859 246.2622
0.04508778 267.8394
0.05416569 283.8179
0.04907765 294.5993
0.04001435 290.6256
0.03793762 272.951
0.04139371 252.8205
0.02350738 289.5062
0.02833839 283.5612
0.02108828 268.7378
0.03733261 269.9049
0.05566324 251.3443
0.05690625 269.9415
0.0565379 266.0418
0.06503417 269.7375
0.05524437 292.5043
0.0473864 307.8386
0.02522078 307.7585
0.03535182 308.168
0.02919984 324.0551
0.02814907 320.9005
0.02292929 345.6346
0.03217061 368.0461
0.02534423 372.8921
0.03039016 369.4305
0.05864127 407.3452
0.03198154 427.1933
0.02450199 447.4047
0.01406512 399.0835
0.0289268 382.5658
