,BA,BB
15060021,257.175,246.764
15060025,232.466,228.157
15060027,193.107,203.142
15060039,160.501,167.584
15060042,176.346,184.671
15060056,249.121,240.023
15060063,264.67,238.438
15060070,181.247,184.29
15060081,233.058,229.835
15060085,281.613,258.257
15060087,183.112,185.909
15060097,125.19,151.964
15060102,199.763,204.708
15060112,194.783,199.938
15060114,243.921,235.997
15060120,234.818,238.543
15060121,205.598,205.912
15060122,197.055,198.775
15060138,235.669,224.098
15060160,216.022,209.017
15060187,276.976,260.168
15060188,197.426,197.847
15060190,236.747,229.276
15060191,283.075,268.743
15060214,223.527,213.068
15060313,250.577,241.46
15060320,164.236,173.188
15060345,212.297,217.89
15060383,250.151,241.895
15060420,215.696,218.937
15060543,270.124,248.102
15060570,247.307,228.327
15060797,257.598,245.114
15060846,196.009,197.305
15060907,256.758,243.29
15060910,233.359,227.704
15060933,270.767,248.577
15060964,266.154,241.63
15061007,266.103,242.266
15061011,232.255,227.976
15061122,198.554,199.091
15061204,195.819,208.233
15061213,158.278,167.794
15061215,160.037,167.685
15061216,257.21,240.865
15061225,250.61,240.776
15061226,217.65,217.869
15061228,202.822,208.317
15061237,267.301,246.923
15061256,274.533,253.059
15061257,236.546,232.345
15061259,181.285,184.505
15061260,230.806,227.089
15061262,219.395,216.232
15061263,220.174,213.467
15061264,215.904,217.382
15061265,210.262,214.937
15061270,231.034,228.265
15061273,211.269,215.358
15061274,211.987,203.365
15061277,225.513,217.983
15061282,244.226,237.627
15061283,194.664,196.168
15061286,251.564,230.647
15061288,159.77,167.357
15061289,158.755,167.646
15061290,245.54,234.559
15061291,150.88,169.262
15061293,204.525,208.086
15061295,249.247,243.508
15061296,201.34,206.863
15061298,198.988,205.462
15061299,244.328,236.085
15061303,167.536,176.535
15061307,202.645,208.171
15061312,152.4,169.562
15061313,285.006,269.36
15061314,261.129,239.523
15061317,220.463,217.298
15061318,199.735,196.426
15061319,231.819,227.563
15061320,199.377,197.868
15061323,244.958,237.691
15061324,245.126,236.472
15061329,150.579,165.283
15061334,228.686,223.741
15061335,237.181,225.007
15061337,193.411,194.676
15061338,182.875,185.635
15061340,182.909,185.543
15061344,176.027,189.524
15061345,213.425,213.72
15061346,213.338,213.347
15061347,272.593,257.792
15061348,193.325,194.978
15061349,238.487,224.269
15061350,150.692,169.014
15061352,207.593,205.331
15061353,193.036,194.708
15061355,192.532,194.601
15061356,197.764,197.928
15061357,148.675,163.995
15061358,231.435,227.509
15061360,192.674,194.499
15061364,193.24,198.275
15061365,158.796,166.846
15061367,158.755,166.72
15061369,203.929,204.294
15061376,214.121,213.775
15061378,237.196,225.068
15061380,272.708,257.649
15061382,248.456,239.444
15061383,194.991,200.045
15061384,180.983,184.748
15061388,204.85,209.981
15061390,205.403,203.204
15061391,207.26,205.387
15061392,259.387,249.653
15061394,219.789,216.557
15061396,219.705,216.648
15061404,207.57,205.301
15061406,193.376,194.732
15061410,202.34,206.407
15061411,171.556,186.619
15061414,205.812,203.88
15061415,264.377,247.634
15061417,205.974,204.713
15061418,206.63,205.35
15061419,180.775,184.64
15061420,199.377,197.868
15061421,235.164,234.158
15061422,158.394,178.97
15061424,225.783,223.76
15061425,211.851,212.194
15061428,212.574,213.935
15061430,212.265,213.007
15061435,200.269,195.851
15061436,102.684,129.308
15061437,236.261,233.396
15061439,236.982,234.484
15061441,190.989,194.39
15061442,172.109,191.058
15061444,191.143,197.35
15061445,190.901,194.435
15061447,159.064,181.502
15061449,188.112,198.687
15061454,188.022,198.036
15061458,213.552,213.611
15061459,206.098,204.575
15061461,214.096,214.078
15061463,164.434,179.967
15061469,172.492,186.721
15061470,194.921,196.886
15061471,196.3,197.411
15061475,233.615,233.596
15061476,190.212,201.255
15061478,181.118,184.842
15061479,154.964,174.852
15061480,191.1,194.179
15061481,284.654,269.376
15061484,233.013,229.305
15061485,102.514,129.985
15061486,270.186,253.967
15061489,206.537,205.093
15061490,205.524,204.55
15061491,207.385,205.712
15061492,205.693,204.697
15061493,271.908,257.212
15061494,192.143,204.843
15061495,273.106,257.838
15061496,273.634,257.855
15061499,284.526,269.592
15061500,101.577,128.67
15061501,262.25,246.376
15061503,156.271,176.994
15061504,244.688,236.334
15061505,252.668,231.1
15061507,171.271,186.399
15061508,171.4,186.468
15061509,199.633,204.809
15061511,199.544,204.945
15061515,219.483,216.723
15061516,261.512,246.191
15061517,191.75,193.51
15061518,154.238,177.238
15061521,178.063,191.208
15061522,171.46,191.258
15061524,193.884,206.015
15061525,171.937,186.229
15061526,229.26,225.457
15061528,274.21,259.436
15061529,199.021,204.673
15061530,170.847,186.436
15061533,176.236,193.577
15061534,256.065,246.519
15061535,273.264,258.384
15061536,176.223,188.354
15061540,287.935,274.313
15061542,286.509,272.886
15061543,160.937,168.756
15061544,183.85,186.095
15061546,184.748,186.593
15061548,258.278,242.456
15061549,239.5,232.913
15061550,226.023,224.604
15061553,264.882,250.559
15061555,234.814,228.644
15061556,101.326,129.239
15061560,255.501,244.181
15061561,206.532,213.431
15061564,158.465,178.897
15061565,250.605,242.177
15061566,181.927,184.678
15061568,181.195,195.43
15061571,241.36,236.34
15061575,233.013,229.039
15061576,196.928,198.372
15061577,149.899,164.828
15061578,151.177,166.707
15061579,190.105,193.173
15061580,192.388,194.529
15061583,245.08,236.048
15061584,161.316,191.741
15061585,196.352,198.28
15061586,197.707,199.167
15061588,102.637,129.498
15061600,186.693,195.775
15061602,231.41,225.222
15061603,181.666,184.703
15061604,244.516,247.705
15061605,210.71,217.671
15061608,197.445,198.828
15061609,181.108,184.694
15061610,192.422,194.557
15061612,235.864,231.631
15061613,244.706,237.32
15061619,206.816,205.028
15061621,262.754,247.276
15061622,240.853,237.155
15061623,233.258,232.75
15061624,181.845,184.975
15061628,199.899,205.043
15061631,254.076,245.103
15061632,244.345,236.549
15061637,231.33,227.382
15061638,231.193,227.511
15061639,215.029,216.299
15061640,261.057,252.259
15061642,228.794,226.12
15061645,259.089,251.308
15061646,219.526,216.258
15061647,231.561,227.5
15061648,260.723,239.82
15061649,233.083,212.85
15061650,177.191,196.701
15061651,170.933,186.155
15061653,213.716,213.904
15061654,244.182,236.744
15061655,166.304,188.705
15061658,242.343,235.887
15061659,197.386,198.802
15061661,244.716,236.778
15061662,186.61,197.905
15061665,199.655,204.716
15061668,202.659,206.631
15061670,216.905,217.282
15061671,260.587,240.107
15061673,211.432,218.569
15061677,205.987,204.022
15061678,206.964,204.602
15061679,200.594,196.382
15061680,218.768,218.284
15061682,229.831,226.925
15061683,189.576,192.733
15061684,234.36,223.986
15061686,194.783,199.938
15061687,218.614,215.019
15061688,193.751,195.093
15061689,206.73,205.163
15061704,231.033,227.202
15061706,246.477,240.538
15061709,164.569,173.856
15061712,187.882,198.498
15061713,231.185,227.308
15061714,263.416,247.23
15061717,236.98,229.527
15061718,186.847,198.514
15061720,264.584,246.445
15061723,262.012,246.302
15061724,233.596,227.365
15061725,263.975,247.259
15061726,231.302,225.596
15061729,223.858,222.824
15061730,224.366,223.034
15061733,206.457,205.164
15061734,206.701,205.132
15061735,260.756,245.767
15061736,223.973,222.805
15061737,225.481,223.314
15061738,205.925,204.743
15061740,220.517,220.317
15061742,282.607,268.763
15061744,222.736,211.985
15061747,219.922,216.666
15061751,198.376,199.608
15061752,220.312,220.238
15061753,207.803,205.231
15061754,147.8,166.94
15061755,222.724,218.229
15061756,222.576,220.019
15061757,200.169,195.617
15061758,232.418,231.877
15061759,237.305,234.369
15061760,225.438,223.838
15061762,271.631,256.922
15061765,199.198,204.787
15061766,283.246,268.608
15061767,204.09,205.52
15061769,241.234,233.31
15061771,203.585,202.758
15061772,204.972,205.044
15061773,245.315,237.15
15061777,199.754,195.228
15061778,204.794,203.597
15061784,206.303,204.953
15061785,267.46,241.181
15061788,192.507,205.449
15061790,198.536,195.125
15061795,256.565,245.861
15061797,205.493,204.622
15061798,158.239,178.918
15061800,212.308,219.328
15061801,140.556,160.386
15061808,141.755,161.862
15061811,231.188,227.373
15061813,102.525,129.656
15061815,243.175,234.318
15061826,153.055,175.841
15061905,160.833,169.103
15061906,193.446,198.388
15061908,243.648,236.057
15061909,283.452,258.317
15061910,245.652,237.888
15061911,166.451,176.186
15061912,259.055,249.453
15061915,168.085,176.683
15061917,213.18,213.406
15061918,195.783,197.367
15061926,244.067,236.383
15061927,164.155,179.718
15061928,278.334,256.114
15061929,275.795,258.996
15061930,197.909,198.737
15061933,194.021,199.777
15061934,225.49,223.718
15061935,166.894,176.338
15061937,210.089,215.056
15061939,206.639,204.232
15061941,163.726,173.361
15061942,202.1,206.929
15061944,228.266,215.976
15061945,214.476,213.952
15061946,272.573,256.567
15061948,193.016,194.698
15061949,233.615,216.586
15061951,213.723,213.921
15061952,224.935,223.254
15061953,179.013,183.446
15061958,205.932,206.817
15061960,193.687,198.135
15061961,181.12,184.945
15061962,167.47,177.022
15061963,206.809,205.478
15061965,222.667,218.206
15061966,225.581,228.028
15061967,191.396,200.993
15061968,202.04,196.963
15062036,176.576,184.658
15062038,214.151,214.631
15062039,160.596,167.701
15062046,258.117,247.922
15062050,253.25,231.972
15062051,214.786,213.8
15062067,140.869,161.557
15062069,192.276,205.673
15062071,218.439,216.255
15062080,223.316,216.282
15062092,192.245,194.423
15062094,181.69,184.74
15062097,230.661,227.204
15062099,170.142,184.323
15062100,184.224,203.598
15062101,230.969,228.446
15062102,179.624,202.234
15062103,174.093,190.428
15062105,180.321,184.683
15062106,207.916,205.766
15062107,170.539,186.182
15062108,206.143,204.86
15062109,213.379,213.619
15062111,241.82,234.519
15062112,180.676,184.548
15062114,191.777,194.783
15062117,213.967,213.525
15062118,212.925,213.342
15062122,274.539,259.366
15062124,198.712,204.456
15062126,177.52,182.087
15062130,241.917,236.547
15062136,265.223,241.564
15062137,206.511,205.168
15062138,189.412,190.711
15062139,263.361,246.953
15062142,200.609,205.754
15062145,244.111,228.851
15062146,256.424,246.549
15062149,263.27,246.912
15062150,169.895,200.236
15062151,169.174,187.17
15062152,206.544,204.808
15062153,205.155,203.549
15062331,199.639,199.775
15062332,197.768,199.153
15062333,194.147,203.231
15062334,197.16,198.717
15062335,253.214,231.608
15062337,213.247,213.037
15062338,213.067,213.35
15062346,255.853,247.39
15062347,205.52,205.899
15062348,216.518,219.359
15062349,149.894,165.08
15062350,233.795,216.789
15062351,269.152,255.245
15062353,163.448,173.282
15062354,214.419,213.786
15062356,256.136,246.685
15062357,181.22,184.661
15062358,207.351,204.36
15062360,142.42,162.046
15062361,241.798,234.617
15062363,163.45,169.206
15062366,155.632,178.319
15062367,190.465,194.312
15062368,214.399,215.198
15062369,263.047,246.958
15062370,150.79,166.698
