SAMPLES,GEBVs(BA),ACTUAL
15062362,192.966,41
15061954,211.372,41
15062339,238.708,318
15061482,126.372,41
15062104,167.591,41
15061707,234.229,318
15061567,215.172,41
15061964,220.161,41
15061488,206.804,41
15061438,205.717,336
15061814,213.88,41
15061721,253.157,318
15061601,195.476,318
15061719,219.822,318
15061629,228.748,318
15061477,196.506,344
15061761,219.592,318
15061336,205.235,41
15061386,207.418,318
15061305,193.392,41
15061676,193.924,318
15061523,184.787,41
15061763,195.753,318
15061385,185.576,41
15062133,261.299,318
15061333,215.797,318
15061627,246.103,318
15061731,206.206,318
15061641,214.952,318
15061330,219.543,41
15061626,206.957,318
15062147,255.07,318
15061487,223.698,318
15060536,242.341,318
15061261,232.952,318
15061389,207.494,41
15060101,220.724,318
15061397,184.947,318
15061551,130.069,41
15061539,185.512,318
15062115,200.936,41
15061361,193.947,318
15061669,177.374,318
15062359,204.813,41
15061690,207.27,41
15061308,207.233,318
15062372,210.711,318
15061342,194.252,318
15061281,167.475,318
15061932,170.904,41
15061370,213.706,318
15061630,247.154,318
15061789,126.637,41
15061666,260.719,41
15062143,225.501,41
15061297,261.652,318
15061907,209.271,336
15061538,185.513,41
15062371,198.175,318
15061685,225.287,318
15062081,216.711,318
15061969,163.901,41
15061498,214.208,318
15061271,237.927,318
15062344,263.073,318
15061279,232.255,346
15062144,186.285,318
15061722,218.854,41
15061768,184.765,318
15061557,231.822,344
15061434,256.026,318
15060072,229.702,344
15061405,238.764,41
15062052,211.318,318
15062098,212.86,41
15061916,194.076,344
15061377,232.373,41
15061633,183.311,41
15061702,243.142,318
15061614,237.55,318
15061368,208.487,318
15061520,181.994,41
15060082,222.686,41
15061656,218.508,344
15061331,209.351,318
15061327,233.316,318
15062074,209.675,41
15061300,200.278,41
15061776,125.809,318
15061462,234.75,318
15061302,230.264,41
15061957,208.498,318
15061514,231.896,318
15060909,171.492,41
15062063,194.433,41
15060090,198.461,318
15061301,204.863,352
15061423,167.989,41
15061453,199.615,41
15060215,239.196,318
15062119,166.869,41
15061537,220.828,41
15061667,225.937,318
15062123,270.962,344
15061710,246.409,318
15061258,220.093,344
15061443,125.473,41
15060050,198.723,318
15060110,186.238,344
15062053,168.186,318
15061764,203.47,318
15061799,196.26,41
