probIn scale
0.01097291 649.989
0.005107701 613.0278
0.004059244 680.4913
0.004116708 650.5679
0.009750821 581.9427
0.005823388 565.9006
0.008029331 529.8162
0.01366168 499.6571
0.009350255 519.484
0.008983199 507.0394
0.01046409 499.3113
0.008149536 490.0417
0.002743535 499.6435
0.003405509 474.8424
0.005913438 448.0263
0.008365719 491.3414
0.00406089 512.33
0.003336582 544.3708
0.009631638 524.3431
0.01216245 531.1635
0.009558078 584.4002
0.007672693 564.0263
0.00260072 565.1532
0.002459442 486.4831
0.0074904 504.9932
0.007458856 544.4257
0.007229539 511.978
0.009691066 501.5695
0.006303604 546.201
0.01563494 601.7829
0.007747807 595.3404
0.006419799 591.2976
0.008187643 625.4368
0.001459164 614.5208
0.007925367 615.2142
0.003213564 588.1249
0.006635574 581.1818
0.01541009 603.2802
0.007519915 630.8679
0.009281213 614.5413
0.01547581 574.7051
0.03543417 541.1898
0.007227727 522.334
0.01606593 520.5388
0.006893506 515.0993
0.00848922 524.0039
0.01127363 534.5112
0.002515195 472.2155
0.002213333 466.3139
0.01042681 473.8984
0.008290989 481.4305
0.006641249 475.6802
0.001873103 416.0671
0.0008117667 471.4032
0.002743811 431.5051
0.004650285 384.0469
0.005419804 413.866
0.005797087 414.3736
0.006755147 430.522
0.01665017 436.1064
0.008354872 470.7916
0.01500395 481.8313
0.005852452 485.0601
0.005822409 450.2823
0.005504555 519.2043
0.0002218843 539.3352
0.002510113 590.2106
0.01058395 643.0647
0.004465514 649.7799
0.01228136 656.1662
0.01512748 683.3072
0.01819045 628.0295
0.009807306 644.9638
0.01630539 605.7849
0.01119711 670.3754
0.007542217 718.3667
0.007380514 733.9793
0.002506828 735.3771
0.002335614 700.4952
0.005917595 642.0445
0.004174419 719.0095
0.006686229 824.7747
0.00144137 831.7017
0.006704411 870.7888
0.008904352 889.9776
0.002285029 958.3358
0.007381106 1033.848
0.009137913 952.9383
0.0252981 962.725
0.007144866 1112.224
0.0158195 1056.953
0.01241688 871.4581
0.01284031 817.3869
0.0122052 844.6415
0.0228213 850.6332
0.01153019 800.4328
0.01489552 752.5464
0.01005769 736.001
0.01035369 790.9357
0.01817598 751.652
0.009307907 817.2421
0.01712725 819.4746
0.01376558 879.0328
0.01447826 944.8283
0.02453646 929.6295
0.02184008 899.408
0.01991219 834.4134
0.01275984 861.6504
0.006029164 946.6531
0.01731498 1059.978
0.02443278 1083.541
0.01195617 1056.563
0.00759205 1132.851
0.01512034 1114.988
0.01298516 1221.02
0.00733239 1121.256
0.004346216 1142.908
0.006350072 1282.176
0.006647941 1288.75
0.007942481 1284.169
0.01027734 1177.863
0.006145428 1265.753
0.005177365 1191.093
0.01658137 1139.994
0.003882398 1276.258
0.01004647 1370.815
0.003471232 1368.447
0.008984229 1390.252
0.006157348 1387.991
0.004622876 1352.18
0.001148532 1475.087
0.002686031 1401.635
0.003330061 1460.282
0.009586948 1402.174
0.00176271 1511.159
0.003989155 1599.147
0.004282301 1665.745
0.002472939 1705.828
0.003509758 1787.64
0.002212454 1773.978
0.002968944 1727.964
0.002890187 1921.728
0.007180756 2013.174
0.001759 1843.991
0.002459156 1781.828
0.003215228 1830.93
0.004475733 1746.816
0.005894762 1737.405
0.00555374 1689.651
0.003986002 1541.484
0.00590549 1598.162
0.004624819 1501.444
0.001900124 1671.71
0.0104763 1605.243
0.007562294 1766.418
0.003876333 1696.563
0.002788502 1601.475
0.00437543 1606.049
0.0006333094 1838.36
0.003422819 2108.478
0.002291666 2093.925
0.003341161 1997.291
0.008942897 1841.656
0.005973386 1793.96
0.008239794 1874.269
0.008779108 1867.905
0.003293053 1795.903
0.002770141 1680.831
0.00344398 1465.97
0.003190419 1430.024
0.008236145 1464.962
0.004874468 1384.267
0.003210879 1400.345
0.004462538 1525.204
0.003951232 1687.082
0.00395842 1838.59
0.002319931 1976.97
0.004431796 2087.463
0.004336533 2118.13
0.004772125 2286.755
0.003586652 2058.324
0.005023326 1990.366
0.006215503 1911.369
0.003568344 1908.112
0.001349936 1975.059
0.004634407 1974.434
0.007540853 2056.135
0.002126188 1903.844
0.0038773 1953.293
0.004868876 1898.905
0.001041878 1643.331
0.00244101 1529.062
0.002110012 1700.433
0.0009968029 1714.53
0.002356744 1826.881
0.002257985 1813.821
0.005489102 2010.599
0.003689252 2117.897
0.00266735 2020.633
0.004340167 2062.704
0.006165095 2013.539
0.004087668 1965.811
0.004636346 2185.234
0.007717108 2180.672
0.004986808 2044.79
0.005512198 1842.255
0.00210339 1959.564
0.001235723 1957.326
0.0009913742 1852.983
0.003798251 1737.141
0.004093723 1740.557
0.004079993 1678.881
0.0005847828 1667.928
0.007080031 1894.778
0.001966878 1811.393
0.009230276 1922.433
0.006688606 1813.102
0.001624882 1864.727
0.002643938 1713.902
0.001093509 1741.755
0.002684303 1615.01
0.00321851 1667.681
0.005205781 1668.186
0.002212016 1624.521
0.003113572 1629.306
0.003470072 1675.06
0.005115091 1660.308
0.004912893 1505.606
0.006679532 1610.332
0.002915035 1568.772
0.003045584 1524.995
0.004047166 1612.247
0.001728425 1566.218
0.004337727 1739.905
0.008547309 1720.658
0.004698417 1503.127
0.01230483 1559.694
0.01270356 1492.226
0.01119748 1447.378
0.009298246 1423.266
0.006378999 1301.147
0.01351032 1229.665
0.01374782 1197.344
0.01000982 1191.079
0.009578017 1128.425
0.006802218 1181.685
0.008161319 1297.585
0.006749577 1191.154
0.002732024 1175.784
0.00501755 1184.608
0.00361638 1134.853
0.002329702 1142.869
0.00210447 1274.311
0.0009113669 1155.311
0.001781679 1283.797
0.002999634 1327.808
0.002541961 1299.147
0.001182534 1359.442
0.003060454 1413.373
0.003257709 1392.798
0.001023873 1426.95
0.008671127 1322.667
0.007347122 1311.081
0.00119526 1473.816
0.002085987 1464.808
4.087838e-05 1505.554
0.002302476 1619.61
0.003040452 1503.683
0.01578123 1513.429
0.002445516 1596.278
0.002109378 1649.628
0.001035808 1611.948
0.001946715 1492.923
0.001225626 1364.09
0.002364053 1286.054
0.008338716 1196.256
0.002124224 1354.36
0.007136946 1456.857
0.002809772 1488.265
0.001760213 1423.858
0.00713786 1459.315
0.003193175 1370.048
0.005706965 1231.363
0.006063983 1192.983
0.01236072 1135.89
0.003750897 1088.588
0.005834923 1105.344
0.009009187 1173.88
0.01305835 1269.371
0.006028443 1374.679
0.005345177 1567.041
0.01029988 1606.346
0.002138411 1463.938
0.004274589 1417.17
0.005036803 1416.766
0.003152201 1326.447
0.007172021 1486.659
0.006343316 1466.998
0.003158702 1536.695
0.006277628 1676.806
0.007154036 1809.037
0.002392907 1788.013
0.003934099 1716.201
0.002389853 1814.735
0.006232195 1718.505
0.002596747 1503.098
0.007933631 1543.889
0.005917558 1581.425
0.003631571 1620.169
0.007538771 1803.132
0.004352058 1709.905
0.004212224 1808.716
0.003409682 1887.973
0.00311231 1794.053
0.008373244 1676.302
0.0001973334 1727.074
0.001116641 1987.451
0.0007939303 2063.156
0.0009194638 2050.669
0.006379658 1946.869
0.004031551 1980.95
0.001046736 2145.513
0.005501822 2029.834
0.002620764 2063.872
0.00286817 2314.749
0.004817509 2277.923
0.001033685 2077.812
0.002056124 1816.247
0.007936496 1902.373
0.00269722 1979.727
0.005560746 2039
0.005520494 1958.79
0.001181163 1838.672
0.002495324 1927.752
0.001154727 1945.912
0.00377821 2011.472
0.003224867 1810.703
0.002596743 1829.234
0.005437695 1696.458
0.001280391 1785.56
0.002792621 1731.191
0.003365333 1748.909
0.004347088 1766.833
0.001628915 2038.684
0.00366333 2016.749
0.004573778 2044.927
0.0008406904 2041.39
0.002856507 2103.533
0.002955186 2129.373
0.004741361 2123.066
0.005578488 2039.531
0.006434071 2206.508
0.004563801 2254.861
0.003761879 2217.105
0.003297566 1991.477
0.004443476 2030.175
0.009638779 2004.378
0.009193784 2292.949
0.009181735 2201.814
0.009409237 2207.109
0.001311012 2089.495
0.007833124 2258.108
0.00225671 2162.094
0.001304943 2174.946
0.002288541 2360.596
0.001638638 2652.477
0.003560176 2640.826
0.00212743 2754.156
0.001666789 2998.749
0.003842553 2838.698
0.001240775 3069.466
0.001611128 3421.614
0.003069497 3743.646
0.001786158 3531.675
0.002034336 3802.744
0.008817128 3853.284
0.006707328 3910.109
0.00312262 3857.775
0.002572643 3809.901
0.0008775058 3597.943
0.002843549 3636.068
0.004513096 4050.554
0.005975139 3537.503
0.003562552 3364.225
0.005034664 3288.464
0.002564392 2937.88
0.004734378 2943.405
0.002437079 2948.103
0.0009139025 2719.36
0.001901378 2707.481
0.00247564 2713.86
0.004868798 3031.757
0.00579124 3092.077
0.001537722 2794.53
0.00185328 3170.235
0.002050187 3064.587
0.0007836301 2784.068
0.00113782 2478.703
0.00221666 2215.634
0.006304225 2250.565
0.00269055 2243.726
0.005102392 2144.875
0.005106085 2207.615
0.005418087 2021.407
0.005035245 1852.334
0.00286055 1878.93
0.004927905 1606.198
0.002796856 1636.405
0.006397243 1769.288
0.01050881 1711.205
0.005641946 1678.899
0.002201102 1791.845
0.003440456 2029.884
0.004883648 2116.862
0.003672726 1981.041
0.006004115 1890.124
0.00238822 1923.01
0.006043756 1817.303
0.00202344 1721.307
0.002763346 1703.707
0.003080164 1506.01
0.004476899 1735.986
0.001216982 1757.224
0.004110168 1673.392
0.00132489 1823.458
0.004444292 1674.998
0.004094649 1614.139
0.003544874 1578.381
0.008467054 1563.611
0.007132869 1573.616
0.005922817 1571.724
0.0006378442 1566.674
0.005213691 1538.982
0.003802584 1671.362
0.01447147 1695.122
0.002999095 1600.031
0.003887126 1486.839
0.008792247 1555.427
0.005092557 1586.019
0.00398897 1556.822
0.006958212 1667.449
0.00263633 1549.771
0.007114566 1628.159
0.007054976 1552.625
0.007162566 1586.492
0.008372962 1612.557
0.006888171 1598.54
0.003828978 1642.145
0.01157063 1596.399
0.006553037 1618.772
0.00272613 1609.55
0.008210397 1548.803
0.006971583 1631.932
0.007086888 1693.09
0.01100044 1630.447
0.009953868 1459.611
0.01805926 1650.123
0.004956693 1667.577
0.009335665 1746.098
0.006990966 1782.069
0.006702651 1776.927
0.01324171 1641.553
0.003966452 1689.904
0.005610795 1896.073
0.004699229 2016.944
0.009217838 1936.575
0.004808512 1921.379
0.005798879 1856.309
0.004656397 1856.22
0.004663272 2153.57
0.005555367 2188.988
0.003344959 2306.431
0.00702011 2287.198
0.005271394 2220.863
0.001632085 2183.858
0.0003206271 1801.157
0.003896219 1889.613
0.008917482 2087.49
0.003489779 2098.043
0.001866664 2175.895
0.002927407 2077.782
0.008236761 1947.042
0.004596101 1780.25
0.004912929 1758.382
0.0006123894 1821.902
0.002065252 1769.515
0.003863147 2046.65
0.00190814 1880.775
0.0004660717 1783.912
0.00428722 1927.742
0.002502816 2104.071
0.002323075 2303.095
0.001598355 2279.117
0.001263163 2334.833
0.00577715 2576.128
0.007309893 2389.096
0.008367589 2333.976
0.004132901 2245.586
0.005261057 2075.099
0.00564127 2252.475
