probIn scale
0.01018346 3.376088
0.0178341 3.425024
0.02258571 3.316871
0.02019811 3.00622
0.0190463 3.157157
0.0105868 3.286918
0.01684549 3.528543
0.01757772 3.397589
0.02418552 3.332873
0.03722733 3.076962
0.02631972 2.638903
0.02262543 2.808225
0.02866689 2.854533
0.01978956 2.704476
0.02340921 2.497882
0.03280641 2.506089
0.04078442 2.750624
0.0207327 2.77381
0.02395367 3.052807
0.0215563 3.389088
0.02069172 3.306087
0.0215321 3.312299
0.01035313 3.455711
0.01643885 3.61553
0.01918812 3.775387
0.02631782 4.044816
0.01903664 4.143803
0.02946574 3.553403
0.0245043 3.591748
0.01556807 3.652244
0.02321818 3.593039
0.02025904 3.586416
0.02220022 3.945248
0.01566792 4.292553
0.01174733 4.15156
0.01646975 3.91843
0.01204179 3.990347
0.0158024 4.280006
0.01153476 4.081963
0.01184144 3.598659
0.01855362 3.418335
0.01555676 3.479599
0.01863246 3.615568
0.02176343 3.600955
0.03261847 3.624078
0.02231227 3.710049
0.01154519 3.949853
0.03344103 3.58399
0.0339733 3.769979
0.02559333 3.417655
0.01577434 3.195271
0.02613821 3.080067
0.01131967 3.104042
0.009744426 3.27471
0.01526482 3.850091
0.01735301 4.006511
0.02279947 3.800458
0.01925266 4.101457
0.0127633 3.67918
0.01788601 3.801875
0.01106925 4.364299
0.01871048 4.618287
0.0136528 4.276623
0.008921593 3.954113
0.03129243 3.814676
0.02532519 4.267319
0.02242104 4.742147
0.02539845 4.97528
0.02133917 4.906987
0.01483722 4.886781
0.01064334 5.606059
0.0123434 5.796562
0.01214967 5.689856
0.009173361 6.033761
0.01940308 6.076497
0.01557035 5.737987
0.01100121 6.173324
0.01409478 5.576338
0.01887489 4.819591
0.01961435 5.184979
0.01703878 4.813029
0.02485456 4.630029
0.01460535 4.847508
0.01951379 5.101935
0.02588928 5.051982
0.02083532 5.4459
0.01276526 5.546518
0.01692411 5.566056
0.02812295 5.488451
0.02265458 5.55107
0.02655284 5.456966
0.0168785 5.498011
0.0202943 5.282446
0.00918273 5.504901
0.007085667 4.77828
0.005777385 5.139682
0.02543158 5.400738
0.01498222 6.040086
0.01134737 6.245286
0.005860826 6.059397
0.01113019 6.012872
0.01421457 6.617573
0.009737541 5.840006
0.01298725 5.264467
0.01271858 4.504243
0.007787192 3.775951
0.02252556 4.018504
0.01429253 3.781022
0.02117331 3.609336
0.01801165 3.622436
0.01797146 3.63224
0.01729088 3.442186
0.022364 3.45424
0.03324611 3.370252
0.028791 3.153826
0.02489042 3.088392
0.01434151 3.318726
0.01814425 3.518106
0.006502375 3.177613
0.01752984 3.05168
0.01628343 2.94909
0.01937787 2.990832
0.009450011 2.900051
0.01992369 2.804372
0.01382431 2.950015
0.01092699 2.766204
0.02282919 2.672637
0.01314683 2.714899
0.01552631 2.703379
0.01851801 2.651917
0.03482331 3.039738
0.02716763 3.012889
0.02780941 2.992278
0.02165829 3.095184
0.01502619 3.175617
0.02370212 3.374294
0.03434828 3.000698
0.01870958 3.140081
0.03250002 3.331
0.01820757 3.078237
0.0188798 3.276596
0.02018925 3.555123
0.01938739 3.297666
0.02403247 3.59786
0.04059447 3.459968
0.02945722 3.356101
0.02149979 3.297739
0.02713021 3.543269
0.008801166 3.821168
0.01346932 3.948372
0.02236548 4.104164
0.02454141 4.31191
0.03295915 4.239138
0.02187375 4.535482
0.01587548 4.006884
0.02717017 3.351797
0.02089384 3.822897
0.01216303 4.015102
0.02892014 3.925177
0.01725138 3.775343
0.01963098 3.770831
0.01906628 4.094467
0.02982552 3.549412
0.008242715 3.610773
0.01429021 3.48964
0.02302277 3.489888
0.01972272 3.525772
0.02778369 3.350067
0.02205868 3.275816
0.02226126 3.636001
0.02146288 3.875066
0.02351004 3.420616
0.02514258 3.179029
0.03062651 3.405942
0.01392249 2.952409
0.02328119 2.857371
0.01987223 2.918966
0.02027198 3.112759
0.0169848 3.129833
0.02497517 3.611706
0.01447261 3.793944
0.01441998 3.517949
0.007052997 3.851207
0.02678857 4.609804
0.01409256 4.851496
0.0133655 5.766281
0.01292484 5.570935
0.01279895 5.538467
0.01859563 5.074205
0.01027153 5.392446
0.02098206 5.0901
0.01592764 4.973748
0.01524001 4.744518
0.02067068 4.896626
0.03234302 5.291244
0.01511163 5.07148
0.02618753 5.621157
0.01832618 5.557015
0.03175322 5.474985
0.02095145 5.514737
0.02468 5.754905
0.01838635 5.57183
0.01918374 5.985912
0.02111976 6.214885
0.01782678 5.994103
0.01962964 5.481959
0.02051224 5.023479
0.03061215 4.58783
0.01984786 4.658678
0.01493213 4.959237
0.03193851 5.164873
0.0313212 5.32908
0.01880646 5.793025
0.008289096 5.616476
0.01061066 5.205638
0.009670797 5.246769
0.02170997 5.33223
0.01554077 5.580549
0.01135252 6.417862
0.01096251 6.845077
0.00803462 7.114568
0.007119417 7.007133
0.01422041 7.470761
0.01316688 8.102072
0.009508094 9.039623
0.01076709 8.487333
0.01113604 7.866024
0.01100153 8.107483
0.01396378 7.413373
0.005466489 6.960211
0.0223347 7.240919
0.01847157 7.633644
0.02745426 7.037047
0.0213558 6.457986
0.02405742 6.548744
0.0180897 6.84014
0.009994083 6.442173
0.01931209 6.892379
0.02537694 6.744913
0.01674363 6.427611
0.02049795 6.408046
0.01763192 7.547064
0.01167614 7.810981
0.01388161 6.873838
0.01603447 6.570452
0.01824613 6.299723
0.006591757 6.566029
0.02006178 6.325692
0.01442938 6.248845
0.01489808 5.818836
0.007389916 5.643463
0.01895862 5.597152
0.02032089 5.369481
0.01502979 5.633696
0.01389843 5.429902
0.02357502 5.478654
0.01931767 5.341663
0.01123645 5.002452
0.02901586 5.837604
0.01224265 6.068366
0.01070426 5.982286
0.009048966 6.777619
0.01831094 6.465898
0.0172322 6.10755
0.01285153 6.559804
0.02295217 7.025566
0.01909022 7.27528
0.03584337 6.970812
0.01210024 6.438531
0.01610025 6.32116
0.01728532 6.638015
0.0239935 6.814304
0.01274111 7.375798
0.01605995 8.176705
0.004437467 7.754373
0.007027312 8.337137
0.01581058 7.818874
0.007058169 8.353738
0.01310305 8.006668
0.0126723 8.293036
0.02336172 8.613771
0.02094371 8.339511
0.004627594 8.669443
0.01077982 8.472509
0.007496073 8.796137
0.008555533 8.975336
0.007666034 9.007142
0.009396778 8.52237
0.007667558 8.669203
0.009016748 8.154249
0.01315261 8.053795
0.01208987 8.88457
0.01783367 9.163495
0.01017691 9.362255
0.0060493 10.49963
0.008927432 10.06061
0.009334381 10.70669
0.01821142 11.38221
0.01582845 11.06786
0.01113302 10.97501
0.008043417 9.9693
0.01558173 9.453761
0.0125964 10.13155
0.01108425 9.545088
0.01127477 10.69748
0.007396105 10.98772
0.01527212 9.904051
0.01842136 11.03946
0.01577525 10.6238
0.005020013 9.261882
0.01232836 9.091111
0.01596303 9.584015
0.01044093 9.005877
0.009789254 9.469095
0.01903133 8.924354
0.01444542 9.328915
0.006517715 9.318897
0.01322857 9.217552
0.005189731 8.788518
0.004036311 8.221235
0.02193201 8.60698
0.01027225 8.381614
0.01005909 7.608431
0.007267739 7.123474
0.01419744 7.242413
0.01413656 7.35188
0.01125981 7.709726
0.01070129 8.380304
0.02248719 8.588574
0.01611116 8.618297
0.01102542 8.733184
0.01520056 8.948464
0.01090048 9.112508
0.01009518 8.952842
0.005448032 7.824693
0.01172848 7.765326
0.0124744 8.057343
0.00972734 8.292191
0.01823029 8.513254
0.01665283 9.502996
0.006075644 10.46774
0.007824379 10.5438
0.00399972 11.36291
0.02083839 11.03882
0.01851444 11.18318
0.004785016 10.9234
0.01426442 14.40729
0.01314588 14.54641
0.01760622 14.98944
0.01133726 16.6238
0.01503001 16.40699
0.002961825 17.30138
0.00768209 19.09773
0.007292791 17.62432
0.0061203 19.42239
0.006075581 20.04477
0.008336723 19.22404
0.006581695 18.94805
0.01157124 18.92306
0.01209771 18.33164
0.008947994 19.88747
0.009725803 17.61485
0.01214067 15.23681
0.01441395 14.76505
0.01231915 15.17079
0.004584573 15.11741
0.008892385 13.59443
0.01168923 11.92461
0.01611734 13.00398
0.006717266 12.97947
0.007810093 13.081
0.006672261 13.7297
0.004789438 13.86419
0.005137905 14.76597
0.008647467 15.79185
0.009026797 14.16735
0.0077233 16.19486
0.008150547 16.72147
0.007342706 16.96454
0.0119304 17.86778
0.01404457 18.63143
0.009340906 18.12829
0.01068315 18.04572
0.008751598 15.41562
0.0101684 16.17018
0.01439664 16.04471
0.01431722 16.06739
0.006743397 18.22746
0.007788215 18.98093
0.01227095 19.92482
0.008756567 20.37482
0.01526216 18.16718
0.01269882 19.34213
0.01225538 20.33653
0.004345396 19.6333
0.009542589 21.8629
0.01102693 20.84516
0.01232513 20.86357
0.00822276 22.53685
0.009934999 22.73055
0.009359903 24.55089
0.01531077 24.24201
0.00900617 24.50113
0.01039063 25.43157
0.003853786 25.02875
0.01045364 22.8387
0.007375065 23.80723
0.0112583 23.67516
0.01077847 25.69974
0.008000013 22.93989
0.006006666 22.43491
0.01200139 22.04196
0.01200922 20.10708
0.01028413 19.94842
0.0043451 21.15603
0.0119206 23.3305
0.007264213 23.63151
0.01248209 23.3531
0.008094107 24.42188
0.007368709 26.26785
0.007447275 26.60292
0.0115979 26.03824
0.009100133 28.41372
0.009314071 29.61254
0.01306013 31.53324
0.0125637 30.54886
0.009440664 33.13988
0.007655475 31.98418
0.008210418 30.81393
0.008441707 28.72159
0.01202191 26.9489
0.01743764 26.14991
0.005377249 24.13977
0.01042842 20.1458
0.01741439 19.59033
0.01313208 19.95111
0.008792301 21.16729
0.007039496 19.49218
0.01593688 20.6698
0.006783364 22.65789
0.00985824 22.94857
0.009038634 21.8025
0.01358179 21.98928
0.004790258 19.90859
0.007699946 21.56287
0.00574562 20.141
0.003793376 19.91783
0.006133623 20.01681
0.005569614 19.53001
0.004548252 20.15948
0.008520054 21.19434
0.006052699 19.6488
0.009257933 18.86464
0.007467295 18.87713
0.006343789 18.64821
0.004709754 18.82463
0.007965325 16.99526
0.003757149 17.11603
0.005913241 17.67608
0.008267362 19.08394
0.008614232 17.94776
0.0035169 19.10019
0.008192248 20.71256
0.005397503 19.96243
0.003988804 19.55388
0.006607294 19.5683
0.003800595 18.57833
0.003110264 17.23439
0.01132462 16.05761
0.004238653 16.72281
0.004980846 15.81169
0.00670002 16.13403
0.01570811 15.46691
0.009851984 16.37085
0.02379325 14.86392
0.01077857 13.96337
0.01454191 14.98609
0.005788644 15.56702
0.0113258 14.99649
0.007884037 15.99614
0.01184723 14.67151
0.01424209 15.45877
0.009722806 15.28282
0.006399789 15.79879
0.004482651 16.5911
0.005782609 16.13179
0.006679735 14.97847
0.004991056 13.72063
0.00945586 14.8717
0.01640532 11.94419
0.01034297 13.0655
0.0142767 12.93097
0.006308476 12.03791
0.004493687 12.25636
0.006304333 13.57345
0.01527099 14.20585
0.0055301 13.09747
0.01001058 12.34656
0.007582248 11.49499
0.01609614 12.41373
