,BA,BB
15060021,29.689,30.127
15060025,36.995,36.796
15060027,32.867,33.294
15060039,35.616,36.019
15060042,32.841,33.192
15060056,33.243,33.776
15060063,38.071,38.05
15060070,30.312,30.537
15060081,36.335,36.819
15060085,30.67,31.872
15060087,30.187,30.477
15060097,40.572,40.519
15060102,30.636,31.19
15060112,34.554,34.507
15060114,32.844,32.988
15060120,36.061,34.322
15060121,35.476,35.289
15060122,35.189,35.425
15060138,35.478,35.672
15060160,37.284,36.595
15060187,31.87,33.368
15060188,31.204,31.489
15060190,37.699,36.992
15060191,37.753,37.302
15060214,38.199,37.906
15060313,38.285,37.389
15060320,38.419,37.418
15060345,37.171,36.912
15060383,38.278,37.429
15060420,37.229,36.943
15060543,36.79,36.785
15060570,35.836,35.66
15060797,32.922,33.106
15060846,35.108,35.368
15060907,34.063,33.958
15060910,37.647,37.456
15060933,36.91,37.052
15060964,34.801,35.245
15061007,34.56,34.744
15061011,37.054,36.833
15061122,35.191,35.462
15061204,33.662,34.261
15061213,35.615,36
15061215,35.674,36.021
15061216,36.229,35.88
15061225,32.509,32.933
15061226,34.507,35.797
15061228,32.596,32.907
15061237,36.865,36.853
15061256,32.742,32.856
15061257,34.548,34.551
15061259,30.238,30.502
15061260,36.966,36.821
15061262,31.01,31.703
15061263,30.567,31.52
15061264,31.365,31.761
15061265,36.756,35.954
15061270,33.979,33.583
15061273,36.863,35.992
15061274,35.595,34.796
15061277,39.277,38.967
15061282,32.743,33.026
15061283,34.598,34.523
15061286,37.546,37.823
15061288,35.605,35.941
15061289,35.753,36.088
15061290,38.005,38.001
15061291,35.048,34.717
15061293,33.024,33.203
15061295,33.004,34.202
15061296,33.363,34.124
15061298,36.724,35.45
15061299,32.901,33.103
15061303,39.217,39.342
15061307,32.71,32.959
15061312,35.14,34.727
15061313,37.802,37.416
15061314,37.157,36.497
15061317,30.979,31.675
15061318,36.068,35.357
15061319,36.967,36.819
15061320,41.064,40.469
15061323,33.012,33.09
15061324,34.086,34.187
15061329,35.33,35.628
15061334,33.795,33.732
15061335,34.415,34.252
15061337,34.679,34.959
15061338,30.219,30.501
15061340,30.308,30.496
15061344,34.825,34.566
15061345,37.456,37.441
15061346,37.218,36.921
15061347,32.524,32.825
15061348,34.558,34.468
15061349,35.089,36.395
15061350,35.198,34.792
15061352,33.298,33.169
15061353,34.57,34.508
15061355,34.654,34.554
15061356,35.157,35.409
15061357,35.408,35.694
15061358,37.008,36.814
15061360,34.521,34.497
