probIn scale
0.01974145 5.9049
0.02544914 5.616424
0.04033887 5.28523
0.02615098 6.078868
0.008754033 6.285909
0.00722014 6.686185
0.003772281 6.738
0.006970134 6.77163
0.01467772 7.287
0.01075632 6.94773
0.0127322 6.816231
0.009412691 6.903254
0.01209675 7.412279
0.0220947 6.691084
0.009347891 6.490761
0.01435397 6.557783
0.01895232 5.818839
0.02703531 5.324239
0.02315962 5.389224
0.01983874 4.948482
0.02327549 4.914199
0.01557596 5.035421
0.009564671 5.09815
0.01198792 5.415078
0.003173862 5.848554
0.002011611 5.950978
0.009496446 5.525486
0.005594407 5.690311
0.004784444 5.474243
0.009227149 5.090436
0.01964436 5.347459
0.008711285 5.728071
0.006348322 5.803226
0.007165605 5.66504
0.002019204 5.977132
0.002643987 5.918081
0.01316636 6.263248
0.008764393 5.829108
0.01381822 5.298381
0.01222216 5.298003
0.01008639 5.470558
0.007993278 4.955795
0.007106194 5.08868
0.006040179 5.399043
0.01058491 5.860357
0.005152885 5.659259
0.006524103 4.883025
0.01249286 5.089272
0.02646872 6.012932
0.01134007 6.232516
0.01219449 6.069017
0.007546586 6.463237
0.01136237 6.156917
0.009628435 5.974418
0.00753616 6.239851
0.00730471 6.412497
0.004007553 6.967948
0.00825103 7.844609
0.008228309 7.947547
0.01102135 8.155701
0.003529132 8.414379
0.004535282 9.003363
0.004596295 8.886711
0.01137899 7.990395
0.00872001 7.549562
0.009217883 7.733115
0.007542344 7.138836
0.004588111 6.487815
0.003956341 5.998195
0.008982524 5.979965
0.01126917 5.320056
0.01687462 4.825456
0.006863376 4.662996
0.0006833924 4.671994
0.0157013 4.517753
0.008620453 4.503105
0.01677428 4.250442
0.008488548 4.276804
0.003807015 4.899789
0.01088913 5.35754
0.005274834 4.928814
0.00994097 4.970862
0.007228813 4.989309
0.008327888 5.14086
0.01335247 4.67189
0.01243858 4.647093
0.01039564 4.567585
0.009350673 4.043321
0.02142658 3.484922
0.01700829 3.727582
0.0100798 3.886374
0.01787922 4.146007
0.03176411 3.85182
0.01570401 3.630948
0.007304677 3.819405
0.01310577 3.932956
0.005471628 4.45791
0.02453039 3.848074
0.003484386 4.453617
0.007252611 5.072694
0.01251492 4.910769
0.0193466 4.979173
0.01329852 4.947149
0.01164127 4.725616
