,BA,BB
15060021,68.27,68.247
15060025,57.476,57.435
15060027,55.807,56.535
15060039,72.147,72.588
15060042,72.637,71.948
15060056,69.9,68.572
15060063,69.163,70.256
15060070,74.909,74.817
15060081,54.639,54.242
15060085,71.001,70.488
15060087,75.219,74.931
15060097,46.565,46.488
15060102,72.543,72.151
15060112,74.43,74.68
15060114,71.227,71.421
15060120,58.56,60.559
15060121,66.471,66.745
15060122,70.094,69.404
15060138,69.616,69.848
15060160,68.452,68.662
15060187,62.379,62.817
15060188,68.579,68.724
15060190,61.76,62.152
15060191,50.168,50.26
15060214,54.022,55.002
15060313,59.669,59.251
15060320,54.122,54.963
15060345,69.956,70.181
15060383,59.466,58.939
15060420,69.949,70.233
15060543,72.76,71.602
15060570,52.095,52.547
15060797,68.285,69.32
15060846,69.681,69.32
15060907,63.835,65.707
15060910,69.815,69.419
15060933,72.553,71.481
15060964,70.797,68.279
15061007,71.331,68.838
15061011,57.593,57.45
15061122,69.359,69.292
15061204,60.211,58.873
15061213,71.827,72.13
15061215,72.198,72.327
15061216,73.268,74.465
15061225,71.315,71.912
15061226,53.719,53.193
15061228,73.173,75.343
15061237,73.315,72.648
15061256,66.6,67.15
15061257,65.086,64.131
15061259,75.189,74.978
15061260,57.92,57.654
15061262,70.006,69.481
15061263,72.738,72.899
15061264,66.738,66.915
15061265,61.282,61.885
15061270,72.261,70.953
15061273,61.48,61.975
15061274,71.862,70.166
15061277,55.069,54.081
15061282,71.565,71.48
15061283,74.411,74.649
15061286,69.441,67.866
15061288,72.116,72.205
15061289,71.459,71.854
15061290,54.461,54.299
15061291,66.735,67.052
15061293,64.238,64.072
15061295,56.347,56.462
15061296,72.651,72.83
15061298,73.034,73.497
15061299,71.412,71.339
15061303,57.988,57.482
15061307,73.12,75.225
15061312,67.247,67.332
15061313,50.412,50.631
15061314,72.99,72.003
15061317,69.629,69.225
15061318,72.491,73.443
15061319,57.301,57.285
15061320,44.969,44.405
15061323,70.065,70.343
15061324,65.123,63.911
15061329,74.159,73.572
15061334,72.357,72.514
15061335,60.693,60.164
15061337,74.358,74.53
15061338,75.449,75.224
15061340,75.099,74.946
15061344,73.163,73.053
15061345,70.023,70.258
15061346,70.179,70.436
15061347,69.18,69.662
15061348,74.456,74.691
15061349,58.461,57.851
15061350,67.396,67.473
15061352,69.268,68.836
15061353,74.514,74.694
15061355,74.392,74.667
15061356,69.314,68.992
15061357,74.045,73.347
15061358,57.581,57.489
15061360,74.645,74.78
15061364,74.4,74.751
15061365,71.775,72.076
15061367,72.039,72.299
15061369,66.794,66.854
15061376,70.022,70.26
15061378,61.037,60.502
15061380,69.381,69.862
15061382,70.728,70.807
15061383,74.417,74.669
15061384,75.227,75.042
15061388,71.144,73.021
15061390,69.158,68.81
15061391,69.695,69.27
15061392,62.322,63.36
15061394,69.914,69.472
15061396,69.973,69.56
15061404,69.416,68.945
15061406,74.611,74.779
15061410,56.392,57.338
15061411,72.328,72.303
15061414,69.587,69.238
15061415,67.201,67.456
15061417,69.366,68.985
15061418,69.471,69.139
15061419,75.241,75.052
15061420,44.969,44.405
15061421,57.857,57.579
15061422,78.09,78.772
15061424,62.795,63.061
15061425,70.112,70.316
15061428,69.98,70.071
15061430,69.938,69.971
15061435,59.005,59.078
15061436,59.335,58.751
15061437,58.538,58.191
15061439,58.301,57.898
15061441,56.294,56.206
15061442,72.234,72.569
15061444,73.663,73.223
15061445,56.208,56.235
15061447,75.654,76.037
15061449,75.967,75.11
15061454,76.078,75.186
15061458,70.076,70.428
15061459,69.643,69.258
15061461,70.094,70.266
15061463,71.468,71.249
15061469,73.111,72.547
15061470,69.453,69.118
15061471,69.704,69.264
15061475,57.884,57.731
15061476,72.295,72.681
15061478,75.263,74.994
15061479,77.699,79.152
15061480,56.355,56.175
15061481,50.388,50.361
15061484,72.066,70.806
15061485,59.294,58.791
15061486,69.87,70.385
15061489,69.637,69.197
15061490,69.379,68.975
15061491,69.678,69.212
15061492,69.49,69.159
15061493,69.178,69.738
15061494,46.212,46.244
15061495,69.708,69.958
15061496,69.63,70.014
15061499,50.301,50.402
15061500,59.142,58.756
15061501,67.175,66.866
15061503,78.924,78.855
15061504,71.482,71.328
15061505,69.723,67.875
15061507,72.212,72.172
15061508,72.365,72.295
15061509,72.773,72.303
15061511,72.595,72.226
15061515,69.957,69.538
15061516,66.993,66.61
15061517,74.4,74.623
15061518,77.963,78.51
15061521,73.263,71.733
15061522,64.255,64.054
15061524,46.211,46.378
15061525,72.906,72.767
15061526,65.369,64.427
15061528,68.354,69.519
15061529,72.562,72.073
15061530,72.239,72.282
15061533,73.18,72.858
15061534,68.351,68.249
15061535,70.226,70.569
15061536,72.91,72.307
15061540,50.872,51.328
15061542,51.29,51.368
15061543,72.277,72.537
15061544,75.463,74.796
15061546,76.109,75.935
15061548,59.808,60.319
15061549,62.163,61.404
15061550,64.049,63.79
15061553,60.294,61.15
15061555,59.85,59.354
15061556,60.603,59.711
15061560,57.109,58.695
15061561,59.405,61.119
15061564,78.28,79.817
15061565,59.574,59.187
15061566,75.267,74.909
15061568,62.454,63.267
15061571,64.605,64.034
15061575,71.753,70.402
15061576,69.28,69.013
15061577,74.179,73.585
15061578,74.079,73.399
15061579,56.999,56.812
15061580,74.429,74.656
15061583,71.02,71.344
15061584,69.509,70.254
15061585,69.824,69.513
15061586,69.629,69.327
15061588,59.199,58.839
15061600,75.748,75.632
15061602,61.025,60.894
15061603,75.197,74.938
15061604,64.218,65.119
15061605,58.599,57.348
15061608,69.447,69.239
15061609,75.249,75.072
15061610,74.527,74.741
15061612,55.092,55.896
15061613,71.396,71.435
15061619,69.744,69.264
15061621,67.025,66.831
15061622,56.329,57.164
15061623,57.575,57.522
15061624,75.393,75.205
15061628,72.459,72.133
15061631,68.461,67.823
15061632,71.245,71.291
15061637,57.62,57.48
15061638,57.775,57.523
15061639,73.271,73.495
15061640,75.697,76.169
15061642,57.089,57.429
15061645,76.49,76.624
15061646,70.113,69.601
15061647,57.539,57.476
15061648,72.795,71.743
15061649,63.26,64.156
15061650,47.009,46.741
15061651,72.247,72.26
15061653,70.139,70.215
15061654,71.192,71.248
15061655,53.038,52.747
15061658,70.233,70.338
15061659,69.032,68.813
15061661,71.122,71.199
15061662,75.865,75.049
15061665,55.61,56.525
15061668,56.222,57.288
15061670,73.319,73.505
15061671,72.867,71.772
15061673,66.216,67.494
15061677,69.307,68.971
15061678,69.842,69.461
15061679,58.935,59.062
15061680,73.527,73.829
15061682,57.751,57.505
15061683,74.052,74.449
15061684,58.577,59.105
15061686,74.43,74.68
15061687,66.387,67.887
15061688,74.433,74.631
15061689,69.548,69.139
15061704,57.701,57.852
15061706,54.252,55.449
15061709,53.968,54.86
15061712,75.773,75
15061713,57.728,57.56
15061714,67.26,67.563
15061717,61.511,61.838
15061718,75.86,75.148
15061720,65.922,66.604
15061723,67.142,66.91
15061724,62.704,62.791
15061725,67.775,67.983
15061726,70.339,69.639
15061729,63.084,63.11
15061730,63.099,63.183
15061733,69.573,69.245
15061734,69.543,69.161
15061735,67.549,67.577
15061736,62.954,63.165
15061737,63.37,63.255
15061738,69.542,69.19
15061740,70.628,71.665
15061742,50.673,50.653
15061744,53.562,53.767
15061747,69.87,69.405
15061751,69.589,69.261
15061752,70.888,71.832
