SAMPLES,GEBVs(BA),ACTUAL
15062362,74.66,48
15061954,70.297,80
15062339,50.309,42
15061482,58.959,50
15062104,74.48,28
15061707,68.772,42
15061567,46.239,45
15061964,70.203,80
15061488,69.291,75
15061438,69.449,81
15061814,73.491,80
15061721,67.498,80
15061601,74.664,51
15061719,70.054,80
15061629,57.343,39
15061477,73.649,84
15061761,70.134,78
15061336,66.622,80
15061386,66.047,80
15061305,66.884,42
15061676,74.641,79
15061523,77.196,80
15061763,58.123,45
15061385,75.709,80
15062133,70.35,82
15061333,59.722,80
15061627,58.161,30
15061731,69.413,79
15061641,74.063,82
15061330,67.533,75
15061626,57.086,80
15062147,67.401,50
15061487,70.042,80
15060536,63.117,50
15061261,57.391,50
15061389,69.569,76
15060101,70.137,80
15061397,75.66,74
15061551,60.277,50
15061539,75.725,27
15062115,55.596,29
15061361,74.528,75
15061669,53.154,42
15062359,55.616,46
15061690,69.525,79
15061308,69.51,80
15062372,67.122,75
15061342,74.538,80
15061281,72.316,80
15061932,58.575,42
15061370,70.16,80
15061630,68.432,80
15061789,58.517,54
15061666,71.214,28
15062143,72.979,80
15061297,67.306,76
15061907,48.299,27
15061538,75.259,76
15062371,70.155,43
15061685,73.029,75
15062081,67.275,82
15061969,59.657,50
15061498,70.698,80
15061271,70.483,80
15062344,68.982,80
15061279,61.862,73
15062144,75.785,80
15061722,70.236,81
15061768,72.541,79
15061557,57.443,80
15061434,67.301,80
15060072,64.939,75
15061405,72.217,75
15062052,70.197,80
15062098,70.089,76
15061916,74.372,75
15061377,57.014,42
15061633,60.441,79
15061702,76.958,79
15061614,71.341,82
15061368,66.217,28
15061520,63.176,80
15060082,53.793,27
15061656,59.166,82
15061331,61.79,48
15061327,57.146,80
15062074,61.026,50
15061300,55.314,30
15061776,58.791,50
15061462,57.43,27
15061302,72.05,80
15061957,71.649,76
15061514,57.074,80
15060909,58.571,42
15062063,74.897,29
15060090,69.776,81
15061301,73.349,80
15061423,79.061,80
15061453,54.986,80
15060215,72.037,80
15062119,74.567,75
15061537,70.721,82
15061667,72.628,75
15062123,50.943,42
15061710,68.453,74
15061258,62.549,80
15061443,58.687,43
15060050,69.725,34
15060110,75.903,76
15062053,67.465,80
15061764,72.472,30
15061799,58.321,29
