,BA,BB
15060021,21.609,22.704
15060025,41.359,41.14
15060027,22.496,23.665
15060039,43.472,43.299
15060042,27.183,26.721
15060056,41.74,44.144
15060063,17.603,15.521
15060070,15.757,15.601
15060081,40.322,40.349
15060085,41.511,40.887
15060087,15.714,15.502
15060097,48.954,48.731
15060102,38.835,38.442
15060112,34.038,33.637
15060114,39.276,40.118
15060120,21.131,23.713
15060121,42.056,42.977
15060122,37.066,37.083
15060138,23.513,23.157
15060160,40.348,41.393
15060187,29.272,27.953
15060188,23.373,28.031
15060190,33.532,35.411
15060191,44.181,44.43
15060214,44.307,49.142
15060313,35.273,35.434
15060320,40.54,40.748
15060345,43.081,42.857
15060383,35.294,35.208
15060420,42.877,42.781
15060543,41.56,42.196
15060570,35.735,34.562
15060797,35.03,35.935
15060846,37.374,37.257
15060907,24.231,23.435
15060910,26.456,23.232
15060933,41.603,42.216
15060964,40.82,40.514
15061007,40.952,40.578
15061011,41.299,41.475
15061122,37.11,37.226
15061204,39.978,37.857
15061213,43.217,43.205
15061215,43.547,43.459
15061216,37.613,38.757
15061225,39.82,40.01
15061226,43.421,46.301
15061228,22.466,23.123
15061237,41.358,42.336
15061256,40.906,41.533
15061257,29.235,27.628
15061259,15.653,15.545
15061260,41.432,41.505
15061262,38.155,38.758
15061263,41.449,37.686
15061264,39.616,39.572
15061265,41.855,43.182
15061270,27.201,27.377
15061273,41.856,43.289
15061274,37.54,38.964
15061277,44.391,46.447
15061282,39.979,40.027
15061283,34.036,33.666
15061286,36.234,36.64
15061288,42.687,43.052
15061289,43.211,43.315
15061290,43.114,42.423
15061291,39.047,39.92
15061293,20.647,22.787
15061295,19.134,16.448
15061296,28.152,28.598
15061298,37.279,37.875
15061299,39.36,39.918
15061303,45.551,45.191
15061307,23.016,23.658
15061312,39.334,39.874
15061313,44.283,44.534
15061314,36.429,37.202
15061317,37.803,38.275
15061318,32.688,37.782
15061319,41.862,41.569
15061320,42.992,43.567
15061323,39.766,40.172
15061324,42.494,43.772
15061329,30.423,29.635
15061334,36.596,38.172
15061335,39.792,39.232
15061337,34.222,33.76
15061338,15.653,15.588
15061340,15.58,15.412
15061344,40.631,40.023
15061345,43.475,43.138
15061346,43.095,43.009
15061347,23.076,22.955
15061348,33.787,32.823
15061349,38.571,38.653
15061350,39.254,39.829
15061352,17.618,17.378
15061353,34.047,33.638
15061355,33.982,33.655
15061356,37.209,37.202
15061357,31.036,29.904
15061358,41.351,41.211
15061360,33.882,33.563
15061364,34.342,33.689
15061365,43.308,43.507
15061367,43.239,43.453
15061369,42.334,43.022
15061376,42.918,42.918
15061378,39.468,39.202
15061380,22.943,23.185
15061382,40.158,40.177
15061383,34.104,33.628
15061384,15.694,15.485
15061388,35.234,36.485
15061390,17.941,17.462
15061391,17.622,17.39
15061392,40.772,43.643
15061394,37.938,38.43
15061396,37.901,38.376
15061404,17.807,17.532
15061406,33.903,33.517
15061410,43.28,44.221
15061411,36.483,38.234
15061414,17.743,17.395
15061415,27.603,26.797
15061417,17.731,17.4
15061418,17.587,17.328
15061419,15.628,15.494
15061420,42.992,43.567
15061421,40.648,40.281
15061422,44.534,45.864
15061424,17.093,16.027
15061425,42.933,42.883
15061428,42.873,42.85
15061430,42.958,42.785
15061435,27.437,26.29
15061436,38.759,38.578
15061437,40.067,39.991
15061439,39.957,40.02
15061441,16.654,16.247
15061442,36.505,38.747
15061444,35.948,33.615
15061445,16.699,16.228
15061447,39.649,38.143
15061449,32.346,32.329
15061454,32.586,32.648
15061458,43.158,43.021
15061459,17.787,17.483
15061461,42.889,42.942
15061463,43.33,42.779
15061469,40.594,40.135
15061470,37.426,37.205
15061471,37.061,37.194
15061475,41.326,41.359
15061476,25.919,24.993
15061478,15.525,15.519
15061479,43.236,44.247
15061480,16.714,16.293
15061481,44.297,44.536
15061484,27.272,27.421
15061485,38.079,37.641
15061486,15.299,15.729
15061489,17.363,16.505
15061490,17.79,17.412
15061491,17.573,17.414
15061492,17.756,17.369
15061493,23.182,23.163
15061494,24.791,23.782
15061495,22.814,22.762
15061496,22.639,22.834
15061499,44.121,44.172
15061500,38.279,38.013
15061501,23.485,22.444
15061503,43.193,43.451
15061504,40.02,40.024
15061505,36.182,36.434
15061507,36.414,38.175
15061508,36.498,38.369
15061509,38.956,38.496
15061511,39.122,38.742
15061515,37.727,38.315
15061516,23.338,22.357
15061517,34.148,33.588
15061518,43.331,42.054
15061521,25.35,25.723
15061522,22.103,21.515
15061524,24.278,22.525
15061525,36.773,38.513
15061526,18.162,17.339
15061528,21.034,21.864
15061529,38.986,38.524
15061530,36.514,38.417
15061533,35.597,37.247
15061534,21.306,22.364
15061535,21.286,22.144
15061536,35.861,36.93
15061540,43.719,43.831
15061542,43.939,44.115
15061543,43.088,43.056
15061544,14.453,15.356
15061546,14.449,13.982
15061548,35.644,36.263
15061549,29.994,29.014
15061550,16.303,15.278
